program,source,repository,version,family,regions,local,present_absent,divergent,identical,loop,multi_qubit_conditional_regions,novel_conditional_pairs,unconditional_multi_qubit_ops
adder,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,adder,2,2,0,0,0,0,0,0,5
gateteleport,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,gateteleport,1,1,0,0,0,0,0,0,1
inverseqft1,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,inverseqft1,11,11,0,0,0,0,0,0,0
inverseqft2,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,inverseqft2,6,6,0,0,0,0,0,0,0
msd,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,msd,12,9,2,0,0,1,2,2,35
qec,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,qec,3,3,0,0,0,0,0,0,5
rus,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,rus,1,0,0,0,0,1,0,0,2
scqec,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,scqec,3,1,2,0,0,0,2,1,7
teleport,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,teleport,2,2,0,0,0,0,0,0,2
varteleport,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,varteleport,2,2,0,0,0,0,0,0,2
vqe,openqasm,openqasm/openqasm,7fbf9e9eb3692a1288c014d6efd43523701886c6,vqe,4,4,0,0,0,0,0,0,3
inverseqft_n4,qasmbench,pnnl/QASMBench,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,inverseqft_n4,6,6,0,0,0,0,0,0,0
ipea_n2,qasmbench,pnnl/QASMBench,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,ipea_n2,11,11,0,0,0,0,0,0,15
