key,code,d,n,code_k,p,p_ebit,ratio,strategy,k,rounds,ebit_pairs,teleports,time_rounds,detectors,shots,errors,ler,ci_low,ci_high,batches,hit_shot_limit,seconds,decoder,tmcbs_commit
"[[18,4,4]] BB|p=0.001|r=1|T_rt|k=1|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.001,1,T_rt,1,0,36,2,13,396,3000,251,0.08366666666666667,0.06615333333333334,0.10373333333333333,2,False,1026.05,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=10|T_rt|k=1|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.01,10,T_rt,1,0,36,2,13,396,3000,271,0.09033333333333333,0.07213666666666667,0.11104,2,False,1152.78,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=1|T|k=2|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.001,1,T,2,0,18,1,13,324,3236,202,0.06242274412855377,0.04785228677379481,0.07948084054388133,2,False,920.77,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=10|T|k=2|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.01,10,T,2,0,18,1,13,324,3000,222,0.074,0.05753666666666667,0.09307333333333334,2,False,1091.88,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=1|T|k=2|rounds=0,SC7,7,49,1,0.001,0.001,1,T,2,0,49,1,13,864,150000,29,0.00019333333333333333,8.866666666666668e-05,0.00035906666666666665,5,True,2790.41,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=1|T|k=1|rounds=0,SC7,7,49,1,0.001,0.001,1,T,1,0,49,1,10,720,150000,33,0.00022,0.00010653333333333334,0.00039453333333333335,6,True,952.67,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=1|T|k=1|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.001,1,T,1,0,18,1,10,270,4352,225,0.05170036764705882,0.04016314338235294,0.06513097426470588,2,False,295.04,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=10|T|k=1|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.01,10,T,1,0,18,1,10,270,3924,233,0.059378185524974515,0.046381243628950054,0.07443934760448523,2,False,300.62,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=10|T|k=2|rounds=0,SC7,7,49,1,0.001,0.01,10,T,2,0,49,1,13,864,150000,76,0.0005066666666666667,0.00032020000000000003,0.0007543333333333334,5,True,3269.6,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=10|T|k=1|rounds=0,SC7,7,49,1,0.001,0.01,10,T,1,0,49,1,10,720,150000,59,0.0003933333333333333,0.00023239999999999998,0.0006154666666666666,4,True,1093.99,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
