code,d,p,ratio,p_ebit,rho,regime_class,scenario,k,fail_R,fail_T,ebits_R,ebits_T,latency_R,latency_T,spacetime_R,spacetime_T,choice_ebits,choice_latency,choice_failure,fail_of_ebits_choice,fail_of_failure_choice,inversion,failure_ratio
SC3,3,0.001,1.0,0.001,0,idealised,oneway,1,0.004033399615325483,0.007372654829959543,9,9,7,10,14,28,R,R,R,0.004033399615325483,0.004033399615325483,False,1.0
SC3,3,0.001,1.0,0.001,0,idealised,oneway,2,0.005860654720722308,0.0091951651682891,18,9,10,13,20,34,T,R,R,0.0091951651682891,0.005860654720722308,True,1.5689655177563204
SC3,3,0.001,1.0,0.001,0,idealised,oneway,3,0.007687909826119133,0.011017675506618654,27,9,13,16,26,40,T,R,R,0.011017675506618654,0.007687909826119133,True,1.4331171613364762
SC3,3,0.001,1.0,0.001,0,idealised,oneway,4,0.009515164931515958,0.012840185844948213,36,9,16,19,32,46,T,R,R,0.012840185844948213,0.009515164931515958,True,1.3494443803511151
SC3,3,0.001,1.0,0.001,0,idealised,oneway,5,0.01134242003691278,0.014662696183277767,45,9,19,22,38,52,T,R,R,0.014662696183277767,0.01134242003691278,True,1.292730840116966
SC3,3,0.001,1.0,0.001,0,idealised,oneway,6,0.013169675142309606,0.016485206521607322,54,9,22,25,44,58,T,R,R,0.016485206521607322,0.013169675142309606,True,1.251754985864918
SC3,3,0.001,1.0,0.001,0,idealised,oneway,7,0.01499693024770643,0.01830771685993688,63,9,25,28,50,64,T,R,R,0.01830771685993688,0.01499693024770643,True,1.2207642869271056
SC3,3,0.001,1.0,0.001,0,idealised,oneway,8,0.016824185353103257,0.020130227198266435,72,9,28,31,56,70,T,R,R,0.020130227198266435,0.016824185353103257,True,1.1965053151624587
SC3,3,0.001,1.0,0.001,0,idealised,oneway,9,0.01865144045850008,0.02195273753659599,81,9,31,34,62,76,T,R,R,0.02195273753659599,0.01865144045850008,True,1.1769995773485367
SC3,3,0.001,1.0,0.001,0,idealised,oneway,10,0.020478695563896903,0.023775247874925548,90,9,34,37,68,82,T,R,R,0.023775247874925548,0.020478695563896903,True,1.1609747213020898
SC3,3,0.001,1.0,0.001,0,idealised,oneway,11,0.02230595066929373,0.025597758213255103,99,9,37,40,74,88,T,R,R,0.025597758213255103,0.02230595066929373,True,1.1475753081662132
SC3,3,0.001,1.0,0.001,0,idealised,oneway,12,0.024133205774690553,0.027420268551584658,108,9,40,43,80,94,T,R,R,0.027420268551584658,0.024133205774690553,True,1.1362049786332729
SC3,3,0.001,1.0,0.001,0,idealised,oneway,13,0.02596046088008738,0.029242778889914216,117,9,43,46,86,100,T,R,R,0.029242778889914216,0.02596046088008738,True,1.126435274974047
SC3,3,0.001,1.0,0.001,0,idealised,oneway,14,0.027787715985484202,0.03106528922824377,126,9,46,49,92,106,T,R,R,0.03106528922824377,0.027787715985484202,True,1.1179504369654458
SC3,3,0.001,1.0,0.001,0,idealised,oneway,15,0.02961497109088103,0.03288779956657333,135,9,49,52,98,112,T,R,R,0.03288779956657333,0.02961497109088103,True,1.110512634493169
SC3,3,0.001,1.0,0.001,0,idealised,oneway,16,0.03144222619627785,0.034710309904902883,144,9,52,55,104,118,T,R,R,0.034710309904902883,0.03144222619627785,True,1.1039393231326575
SC3,3,0.001,1.0,0.001,0,idealised,oneway,17,0.033269481301674675,0.03653282024323244,153,9,55,58,110,124,T,R,R,0.03653282024323244,0.033269481301674675,True,1.098088061907761
SC3,3,0.001,1.0,0.001,0,idealised,oneway,18,0.035096736407071505,0.03835533058156199,162,9,58,61,116,130,T,R,R,0.03835533058156199,0.035096736407071505,True,1.0928460736831909
SC3,3,0.001,1.0,0.001,0,idealised,oneway,19,0.03692399151246833,0.04017784091989155,171,9,61,64,122,136,T,R,R,0.04017784091989155,0.03692399151246833,True,1.0881229053019492
SC3,3,0.001,1.0,0.001,0,idealised,oneway,20,0.03875124661786515,0.04200035125822111,180,9,64,67,128,142,T,R,R,0.04200035125822111,0.03875124661786515,True,1.0838451643219666
SC3,3,0.001,1.0,0.001,0,idealised,oneway,21,0.04057850172326198,0.04382286159655066,189,9,67,70,134,148,T,R,R,0.04382286159655066,0.04057850172326198,True,1.0799526777852624
SC3,3,0.001,1.0,0.001,0,idealised,oneway,22,0.042405756828658804,0.04564537193488022,198,9,70,73,140,154,T,R,R,0.04564537193488022,0.042405756828658804,True,1.0763956440940587
SC3,3,0.001,1.0,0.001,0,idealised,oneway,23,0.04423301193405563,0.04746788227320978,207,9,73,76,146,160,T,R,R,0.04746788227320978,0.04423301193405563,True,1.0731324908187765
SC3,3,0.001,1.0,0.001,0,idealised,oneway,24,0.04606026703945245,0.04929039261153933,216,9,76,79,152,166,T,R,R,0.04929039261153933,0.04606026703945245,True,1.0701282424029401
SC3,3,0.001,1.0,0.001,0,idealised,oneway,25,0.04788752214484927,0.05111290294986889,225,9,79,82,158,172,T,R,R,0.05111290294986889,0.04788752214484927,True,1.0673532615712198
SC3,3,0.001,1.0,0.001,0,idealised,oneway,26,0.0497147772502461,0.052935413288198445,234,9,82,85,164,178,T,R,R,0.052935413288198445,0.0497147772502461,True,1.0647822682930033
SC3,3,0.001,1.0,0.001,0,idealised,oneway,27,0.051542032355642926,0.054757923626528,243,9,85,88,170,184,T,R,R,0.054757923626528,0.051542032355642926,True,1.0623935674227056
SC3,3,0.001,1.0,0.001,0,idealised,oneway,28,0.05336928746103975,0.056580433964857554,252,9,88,91,176,190,T,R,R,0.056580433964857554,0.05336928746103975,True,1.0601684350041582
SC3,3,0.001,1.0,0.001,0,idealised,oneway,29,0.05519654256643657,0.05840294430318711,261,9,91,94,182,196,T,R,R,0.05840294430318711,0.05519654256643657,True,1.0580906264715984
SC3,3,0.001,1.0,0.001,0,idealised,oneway,30,0.0570237976718334,0.06022545464151667,270,9,94,97,188,202,T,R,R,0.06022545464151667,0.0570237976718334,True,1.0561459794050987
SC3,3,0.001,1.0,0.001,0,idealised,return,1,0.004033399615325483,0.011666666666666657,9,18,7,13,14,42,R,R,R,0.004033399615325483,0.004033399615325483,False,1.0
SC3,3,0.001,1.0,0.001,0,idealised,return,2,0.005860654720722308,0.013446115788213708,18,18,10,16,20,48,R,R,R,0.005860654720722308,0.005860654720722308,False,1.0
SC3,3,0.001,1.0,0.001,0,idealised,return,3,0.007687909826119133,0.015225564909760757,27,18,13,19,26,54,T_rt,R,R,0.015225564909760757,0.007687909826119133,True,1.980455709565293
SC3,3,0.001,1.0,0.001,0,idealised,return,4,0.009515164931515958,0.017005014031307806,36,18,16,22,32,60,T_rt,R,R,0.017005014031307806,0.009515164931515958,True,1.7871486362768243
SC3,3,0.001,1.0,0.001,0,idealised,return,5,0.01134242003691278,0.018784463152854855,45,18,19,25,38,66,T_rt,R,R,0.018784463152854855,0.01134242003691278,True,1.656124803324395
SC3,3,0.001,1.0,0.001,0,idealised,return,6,0.013169675142309606,0.020563912274401908,54,18,22,28,44,72,T_rt,R,R,0.020563912274401908,0.013169675142309606,True,1.561459341418163
SC3,3,0.001,1.0,0.001,0,idealised,return,7,0.01499693024770643,0.022343361395948957,63,18,25,31,50,78,T_rt,R,R,0.022343361395948957,0.01499693024770643,True,1.4898623269496143
SC3,3,0.001,1.0,0.001,0,idealised,return,8,0.016824185353103257,0.024122810517496006,72,18,28,34,56,84,T_rt,R,R,0.024122810517496006,0.016824185353103257,True,1.4338174485843085
SC3,3,0.001,1.0,0.001,0,idealised,return,9,0.01865144045850008,0.02590225963904306,81,18,31,37,62,90,T_rt,R,R,0.02590225963904306,0.01865144045850008,True,1.3887538443304812
SC3,3,0.001,1.0,0.001,0,idealised,return,10,0.020478695563896903,0.027681708760590104,90,18,34,40,68,96,T_rt,R,R,0.027681708760590104,0.020478695563896903,True,1.3517320316725552
SC3,3,0.001,1.0,0.001,0,idealised,return,11,0.02230595066929373,0.029461157882137157,99,18,37,43,74,102,T_rt,R,R,0.029461157882137157,0.02230595066929373,True,1.320775712227018
SC3,3,0.001,1.0,0.001,0,idealised,return,12,0.024133205774690553,0.031240607003684202,108,18,40,46,80,108,T_rt,R,R,0.031240607003684202,0.024133205774690553,True,1.2945071324277797
SC3,3,0.001,1.0,0.001,0,idealised,return,13,0.02596046088008738,0.033020056125231255,117,18,43,49,86,114,T_rt,R,R,0.033020056125231255,0.02596046088008738,True,1.2719364374058106
SC3,3,0.001,1.0,0.001,0,idealised,return,14,0.027787715985484202,0.03479950524677831,126,18,46,52,92,120,T_rt,R,R,0.03479950524677831,0.027787715985484202,True,1.2523341344411658
SC3,3,0.001,1.0,0.001,0,idealised,return,15,0.02961497109088103,0.03657895436832535,135,18,49,55,98,126,T_rt,R,R,0.03657895436832535,0.02961497109088103,True,1.2351507707393528
SC3,3,0.001,1.0,0.001,0,idealised,return,16,0.03144222619627785,0.038358403489872406,144,18,52,58,104,132,T_rt,R,R,0.038358403489872406,0.03144222619627785,True,1.2199646186125743
SC3,3,0.001,1.0,0.001,0,idealised,return,17,0.033269481301674675,0.04013785261141945,153,18,55,61,110,138,T_rt,R,R,0.04013785261141945,0.033269481301674675,True,1.2064466003381618
SC3,3,0.001,1.0,0.001,0,idealised,return,18,0.035096736407071505,0.041917301732966504,162,18,58,64,116,144,T_rt,R,R,0.041917301732966504,0.035096736407071505,True,1.194336169801838
SC3,3,0.001,1.0,0.001,0,idealised,return,19,0.03692399151246833,0.04369675085451355,171,18,61,67,122,150,T_rt,R,R,0.04369675085451355,0.03692399151246833,True,1.1834243554020487
SC3,3,0.001,1.0,0.001,0,idealised,return,20,0.03875124661786515,0.0454761999760606,180,18,64,70,128,156,T_rt,R,R,0.0454761999760606,0.03875124661786515,True,1.1735416004680248
SC3,3,0.001,1.0,0.001,0,idealised,return,21,0.04057850172326198,0.04725564909760765,189,18,67,73,134,162,T_rt,R,R,0.04725564909760765,0.04057850172326198,True,1.1645488889629934
SC3,3,0.001,1.0,0.001,0,idealised,return,22,0.042405756828658804,0.0490350982191547,198,18,70,76,140,168,T_rt,R,R,0.0490350982191547,0.042405756828658804,True,1.1563311655368365
SC3,3,0.001,1.0,0.001,0,idealised,return,23,0.04423301193405563,0.05081454734070175,207,18,73,79,146,174,T_rt,R,R,0.05081454734070175,0.04423301193405563,True,1.148792386475019
