key,code,d,n,code_k,p,p_ebit,ratio,strategy,k,rounds,ebit_pairs,teleports,time_rounds,detectors,shots,errors,ler,ci_low,ci_high,batches,hit_shot_limit,seconds,decoder,tmcbs_commit
SC5|p=0.001|r=1|T_qbell|k=2|rounds=0,SC5,5,25,1,0.001,0.001,1,T_qbell,2,0,25,1,13,432,233498,201,0.000860821077696597,0.000654480980565144,0.0011065191136540784,6,False,540.19,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=1|T_qbell_qbsm|k=2|rounds=0,SC5,5,25,1,0.001,0.001,1,T_qbell_qbsm,2,0,25,1,13,432,257543,201,0.000780452196332263,0.0005933766400173952,0.0010032111142605313,8,False,562.84,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=10|T_qbell|k=2|rounds=0,SC5,5,25,1,0.001,0.01,10,T_qbell,2,0,25,1,13,432,149600,224,0.001497326203208556,0.0011558155080213903,0.0019002005347593582,4,False,417.09,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=1|T_qbsm|k=2|rounds=0,SC5,5,25,1,0.001,0.001,1,T_qbsm,2,0,25,1,13,432,202000,212,0.0010495049504950496,0.0008039603960396039,0.0013404950495049504,5,False,1072.49,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=10|T_qbell_qbsm|k=2|rounds=0,SC5,5,25,1,0.001,0.01,10,T_qbell_qbsm,2,0,25,1,13,432,202000,203,0.001004950495049505,0.0007651485148514851,0.0012901980198019801,5,False,526.77,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=1|T_qbell|k=1|rounds=0,SC5,5,25,1,0.001,0.001,1,T_qbell,1,0,25,1,10,360,254611,200,0.0007855120163700704,0.0005967927544371609,0.0010103255554551845,8,False,217.86,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=10|T_qbsm|k=2|rounds=0,SC5,5,25,1,0.001,0.01,10,T_qbsm,2,0,25,1,13,432,137535,214,0.0015559675718907913,0.0011935870869233286,0.001985021994401425,4,False,845.17,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=1|T_qbell_qbsm|k=1|rounds=0,SC5,5,25,1,0.001,0.001,1,T_qbell_qbsm,1,0,25,1,10,360,334801,201,0.0006003566297591704,0.00045645024955122594,0.00077174201988644,15,False,266.52,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=1|T_qbsm|k=1|rounds=0,SC5,5,25,1,0.001,0.001,1,T_qbsm,1,0,25,1,10,360,220245,204,0.0009262412313559899,0.0007057140911257918,0.0011884946309791368,6,False,402.0,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=10|T_qbell|k=1|rounds=0,SC5,5,25,1,0.001,0.01,10,T_qbell,1,0,25,1,10,360,162516,201,0.0012368012995643506,0.0009403997144896504,0.0015896896305594528,6,False,163.29,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=10|T_qbell_qbsm|k=1|rounds=0,SC5,5,25,1,0.001,0.01,10,T_qbell_qbsm,1,0,25,1,10,360,196183,203,0.001034748168801578,0.0007878358471427188,0.0013284535357293956,5,False,186.65,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=1|T_qbell|k=2|rounds=0,SC3,3,9,1,0.001,0.001,1,T_qbell,2,0,9,1,13,144,52000,414,0.007961538461538461,0.006598846153846154,0.009498461538461539,2,False,14.79,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=1|T_qbsm|k=2|rounds=0,SC3,3,9,1,0.001,0.001,1,T_qbsm,2,0,9,1,13,144,47594,406,0.008530487036181032,0.007057402193553809,0.0101937218977182,3,False,26.86,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=1|T_qbell_qbsm|k=2|rounds=0,SC3,3,9,1,0.001,0.001,1,T_qbell_qbsm,2,0,9,1,13,144,57242,401,0.007005345725166836,0.005787708326054296,0.008381433213374794,3,False,15.17,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=10|T_qbsm|k=1|rounds=0,SC5,5,25,1,0.001,0.01,10,T_qbsm,1,0,25,1,10,360,137535,201,0.001461446177336678,0.0011112080561311668,0.00187835823608536,4,False,289.56,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=10|T_qbell|k=2|rounds=0,SC3,3,9,1,0.001,0.01,10,T_qbell,2,0,9,1,13,144,45703,402,0.008795921493118614,0.0072699822768746035,0.010519659540949172,4,False,14.49,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=10|T_qbell_qbsm|k=2|rounds=0,SC3,3,9,1,0.001,0.01,10,T_qbell_qbsm,2,0,9,1,13,144,47727,406,0.008506715276468246,0.007037735453726402,0.010165315230372746,3,False,14.23,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=1|T_qbell|k=2|rounds=0,SC3,3,9,1,0.002,0.002,1,T_qbell,2,0,9,1,13,144,15369,421,0.027392803695751186,0.02277897065521504,0.0325727113019715,3,False,9.62,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=10|T_qbsm|k=2|rounds=0,SC3,3,9,1,0.001,0.01,10,T_qbsm,2,0,9,1,13,144,52000,540,0.010384615384615384,0.008817884615384615,0.012124615384615385,2,False,32.07,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=1|T_qbell_qbsm|k=2|rounds=0,SC3,3,9,1,0.002,0.002,1,T_qbell_qbsm,2,0,9,1,13,144,16151,451,0.02792396755618847,0.023371927434833756,0.03301405485728438,2,False,9.66,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=1|T_qbsm|k=2|rounds=0,SC3,3,9,1,0.002,0.002,1,T_qbsm,2,0,9,1,13,144,12400,400,0.03225806451612903,0.026704032258064517,0.038506451612903225,2,False,16.91,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=10|T_qbell|k=2|rounds=0,SC3,3,9,1,0.002,0.02,10,T_qbell,2,0,9,1,13,144,13314,460,0.03455009764158029,0.028986029743127535,0.04075784888087727,2,False,9.75,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=10|T_qbell_qbsm|k=2|rounds=0,SC3,3,9,1,0.002,0.02,10,T_qbell_qbsm,2,0,9,1,13,144,15600,442,0.028333333333333332,0.023671153846153845,0.033551923076923076,2,False,11.07,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=10|T_qbsm|k=2|rounds=0,SC3,3,9,1,0.002,0.02,10,T_qbsm,2,0,9,1,13,144,12400,495,0.039919354838709675,0.03372338709677419,0.04679838709677419,2,False,19.91,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=1|T_qbell|k=1|rounds=0,SC3,3,9,1,0.001,0.001,1,T_qbell,1,0,9,1,10,120,77797,431,0.005540059385323342,0.004608661002352276,0.006588557399385581,3,False,8.8,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=1|T_qbsm|k=1|rounds=0,SC3,3,9,1,0.001,0.001,1,T_qbsm,1,0,9,1,10,120,55806,405,0.007257284162993227,0.006001863598896176,0.008675232053901014,3,False,12.44,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=1|T_qbell_qbsm|k=1|rounds=0,SC3,3,9,1,0.001,0.001,1,T_qbell_qbsm,1,0,9,1,10,120,79708,423,0.005306870075776585,0.004406709489637175,0.00632132282832338,3,False,8.48,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=10|T_qbell|k=1|rounds=0,SC3,3,9,1,0.001,0.01,10,T_qbell,1,0,9,1,10,120,52000,402,0.007730769230769231,0.006389038461538462,0.00924673076923077,2,False,6.76,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=10|T_qbsm|k=1|rounds=0,SC3,3,9,1,0.001,0.01,10,T_qbsm,1,0,9,1,10,120,47195,400,0.008475474096832292,0.007001589151393156,0.010141116643712257,4,False,12.18,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.001|r=10|T_qbell_qbsm|k=1|rounds=0,SC3,3,9,1,0.001,0.01,10,T_qbell_qbsm,1,0,9,1,10,120,61327,419,0.006832227240856393,0.005668791886118675,0.008143721362532,3,False,7.62,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=1|T_qbell|k=1|rounds=0,SC3,3,9,1,0.002,0.002,1,T_qbell,1,0,9,1,10,120,21418,495,0.02311140162480157,0.019498085722289664,0.027134653095527126,2,False,5.09,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=1|T_qbsm|k=1|rounds=0,SC3,3,9,1,0.002,0.002,1,T_qbsm,1,0,9,1,10,120,21418,552,0.02577271453917266,0.021950228779531237,0.030002801382015127,2,False,10.17,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=1|T_qbell_qbsm|k=1|rounds=0,SC3,3,9,1,0.002,0.002,1,T_qbell_qbsm,1,0,9,1,10,120,30567,589,0.019269146465142148,0.01649000556155331,0.022337815291000096,2,False,6.47,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=10|T_qbell|k=1|rounds=0,SC3,3,9,1,0.002,0.02,10,T_qbell,1,0,9,1,10,120,19191,537,0.027981866499921838,0.023781460059402845,0.03263561044239487,2,False,5.13,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=10|T_qbell_qbsm|k=1|rounds=0,SC3,3,9,1,0.002,0.02,10,T_qbell_qbsm,1,0,9,1,10,120,15337,435,0.028362782812805635,0.023660429027841167,0.033631088218034816,2,False,3.93,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC3|p=0.002|r=10|T_qbsm|k=1|rounds=0,SC3,3,9,1,0.002,0.02,10,T_qbsm,1,0,9,1,10,120,14795,435,0.029401824940858398,0.02452923284893545,0.034859749915511995,4,False,8.15,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
