workload,machine,model,tiles,ccz_share,makespan_stagedp,makespan_oracle,residual_headroom_vs_stagedp,reset_stagedp,reset_oracle,reset_residual,myopic_stage_exact,myopic_residual_vs_oracle,myopic_captures_fraction,buffer_half_residual,buffer_double_residual,explanation
qmpa_draper8,C_400_0.5,C,400,0.5,33,27,0.1818,31,25,0.1935,27,0.0,1.0,0.1818,0.1818,B: wide-stage local mixing
qmpa_draper8,C_400_0.25,C,400,0.25,33,28,0.1515,31,26,0.1613,29,0.0345,0.8,0.1143,0.1515,B: wide-stage local mixing
qb_multiply_n13,C_400_0.25,C,400,0.25,33,29,0.1212,76,67,0.1184,42,0.3095,-2.25,0.2162,0.1212,mixed or unresolved
qt_aliassamp8,A_400_0.25,A,400,0.25,153,137,0.1046,171,177,-0.0351,171,0.1988,-1.125,0.1046,0.1046,A: carried inventory
qmpa_draper8,C_400_0.75,C,400,0.75,29,26,0.1034,26,25,0.0385,26,0.0,1.0,0.1034,0.1034,B: wide-stage local mixing
qb_multiplier_n15,C_400_0.25,C,400,0.25,109,98,0.1009,167,152,0.0898,110,0.1091,-0.0909,0.1091,0.0841,mixed or unresolved
qb_sat_n7,C_400_0.25,C,400,0.25,51,46,0.098,76,63,0.1711,52,0.1154,-0.2,0.098,0.098,mixed or unresolved
qb_multiply_n13,B_400_0.25,B,400,0.25,32,29,0.0938,72,68,0.0556,42,0.3095,-3.3333,0.1714,0.0938,mixed or unresolved
qb_qram_n20,C_400_0.25,C,400,0.25,89,81,0.0899,212,165,0.2217,96,0.1562,-0.875,0.129,0.0899,mixed or unresolved
qmpa_div6,B_400_0.25,B,400,0.25,139,127,0.0863,178,180,-0.0112,139,0.0863,0.0,0.0863,0.0863,A: carried inventory
qmpa_div6,C_400_0.25,C,400,0.25,139,127,0.0863,178,180,-0.0112,139,0.0863,0.0,0.0863,0.0863,A: carried inventory
qb_qram_n20,A_400_0.25,A,400,0.25,86,79,0.0814,179,139,0.2235,93,0.1505,-1.0,0.0814,0.0814,mixed or unresolved
qt_prepunif6,A_400_0.5,A,400,0.5,163,151,0.0736,169,202,-0.1953,163,0.0736,0.0,0.0,0.0736,A: carried inventory
qt_aliassamp8,B_400_0.25,B,400,0.25,151,140,0.0728,230,217,0.0565,174,0.1954,-2.0909,0.085,0.0728,mixed or unresolved
qt_aliassamp8,C_400_0.25,C,400,0.25,151,140,0.0728,226,217,0.0398,174,0.1954,-2.0909,0.0588,0.0728,mixed or unresolved
qb_multiply_n13,A_400_0.25,A,400,0.25,28,26,0.0714,51,57,-0.1176,39,0.3333,-5.5,0.0714,0.0714,A: carried inventory
qt_multiand10,C_400_0.25,C,400,0.25,57,53,0.0702,154,113,0.2662,60,0.1167,-0.75,0.1167,0.0702,mixed or unresolved
qb_multiplier_n15,B_400_0.25,B,400,0.25,105,98,0.0667,167,152,0.0898,110,0.1091,-0.7143,0.0755,0.0667,mixed or unresolved
qt_prepunif6,C_400_0.75,C,400,0.75,165,155,0.0606,242,226,0.0661,167,0.0719,-0.2,0.0,0.0606,mixed or unresolved
qb_multiplier_n15,A_400_0.25,A,400,0.25,101,95,0.0594,137,127,0.073,107,0.1121,-1.0,0.0594,0.0594,mixed or unresolved
qt_qft8,A_400_0.75,A,400,0.75,1055,997,0.055,1335,1390,-0.0412,1135,0.1216,-1.3793,0.0225,0.0411,A: carried inventory
qmpa_mul8,B_400_0.25,B,400,0.25,1025,975,0.0488,1580,1607,-0.0171,1025,0.0488,0.0,0.041,0.041,A: carried inventory
qmpa_mul8,C_400_0.25,C,400,0.25,1025,975,0.0488,1580,1607,-0.0171,1025,0.0488,0.0,0.0468,0.0468,A: carried inventory
qmpa_mul8,A_400_0.25,A,400,0.25,1022,973,0.0479,1308,1335,-0.0206,1022,0.0479,0.0,0.0411,0.0411,A: carried inventory
