workload,source,family,role,machine,model,tiles,ccz_share,regime,decision_sites,stages,max_stage_width,wide_stage_fraction,consuming_families,mix_drift,alternation_rate,t_rate,ccz_rate,factory_tiles,makespan_fixed_t,makespan_fixed_ccz,makespan_uniform_oracle,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_best_simple,best_simple_policy,makespan_best_non_stateful,best_non_stateful_policy,residual_headroom_vs_existing_search,makespan_stagedp,seconds_stagedp,makespan_oracle,oracle_status,oracle_seconds,oracle_simulations,lower_bound,headroom_vs_best_non_stateful,residual_headroom_vs_stagedp,max_possible_headroom_vs_stagedp,oracle_heterogeneity,stagedp_heterogeneity,oracle_t_stalls,oracle_ccz_stalls,oracle_t_waste,oracle_ccz_waste,stagedp_t_stalls,stagedp_ccz_stalls,stagedp_t_waste,stagedp_ccz_waste,oracle_space_time,stagedp_space_time,policy_seconds_total,model,tiles,regime
qb_sqrt_n18,qasmbench,arithmetic,control,A_3200_0.5_abundant,A,3200,0.5,abundant,65,65,1,0.0,1,0.0,0.0,13.1818,3.6667,3179,597,463,463,463,463,463,463,463,597,463,463,uniform_min_teq,463,fixed_ccz,0.0,463,0.801,463,bounded,24.401,2383,462.0,0.0,0.0,0.0022,0.0,0.0,0,0,5940,1583,0,0,5940,1583,1471877,1471877,4.22,A,3200,abundant
qb_sqrt_n18,qasmbench,arithmetic,control,A_400_0.25,A,400,0.25,standard,65,65,1,0.0,1,0.0,0.0,2.4545,0.1667,369,597,466,466,466,597,466,466,466,597,465,466,uniform_min_teq,466,fixed_ccz,0.0,465,0.645,465,bounded,23.747,2819,462.0,0.0021,0.0,0.0065,0.0154,0.0154,0,0,1081,0,0,0,1081,0,171585,171585,3.717,A,400,standard
qb_sqrt_n18,qasmbench,arithmetic,control,A_400_0.5,A,400,0.5,standard,65,65,1,0.0,1,0.0,0.0,1.6364,0.5,414,597,463,463,463,463,463,463,463,597,463,463,uniform_min_teq,463,fixed_ccz,0.0,463,0.631,463,bounded,22.878,2882,462.0,0.0,0.0,0.0022,0.0,0.0,0,0,710,132,0,0,710,132,191682,191682,2.659,A,400,standard
qb_sqrt_n18,qasmbench,arithmetic,control,A_400_0.75,A,400,0.75,standard,65,65,1,0.0,1,0.0,0.0,0.8182,0.6667,387,598,463,463,463,463,463,463,463,463,463,463,uniform_min_teq,463,fixed_ccz,0.0,463,0.683,463,bounded,22.608,2914,462.0,0.0,0.0,0.0022,0.0,0.0,0,0,339,209,0,0,339,209,179181,179181,2.675,A,400,standard
qb_sqrt_n18,qasmbench,arithmetic,control,A_800_0.5,A,800,0.5,standard,65,65,1,0.0,1,0.0,0.0,3.2727,1.0,828,597,463,463,463,463,463,463,463,597,463,463,uniform_min_teq,463,fixed_ccz,0.0,463,0.637,463,bounded,22.927,2803,462.0,0.0,0.0,0.0022,0.0,0.0,0,0,1451,361,0,0,1451,361,383364,383364,2.935,A,800,standard
qb_sqrt_n18,qasmbench,arithmetic,control,B_400_0.25,B,400,0.25,standard,65,65,1,0.0,1,0.0,0.0,1.8182,0.1667,408,600,469,469,469,600,469,469,469,600,467,469,uniform_min_teq,469,fixed_ccz,0.0,469,0.845,467,bounded,27.556,1890,462.0,0.0043,0.0043,0.0149,0.0154,0.0,1,1,0,0,0,6,0,0,190536,191352,7.205,B,400,standard
qb_sqrt_n18,qasmbench,arithmetic,control,B_400_0.5,B,400,0.5,standard,65,65,1,0.0,1,0.0,0.0,1.2727,0.3333,386,601,465,465,465,465,465,465,465,601,465,465,uniform_min_teq,465,fixed_ccz,0.0,465,0.738,465,bounded,25.21,1982,462.0,0.0,0.0,0.0065,0.0,0.0,0,2,0,0,0,2,0,0,179490,179490,5.1,B,400,standard
qb_sqrt_n18,qasmbench,arithmetic,control,B_400_0.5_scarce,B,400,0.5,scarce,65,65,1,0.0,1,0.0,0.0,0.7426,0.1702,370,603,464,464,464,603,464,464,464,603,464,464,uniform_min_teq,464,fixed_ccz,0.0,464,0.74,464,bounded,24.016,2189,462.0,0.0,0.0,0.0043,0.0,0.0,0,1,0,0,0,1,0,0,171680,171680,4.064,B,400,scarce
qb_sqrt_n18,qasmbench,arithmetic,control,B_400_0.75,B,400,0.75,standard,65,65,1,0.0,1,0.0,0.0,0.7273,0.6667,442,602,465,465,465,465,465,465,465,465,465,465,uniform_min_teq,465,fixed_ccz,0.0,465,0.165,465,bounded,24.555,2141,462.0,0.0,0.0,0.0065,0.0,0.0,0,2,0,0,0,2,0,0,205530,205530,4.587,B,400,standard
qb_sqrt_n18,qasmbench,arithmetic,control,B_800_0.5,B,800,0.5,standard,65,65,1,0.0,1,0.0,0.0,2.5455,0.6667,772,599,464,464,464,464,464,464,464,599,464,464,uniform_min_teq,464,fixed_ccz,0.0,464,0.174,464,bounded,27.521,1666,462.0,0.0,0.0,0.0043,0.0,0.0,0,1,0,0,0,1,0,0,358208,358208,7.49,B,800,standard
