workload,source,family,role,machine,model,tiles,ccz_share,regime,decision_sites,stages,max_stage_width,wide_stage_fraction,consuming_families,mix_drift,alternation_rate,t_rate,ccz_rate,factory_tiles,makespan_fixed_t,makespan_fixed_ccz,makespan_uniform_oracle,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_best_simple,best_simple_policy,makespan_best_non_stateful,best_non_stateful_policy,makespan_stagedp,seconds_stagedp,makespan_oracle,oracle_status,oracle_seconds,oracle_simulations,lower_bound,headroom_vs_best_non_stateful,residual_headroom_vs_stagedp,max_possible_headroom_vs_stagedp,oracle_heterogeneity,stagedp_heterogeneity,oracle_t_stalls,oracle_ccz_stalls,oracle_t_waste,oracle_ccz_waste,stagedp_t_stalls,stagedp_ccz_stalls,stagedp_t_waste,stagedp_ccz_waste,oracle_space_time,stagedp_space_time,policy_seconds_total,model,tiles,regime
qt_add16,qualtran,serial_adder,control,A_400_0.5,A,400,0.5,standard,15,15,1,0.0,1,0.0,0.0,1.6364,0.5,414,201,166,166,166,166,166,166,166,201,166,uniform_min_teq,166,fixed_ccz,166,0.11,166,bounded,30.242,16923,162.0,0.0,0.0,0.0241,0.0,0.0,0,3,224,34,0,3,224,34,68724,68724,0.21,A,400,standard
qt_add16,qualtran,serial_adder,control,A_800_0.5,A,800,0.5,standard,15,15,1,0.0,1,0.0,0.0,3.2727,1.0,828,201,166,166,166,166,166,166,166,201,166,uniform_min_teq,166,fixed_ccz,166,0.107,166,bounded,30.307,15020,162.0,0.0,0.0,0.0241,0.0,0.0,0,3,479,114,0,3,479,114,137448,137448,0.209,A,800,standard
qt_add16,qualtran,serial_adder,control,B_400_0.5,B,400,0.5,standard,15,15,1,0.0,1,0.0,0.0,1.2727,0.3333,386,205,169,169,169,169,169,169,169,205,169,uniform_min_teq,169,fixed_ccz,169,0.135,169,bounded,30.887,7387,162.0,0.0,0.0,0.0414,0.0,0.0,0,6,0,0,0,6,0,0,65234,65234,0.66,B,400,standard
qt_add16,qualtran,serial_adder,control,C_400_0.5,C,400,0.5,standard,15,15,1,0.0,1,0.0,0.0,1.2727,0.3333,394,201,169,169,169,169,169,169,169,201,169,uniform_min_teq,169,fixed_ccz,169,0.149,169,bounded,30.892,7220,162.0,0.0,0.0,0.0414,0.0,0.0,0,6,0,0,0,6,0,0,66586,66586,0.667,C,400,standard
qt_add16,qualtran,serial_adder,control,C_800_0.5,C,800,0.5,standard,15,15,1,0.0,1,0.0,0.0,2.5455,0.6667,788,201,168,168,168,168,168,168,168,201,168,uniform_min_teq,168,fixed_ccz,168,0.123,168,bounded,31.583,4916,162.0,0.0,0.0,0.0357,0.0,0.0,0,5,0,0,0,5,0,0,132384,132384,1.28,C,800,standard
qt_multiand10,qualtran,and_ladder,control,A_400_0.5,A,400,0.5,standard,9,9,1,0.0,1,0.0,0.0,1.6364,0.5,414,72,49,49,49,49,49,49,49,72,49,uniform_min_teq,49,fixed_ccz,49,0.12,49,bounded,30.232,48902,45.0,0.0,0.0,0.0816,0.0,0.0,0,3,32,0,0,3,32,0,20286,20286,0.082,A,400,standard
qt_multiand10,qualtran,and_ladder,control,A_800_0.5,A,800,0.5,standard,9,9,1,0.0,1,0.0,0.0,3.2727,1.0,828,72,49,49,49,49,49,49,49,72,49,uniform_min_teq,49,fixed_ccz,49,0.133,49,bounded,30.274,36954,45.0,0.0,0.0,0.0816,0.0,0.0,0,3,96,3,0,3,96,3,40572,40572,0.096,A,800,standard
qt_multiand10,qualtran,and_ladder,control,B_400_0.5,B,400,0.5,standard,9,9,1,0.0,1,0.0,0.0,1.2727,0.3333,386,76,52,52,52,52,52,52,52,76,52,uniform_min_teq,52,fixed_ccz,52,0.153,52,bounded,30.804,11478,45.0,0.0,0.0,0.1346,0.0,0.0,0,6,0,0,0,6,0,0,20072,20072,0.249,B,400,standard
qt_multiand10,qualtran,and_ladder,control,C_400_0.5,C,400,0.5,standard,9,9,1,0.0,1,0.0,0.0,1.2727,0.3333,394,72,52,52,52,52,52,52,52,72,52,uniform_min_teq,52,fixed_ccz,52,0.153,52,bounded,30.761,11499,45.0,0.0,0.0,0.1346,0.0,0.0,0,6,0,0,0,6,0,0,20488,20488,0.244,C,400,standard
qt_multiand10,qualtran,and_ladder,control,C_800_0.5,C,800,0.5,standard,9,9,1,0.0,1,0.0,0.0,2.5455,0.6667,788,72,51,51,51,51,51,51,51,72,51,uniform_min_teq,51,fixed_ccz,51,0.244,51,bounded,31.434,6471,45.0,0.0,0.0,0.1176,0.0,0.0,0,5,0,0,0,5,0,0,40188,40188,0.481,C,800,standard
