workload,source,family,declared_role,role,note,gates,decision_sites,consuming_sites,choosing_sites,stages,max_stage_width,mean_stage_width,wide_stage_fraction,longest_serial_chain,total_parallelism,families,consuming_families,family_names,mean_variants_per_site,t_demand,ccz_demand,mean_stage_teq,mix_variance,mix_drift,mix_entropy,alternation_rate,load_variance,rotation_sites,t_gate_sites,and_pairs
qmpa_draper8,qmpa,parallel_adder,target,target,"qmpa's Draper-style adder. Upstream leaves the prefix rounds (P/G/C) unimplemented, so this is used only as an independently authored wide gate stream, not as a verified adder.",30,8,8,8,1,8,8.0,1.0,1,8.0,1,1,and,2.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0,0,8
qmpa_draper16,qmpa,parallel_adder,target,target,"as qmpa_draper8, 16 bits",62,16,16,16,1,16,16.0,1.0,1,16.0,1,1,and,2.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0,0,16
qmpa_mul6,qmpa,multiplier,target,target,,420,93,93,93,63,2,1.4762,0.4762,63,1.4762,1,1,and,2.0,0.0,186.0,2.9524,0.0,0.0,0.0,0.0,0.1145,0,0,93
qmpa_mul8,qmpa,multiplier,target,target,,736,164,164,164,108,2,1.5185,0.5185,108,1.5185,1,1,and,2.0,0.0,328.0,3.037,0.0,0.0,0.0,0.0,0.1083,0,0,164
qmpa_div6,qmpa,divider,target,target,,95,18,18,18,13,2,1.3846,0.3846,13,1.3846,1,1,and,2.0,0.0,36.0,2.7692,0.0,0.0,0.0,0.0,0.1235,0,0,18
qt_aliassamp8,qualtran,state_preparation,target,target,,374,33,33,33,13,7,2.5385,0.4615,13,2.5385,1,1,and,2.0,0.0,66.0,5.0769,0.0,0.0,0.0,0.0,0.7309,0,0,33
qt_aliassamp16,qualtran,state_preparation,target,target,,473,39,39,39,22,6,1.7727,0.3636,22,1.7727,1,1,and,2.0,0.0,78.0,3.5455,0.0,0.0,0.0,0.0,0.5766,0,0,39
qt_qft6,qualtran,qft,target,target,,54,21,25,21,21,1,1.0,0.0,21,1.0,2,3,and|rotation,2.8571,244.0,30.0,13.0476,0.1849,0.6833,0.4984,0.55,1.7077,6,4,15
qt_qft8,qualtran,qft,target,target,,96,43,49,43,43,1,1.0,0.0,43,1.0,2,3,and|rotation,3.0465,606.0,56.0,15.3953,0.208,0.7857,0.4182,0.6905,1.3688,15,6,28
qt_qpe3,qualtran,phase_estimation,target,target,,37,10,18,10,10,1,1.0,0.0,10,1.0,1,2,and,2.0,8.0,20.0,2.8,0.0178,0.037,0.8631,0.0,0.0204,0,8,10
qt_prepunif6,qualtran,state_preparation,target,target,,43,7,7,7,6,2,1.1667,0.1667,6,1.1667,2,2,and|rotation,2.8571,80.0,10.0,15.0,0.212,0.581,0.5033,0.6,1.5037,2,0,5
qb_qram_n20,qasmbench,lookup,target,target,,41,14,14,14,13,2,1.0769,0.0769,13,1.0769,2,2,and|toffoli,3.1429,0.0,28.0,2.1538,0.0,0.0,0.0,0.0,0.0612,0,0,6
qb_sat_n11,qasmbench,oracle,target,target,,91,22,22,22,21,2,1.0476,0.0476,21,1.0476,2,2,and|toffoli,2.1818,0.0,44.0,2.0952,0.0,0.0,0.0,0.0,0.0413,0,0,20
qb_sat_n7,qasmbench,oracle,target,target,,40,6,6,6,5,2,1.2,0.2,5,1.2,2,2,and|toffoli,2.6667,0.0,12.0,2.4,0.0,0.0,0.0,0.0,0.1111,0,0,4
qb_multiplier_n15,qasmbench,multiplier,target,target,,70,18,18,18,10,3,1.8,0.5,10,1.8,1,1,and,2.0,0.0,36.0,3.6,0.0,0.0,0.0,0.0,0.2346,0,0,18
qb_multiply_n13,qasmbench,multiplier,target,target,,14,6,6,6,4,2,1.5,0.5,4,1.5,1,1,toffoli,4.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.1111,0,0,0
qb_sqrt_n18,qasmbench,arithmetic,target,control,,480,65,65,65,65,1,1.0,0.0,65,1.0,1,1,and,2.0,0.0,130.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,65
qt_add16,qualtran,serial_adder,control,control,"ripple-carry: one site per stage, homogeneous demand",117,15,15,15,15,1,1.0,0.0,15,1.0,1,1,and,2.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,15
qt_modadd8,qualtran,serial_adder,control,control,serial chain,279,31,31,31,31,1,1.0,0.0,31,1.0,1,1,and,2.0,0.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,31
qt_multiand10,qualtran,and_ladder,control,control,"single serial AND ladder, no uncompute",9,9,9,9,9,1,1.0,0.0,9,1.0,1,1,toffoli,4.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
qt_qrom16x5,qualtran,lookup,control,control,unary iteration is genuinely sequential,76,14,14,14,14,1,1.0,0.0,14,1.0,1,1,and,2.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,14
qt_halfgt8,qualtran,comparator,control,control,serial comparison chain,78,8,8,8,8,1,1.0,0.0,8,1.0,1,1,toffoli,4.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
