kernel,family,concurrency,decision_sites,assignment_space,capacity_target,ccz_share,t_rate,ccz_rate,capacity_achieved,imbalance,factory_tiles,supply_pressure,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_uniform_oracle,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_global_oracle,oracle_exhaustive,regret_uniform_min_teq,regret_min_weighted_count,regret_uniform_oracle,regret_two_term_descent,regret_local_sim_greedy,regret_share_aware_greedy,regret_proportional_split,regret_sim_descent,best_simple_baseline,makespan_best_simple,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand,uniform_ccz_share_of_demand,oracle_space_time,uniform_space_time,space_time_ratio,seconds_uniform_min_teq,seconds_min_weighted_count,seconds_uniform_oracle,seconds_two_term_descent,seconds_local_sim_greedy,seconds_share_aware_greedy,seconds_proportional_split,seconds_sim_descent,seconds_global_oracle
and_ladder_s2_l2,and_ladder,2,4,256,0.25,0.1,0.1818,0.1667,0.5152,1.8333,94,1.1092,27,27,27,27,27,27,52,27,27,1,1.0,1.0,1.0,1.0,1.0,1.0,1.9259,1.0,uniform_min_teq,27,0.0,0.0,0.0,1.0,1.0,2862,2862,1.0,0.0018,0.0009,0.0028,0.0107,0.0037,0.004,0.0007,0.0335,0.0468
and_ladder_s2_l2,and_ladder,2,4,256,0.25,0.25,0.1818,0.1667,0.5152,1.8333,94,1.1092,27,27,27,27,27,27,52,27,27,1,1.0,1.0,1.0,1.0,1.0,1.0,1.9259,1.0,uniform_min_teq,27,0.0,0.0,0.0,1.0,1.0,2862,2862,1.0,0.0017,0.0008,0.0028,0.0107,0.0038,0.0044,0.0007,0.0336,0.0479
and_ladder_s2_l2,and_ladder,2,4,256,0.25,0.5,0.0909,0.1667,0.4242,3.6667,83,1.3469,27,27,27,27,27,27,27,27,27,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,uniform_min_teq,27,0.0,0.0,0.0,1.0,1.0,2565,2565,1.0,0.0017,0.0008,0.0033,0.0101,0.0039,0.004,0.0006,0.0368,0.0577
and_ladder_s2_l2,and_ladder,2,4,256,0.25,0.75,0.0909,0.1667,0.4242,3.6667,83,1.3469,27,27,27,27,27,27,27,27,27,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,uniform_min_teq,27,0.0,0.0,0.0,1.0,1.0,2565,2565,1.0,0.0017,0.0008,0.0033,0.0097,0.0038,0.0039,0.0006,0.0362,0.0577
and_ladder_s2_l2,and_ladder,2,4,256,0.25,0.9,0.0909,0.1667,0.4242,3.6667,83,1.3469,27,27,27,27,27,27,27,27,27,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,uniform_min_teq,27,0.0,0.0,0.0,1.0,1.0,2565,2565,1.0,0.0017,0.0008,0.0034,0.0098,0.0038,0.0044,0.0007,0.0387,0.0654
and_ladder_s2_l2,and_ladder,2,4,256,0.5,0.1,0.4545,0.1667,0.7879,1.3636,127,0.7933,27,27,27,27,27,27,29,24,24,1,1.125,1.125,1.125,1.125,1.125,1.125,1.2083,1.0,uniform_min_teq,27,0.1111,0.1111,0.25,0.6,1.0,3336,3753,0.8889,0.0019,0.001,0.003,0.0125,0.0045,0.0041,0.0008,0.0372,0.0417
and_ladder_s2_l2,and_ladder,2,4,256,0.5,0.25,0.3636,0.1667,0.697,1.0909,116,0.8967,27,27,27,29,27,27,33,24,24,1,1.125,1.125,1.125,1.2083,1.125,1.125,1.375,1.0,uniform_min_teq,27,0.1111,0.1111,0.25,0.6,1.0,3072,3456,0.8889,0.0018,0.0008,0.0026,0.0119,0.004,0.0046,0.0008,0.0365,0.0418
and_ladder_s2_l2,and_ladder,2,4,256,0.5,0.5,0.2727,0.1667,0.6061,1.2222,105,1.0313,27,27,27,32,27,27,39,25,25,1,1.08,1.08,1.08,1.28,1.08,1.08,1.56,1.0,uniform_min_teq,27,0.0741,0.0741,0.25,0.6,1.0,2925,3159,0.9259,0.0017,0.0008,0.0029,0.0127,0.004,0.004,0.0008,0.0365,0.0421
and_ladder_s2_l2,and_ladder,2,4,256,0.5,0.75,0.0909,0.1667,0.4242,3.6667,83,1.3469,27,27,27,27,27,27,27,27,27,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,uniform_min_teq,27,0.0,0.0,0.0,1.0,1.0,2565,2565,1.0,0.0016,0.0007,0.0032,0.0099,0.0051,0.0039,0.0006,0.037,0.0589
and_ladder_s2_l2,and_ladder,2,4,256,0.5,0.9,0.0909,0.1667,0.4242,3.6667,83,1.3469,27,27,27,27,27,27,27,27,27,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,uniform_min_teq,27,0.0,0.0,0.0,1.0,1.0,2565,2565,1.0,0.0018,0.0008,0.0034,0.0099,0.0039,0.0041,0.0006,0.0392,0.0601
