capacity_target,ccz_share,cases,exhaustive_cases,headroom_over_uniform_median,headroom_over_uniform_p90,headroom_over_uniform_max,headroom_over_best_simple_median,headroom_over_best_simple_p90,headroom_over_best_simple_max,cases_over_5pct,oracle_heterogeneity_mean,regret_sim_descent_mean,regret_share_aware_greedy_mean,regret_uniform_oracle_mean
0.25,0.1,24,21,0.1538,0.2993,0.332,0.0,0.1951,0.2642,8,0.2404,1.0113,1.2362,1.1893
0.25,0.25,24,21,0.1538,0.2993,0.332,0.0,0.1951,0.2642,8,0.2404,1.0113,1.2362,1.1893
0.25,0.5,24,18,0.0,0.1509,0.1951,0.0,0.0195,0.0744,1,0.0924,1.0026,1.0701,1.0593
0.25,0.75,24,18,0.0,0.1509,0.1951,0.0,0.0195,0.0744,1,0.0924,1.0026,1.0701,1.0593
0.25,0.9,24,18,0.0,0.1509,0.1951,0.0,0.0195,0.0744,1,0.0924,1.0026,1.0701,1.0593
0.5,0.1,24,21,0.0881,0.3287,0.3697,0.0,0.0873,0.1944,7,0.2743,1.0028,1.4511,1.192
0.5,0.25,24,21,0.1689,0.4573,0.46,0.0667,0.1393,0.2472,14,0.3259,1.0045,1.3922,1.2765
0.5,0.5,24,21,0.1913,0.379,0.399,0.0,0.2314,0.2463,10,0.3158,1.019,1.3692,1.2603
0.5,0.75,24,18,0.0,0.1509,0.1951,0.0,0.0195,0.0744,1,0.0924,1.0026,1.0701,1.0593
0.5,0.9,24,18,0.0,0.1509,0.1951,0.0,0.0195,0.0744,1,0.0924,1.0026,1.0701,1.0593
1.0,0.1,24,21,0.0739,0.3333,0.3542,0.0262,0.1253,0.136,10,0.3448,1.0002,1.5976,1.1482
1.0,0.25,24,21,0.0863,0.3077,0.4649,0.0141,0.0895,0.12,8,0.3558,1.0078,1.5252,1.1923
1.0,0.5,24,21,0.0953,0.3541,0.3745,0.0,0.1577,0.2076,8,0.2438,1.0,1.2271,1.168
1.0,0.75,24,21,0.0,0.1749,0.2469,0.0,0.1026,0.1335,4,0.1209,1.0,1.1003,1.0699
1.0,0.9,24,18,0.0,0.0013,0.1212,0.0,0.0013,0.1212,2,0.0521,1.0,1.0096,1.0096
2.0,0.1,24,21,0.0829,0.2716,0.3075,0.0,0.1569,0.1875,9,0.2321,1.0046,1.3143,1.1321
2.0,0.25,24,21,0.0815,0.2328,0.4607,0.029,0.1143,0.1261,11,0.2741,1.0038,1.1711,1.1582
2.0,0.5,24,21,0.028,0.3063,0.4618,0.0006,0.1544,0.202,8,0.2262,1.006,1.1751,1.1397
2.0,0.75,24,21,0.0513,0.1713,0.2429,0.0,0.1004,0.2038,7,0.2248,1.0049,1.0993,1.0745
2.0,0.9,24,20,0.0,0.1902,0.2132,0.0,0.0,0.102,2,0.1004,1.0,1.0217,1.0513
