kernel,control,setting,capacity_target,ccz_share,t_rate,ccz_rate,buffer,latency,p_success,seed,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand
and_ladder_s2_l2,baseline,two banks,0.25,0.25,0.1818,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,baseline,two banks,0.25,0.5,0.0909,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,baseline,two banks,0.25,0.75,0.0909,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,baseline,two banks,0.5,0.25,0.3636,0.1667,32,0,1.0,0,27,27,uniform_min_teq,24,1,0.1111,0.1111,0.25,0.6
and_ladder_s2_l2,baseline,two banks,0.5,0.5,0.2727,0.1667,32,0,1.0,0,27,27,uniform_min_teq,25,1,0.0741,0.0741,0.25,0.6
and_ladder_s2_l2,baseline,two banks,0.5,0.75,0.0909,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,baseline,two banks,1.0,0.25,0.7273,0.1667,32,0,1.0,0,27,25,two_term_descent,22,1,0.1852,0.12,0.25,0.4615
and_ladder_s2_l2,baseline,two banks,1.0,0.5,0.5455,0.3333,32,0,1.0,0,19,19,uniform_min_teq,19,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,baseline,two banks,1.0,0.75,0.2727,0.3333,32,0,1.0,0,19,19,uniform_min_teq,19,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,buffer,B=-1,0.5,0.5,0.2727,0.1667,-1,0,1.0,0,27,27,uniform_min_teq,25,1,0.0741,0.0741,0.25,0.6
and_ladder_s2_l2,buffer,B=128,0.5,0.5,0.2727,0.1667,128,0,1.0,0,27,27,uniform_min_teq,25,1,0.0741,0.0741,0.25,0.6
and_ladder_s2_l2,buffer,B=2,0.5,0.5,0.2727,0.1667,2,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,buffer,B=32,0.5,0.5,0.2727,0.1667,32,0,1.0,0,27,27,uniform_min_teq,25,1,0.0741,0.0741,0.25,0.6
and_ladder_s2_l2,buffer,B=8,0.5,0.5,0.2727,0.1667,8,0,1.0,0,27,27,uniform_min_teq,25,1,0.0741,0.0741,0.25,0.6
and_ladder_s2_l2,conversion,CCZ->2T only,0.25,0.25,0.1818,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,conversion,CCZ->2T only,0.25,0.5,0.0909,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,conversion,CCZ->2T only,0.25,0.75,0.0909,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,conversion,CCZ->2T only,0.5,0.25,0.3636,0.1667,32,0,1.0,0,27,27,uniform_min_teq,24,1,0.1111,0.1111,0.25,0.6
and_ladder_s2_l2,conversion,CCZ->2T only,0.5,0.5,0.2727,0.1667,32,0,1.0,0,27,27,uniform_min_teq,25,1,0.0741,0.0741,0.25,0.6
and_ladder_s2_l2,conversion,CCZ->2T only,0.5,0.75,0.0909,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,conversion,CCZ->2T only,1.0,0.25,0.7273,0.1667,32,0,1.0,0,27,25,two_term_descent,22,1,0.1852,0.12,0.25,0.4615
and_ladder_s2_l2,conversion,CCZ->2T only,1.0,0.5,0.5455,0.3333,32,0,1.0,0,19,19,uniform_min_teq,19,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,conversion,CCZ->2T only,1.0,0.75,0.2727,0.3333,32,0,1.0,0,19,19,uniform_min_teq,19,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,conversion,both directions,0.25,0.25,0.1818,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,conversion,both directions,0.25,0.5,0.0909,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,conversion,both directions,0.25,0.75,0.0909,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2,conversion,both directions,0.5,0.25,0.3636,0.1667,32,0,1.0,0,27,27,uniform_min_teq,24,1,0.1111,0.1111,0.25,0.6
