family,kernel,concurrency,size,decision_sites,assignment_space,symmetric_space,capacity_target,ccz_share,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_sim_descent,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,sim_descent_regret,oracle_heterogeneity,oracle_ccz_share_of_demand,seconds_uniform_oracle,seconds_sim_descent,seconds_global_oracle
multiplier,multiplier_w32_r4,2,32,3,216,126,0.25,0.25,561,471,two_term_descent,471,471,1,0.1604,0.0,1.0,0.3333,0.7222,0.0672,0.8057,0.8353
multiplier,multiplier_w32_r4,2,32,3,216,126,0.25,0.5,561,561,uniform_min_teq,561,561,1,0.0,0.0,1.0,0.0,1.0,0.0789,1.0821,0.8809
multiplier,multiplier_w32_r4,2,32,3,216,126,0.25,0.75,561,561,uniform_min_teq,561,561,1,0.0,0.0,1.0,0.0,1.0,0.0644,0.8723,0.8877
multiplier,multiplier_w32_r4,2,32,3,216,126,0.5,0.25,509,449,two_term_descent,412,412,1,0.1906,0.0824,1.0,0.3333,0.5122,0.0494,0.6503,0.5742
multiplier,multiplier_w32_r4,2,32,3,216,126,0.5,0.5,561,453,two_term_descent,453,453,1,0.1925,0.0,1.0,0.3333,0.5122,0.0508,0.8222,0.6327
multiplier,multiplier_w32_r4,2,32,3,216,126,0.5,0.75,561,561,uniform_min_teq,561,561,1,0.0,0.0,1.0,0.0,1.0,0.0725,0.8797,0.8354
multiplier,multiplier_w32_r4,2,32,3,216,126,1.0,0.25,322,322,uniform_oracle,316,316,1,0.0186,0.0186,1.0,0.6667,0.3381,0.047,0.5606,0.4694
multiplier,multiplier_w32_r4,2,32,3,216,126,1.0,0.5,289,289,uniform_min_teq,246,246,1,0.1488,0.1488,1.0,0.3333,0.7222,0.0447,0.6064,0.5004
multiplier,multiplier_w32_r4,2,32,3,216,126,1.0,0.75,289,289,uniform_min_teq,289,289,1,0.0,0.0,1.0,0.0,1.0,0.0473,0.5448,0.5402
multiplier,multiplier_w32_r8,4,32,7,279936,15876,0.25,0.25,1305,1305,uniform_min_teq,1098,1098,0,0.1586,0.1586,1.0,0.4286,0.6565,0.1366,5.1204,7.9677
multiplier,multiplier_w32_r8,4,32,7,279936,15876,0.25,0.5,1305,1215,two_term_descent,1215,1215,0,0.069,0.0,1.0,0.1429,0.8707,0.1747,6.2305,8.8417
multiplier,multiplier_w32_r8,4,32,7,279936,15876,0.25,0.75,1305,1215,two_term_descent,1215,1215,0,0.069,0.0,1.0,0.1429,0.8707,0.1926,5.1477,7.579
multiplier,multiplier_w32_r8,4,32,7,279936,15876,0.5,0.25,1169,1169,uniform_oracle,880,880,0,0.2472,0.2472,1.0,0.5714,0.4812,0.1257,5.281,8.5207
multiplier,multiplier_w32_r8,4,32,7,279936,15876,0.5,0.5,1305,1287,two_term_descent,970,970,0,0.2567,0.2463,1.0,0.4286,0.5612,0.1542,4.3976,6.6891
multiplier,multiplier_w32_r8,4,32,7,279936,15876,0.5,0.75,1305,1215,two_term_descent,1215,1215,0,0.069,0.0,1.0,0.1429,0.8707,0.1584,5.946,9.0449
multiplier,multiplier_w32_r8,4,32,7,279936,15876,1.0,0.25,706,706,uniform_oracle,688,688,0,0.0255,0.0255,1.0,0.5714,0.3354,0.1285,3.5571,5.9767
multiplier,multiplier_w32_r8,4,32,7,279936,15876,1.0,0.5,661,660,two_term_descent,523,523,0,0.2088,0.2076,1.0,0.2857,0.6502,0.1396,3.5921,6.1108
multiplier,multiplier_w32_r8,4,32,7,279936,15876,1.0,0.75,661,659,two_term_descent,571,571,0,0.1362,0.1335,1.0,0.2857,0.7571,0.1453,4.8855,6.2369
multiplier,multiplier_w32_r16,8,32,15,470184984576,20432412,0.25,0.25,2793,2793,uniform_min_teq,2265,2265,0,0.189,0.189,1.0,0.4,0.6757,0.3778,25.562,35.9877
multiplier,multiplier_w32_r16,8,32,15,470184984576,20432412,0.25,0.5,2793,2793,uniform_min_teq,2517,2517,0,0.0988,0.0988,1.0,0.1333,0.82,0.3898,23.1664,37.7712
multiplier,multiplier_w32_r16,8,32,15,470184984576,20432412,0.25,0.75,2793,2793,uniform_min_teq,2517,2517,0,0.0988,0.0988,1.0,0.1333,0.82,0.4592,25.5323,36.433
multiplier,multiplier_w32_r16,8,32,15,470184984576,20432412,0.5,0.25,2489,2211,two_term_descent,1834,1834,0,0.2632,0.1705,1.0,0.2667,0.4762,0.3144,24.9189,41.0914
multiplier,multiplier_w32_r16,8,32,15,470184984576,20432412,0.5,0.5,2793,2745,two_term_descent,2014,2014,0,0.2789,0.2663,1.0,0.4,0.55,0.3334,24.5808,37.0247
multiplier,multiplier_w32_r16,8,32,15,470184984576,20432412,0.5,0.75,2793,2793,uniform_min_teq,2517,2517,0,0.0988,0.0988,1.0,0.1333,0.82,0.4345,25.1958,34.9824
multiplier,multiplier_w32_r16,8,32,15,470184984576,20432412,1.0,0.25,1474,1391,two_term_descent,1385,1385,0,0.0604,0.0043,1.0,0.0667,0.3173,0.2635,25.3089,37.2128
multiplier,multiplier_w32_r16,8,32,15,470184984576,20432412,1.0,0.5,1405,1401,two_term_descent,1038,1038,0,0.2612,0.2591,1.0,0.3333,0.5816,0.3451,20.5576,31.18
