toffoli_scale,lanes,capacity_target,ccz_share,cheaper_route,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand
0.5,2,0.25,0.25,ccz,243,227,two_term_descent,227,1,0.0658,0.0,0.25,0.6
0.5,2,0.25,0.5,ccz,243,243,uniform_min_teq,243,1,0.0,0.0,0.0,1.0
0.5,2,0.25,0.75,ccz,243,243,uniform_min_teq,243,1,0.0,0.0,0.0,1.0
0.5,2,0.5,0.25,ccz,243,183,two_term_descent,183,1,0.2469,0.0,0.25,0.6
0.5,2,0.5,0.5,ccz,243,207,two_term_descent,183,1,0.2469,0.1159,0.25,0.6
0.5,2,0.5,0.75,ccz,243,243,uniform_min_teq,243,1,0.0,0.0,0.0,1.0
0.5,2,1.0,0.25,ccz,231,155,two_term_descent,123,1,0.4675,0.2065,0.5,0.3333
0.5,2,1.0,0.5,ccz,126,120,two_term_descent,119,1,0.0556,0.0083,0.25,0.6
0.5,2,1.0,0.75,ccz,126,126,uniform_min_teq,126,1,0.0,0.0,0.0,1.0
0.5,3,0.25,0.25,ccz,363,303,two_term_descent,303,1,0.1653,0.0,0.1667,0.7143
0.5,3,0.25,0.5,ccz,363,363,uniform_min_teq,363,1,0.0,0.0,0.0,1.0
0.5,3,0.25,0.75,ccz,363,363,uniform_min_teq,363,1,0.0,0.0,0.0,1.0
0.5,3,0.5,0.25,ccz,363,321,two_term_descent,243,1,0.3306,0.243,0.3333,0.5
0.5,3,0.5,0.5,ccz,363,302,proportional_split,302,1,0.168,0.0,0.3333,0.5
0.5,3,0.5,0.75,ccz,363,363,uniform_min_teq,363,1,0.0,0.0,0.0,1.0
0.5,3,1.0,0.25,ccz,341,210,two_term_descent,183,1,0.4633,0.1286,0.5,0.3333
0.5,3,1.0,0.5,ccz,186,156,two_term_descent,156,1,0.1613,0.0,0.1667,0.7143
0.5,3,1.0,0.75,ccz,186,180,two_term_descent,157,1,0.1559,0.1278,0.1667,0.7143
