kernel,role,model,tiles,ccz_share,raw_setting,raw_period,raw_scale,raw_tiles,factory_tiles,t_rate,ccz_rate,raw_rate,capacity_teq,t_units,ccz_units,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_uniform_oracle,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_global_oracle,oracle_exhaustive,best_simple_baseline,makespan_best_simple,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand,regret_sim_descent
and_ladder_s2_l3,decisive,A,200,0.25,,,,,226,1.2727,0.1667,0.0,1.6061,14,1,39,32,32,29,39,39,28,25,25,1,proportional_split,28,0.2188,0.1071,0.5,0.3333,1.0
and_ladder_s2_l3,decisive,A,200,0.5,,,,,171,0.8182,0.1667,0.0,1.1515,9,1,39,42,39,29,39,39,32,29,27,1,two_term_descent,29,0.3077,0.069,0.3333,0.5,1.0741
and_ladder_s2_l3,decisive,A,200,0.75,,,,,199,0.4545,0.3333,0.0,1.1212,5,2,24,24,24,27,24,24,29,24,24,1,uniform_min_teq,24,0.0,0.0,0.0,1.0,1.0
and_ladder_s2_l3,decisive,A,400,0.25,,,,,369,2.4545,0.1667,0.0,2.7879,27,1,39,27,27,25,39,39,27,23,23,1,two_term_descent,25,0.1481,0.08,0.5,0.25,1.0
and_ladder_s2_l3,decisive,A,400,0.5,,,,,414,1.6364,0.5,0.0,2.6364,18,3,20,20,20,24,20,20,27,20,20,1,uniform_min_teq,20,0.0,0.0,0.0,1.0,1.0
and_ladder_s2_l3,decisive,A,400,0.75,,,,,387,0.8182,0.6667,0.0,2.1515,9,4,19,19,19,19,19,19,26,19,19,1,uniform_min_teq,19,0.0,0.0,0.0,1.0,1.0
and_ladder_s2_l3,decisive,A,800,0.25,,,,,821,5.0,0.5,0.0,6.0,55,3,20,26,20,22,20,20,26,20,20,1,uniform_min_teq,20,0.0,0.0,0.0,1.0,1.0
and_ladder_s2_l3,decisive,A,800,0.5,,,,,828,3.2727,1.0,0.0,5.2727,36,6,18,18,18,18,18,18,25,18,18,1,uniform_min_teq,18,0.0,0.0,0.0,1.0,1.0
and_ladder_s2_l3,decisive,A,800,0.75,,,,,774,1.6364,1.3333,0.0,4.303,18,8,17,17,17,17,17,17,25,17,17,1,uniform_min_teq,17,0.0,0.0,0.0,1.0,1.0
and_ladder_s2_l3,decisive,B,200,0.25,default,2,1.0,2,242,0.9091,0.1667,15.0,1.2424,10,1,42,42,42,36,42,42,34,29,29,1,proportional_split,34,0.3095,0.1471,0.5,0.3333,1.0
