kernel,family,capacity_target,ccz_share,supply_pressure,imbalance,supply_ccz_share,uniform_mix_mismatch,uniform_waste,concurrency,decision_sites,stages,max_stage_width,serial_fraction,mean_variants_per_site,min_cross_resource_cost_ratio,families,headroom_over_best_simple,headroom_over_uniform,oracle_exhaustive,fails
and_ladder_s2_l2,and_ladder,0.25,0.1,1.1092,1.8333,0.6471,0.3529,0.4249,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,0.25,0.25,1.1092,1.8333,0.6471,0.3529,0.4249,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,0.25,0.5,1.3469,3.6667,0.7858,0.2142,0.3017,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,0.25,0.75,1.3469,3.6667,0.7858,0.2142,0.3017,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,0.25,0.9,1.3469,3.6667,0.7858,0.2142,0.3017,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,0.5,0.1,0.7933,1.3636,0.4232,0.5768,0.6239,2,4,2,2,0.0,4.0,2.0,1,0.1111,0.1111,1,1
and_ladder_s2_l2,and_ladder,0.5,0.25,0.8967,1.0909,0.4783,0.5217,0.5749,2,4,2,2,0.0,4.0,2.0,1,0.1111,0.1111,1,1
and_ladder_s2_l2,and_ladder,0.5,0.5,1.0313,1.2222,0.5501,0.4499,0.5111,2,4,2,2,0.0,4.0,2.0,1,0.0741,0.0741,1,1
and_ladder_s2_l2,and_ladder,0.5,0.75,1.3469,3.6667,0.7858,0.2142,0.3017,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,0.5,0.9,1.3469,3.6667,0.7858,0.2142,0.3017,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,1.0,0.1,0.7474,2.7273,0.2683,0.7317,0.7615,2,4,2,2,0.0,4.0,2.0,1,0.0833,0.1852,1,1
and_ladder_s2_l2,and_ladder,1.0,0.25,0.8755,2.1818,0.3143,0.6857,0.7207,2,4,2,2,0.0,4.0,2.0,1,0.12,0.1852,1,1
and_ladder_s2_l2,and_ladder,1.0,0.5,0.4714,1.2222,0.55,0.45,0.6526,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,1.0,0.75,0.6083,2.4444,0.7097,0.2903,0.5517,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,1.0,0.9,0.5238,11.0,0.9167,0.0833,0.5926,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,2.0,0.1,0.4316,5.4545,0.155,0.155,0.714,2,4,2,2,0.0,4.0,2.0,1,0.0833,0.1538,1,1
and_ladder_s2_l2,and_ladder,2.0,0.25,0.2694,2.1818,0.3143,0.6857,0.8015,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,2.0,0.5,0.2857,1.0,0.5,0.5,0.7778,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,2.0,0.75,0.3041,2.4444,0.7097,0.2903,0.7495,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l2,and_ladder,2.0,0.9,0.3091,9.1667,0.9016,0.0984,0.7454,2,4,2,2,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,0.25,0.1,1.6985,1.8333,0.6471,0.3529,0.4028,3,6,2,3,0.0,4.0,2.0,1,0.1081,0.1538,1,1
and_ladder_s2_l3,and_ladder,0.25,0.25,1.6985,1.8333,0.6471,0.3529,0.4028,3,6,2,3,0.0,4.0,2.0,1,0.1081,0.1538,1,1
and_ladder_s2_l3,and_ladder,0.25,0.5,2.0204,3.6667,0.7858,0.2142,0.2748,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,0.25,0.75,2.0204,3.6667,0.7858,0.2142,0.2748,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,0.25,0.9,2.0204,3.6667,0.7858,0.2142,0.2748,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,0.5,0.1,1.1282,1.3636,0.4232,0.5768,0.6095,3,6,2,3,0.0,4.0,2.0,1,0.1944,0.2564,1,1
and_ladder_s2_l3,and_ladder,0.5,0.25,1.2554,1.0909,0.4783,0.5217,0.5585,3,6,2,3,0.0,4.0,2.0,1,0.0,0.1538,1,0
and_ladder_s2_l3,and_ladder,0.5,0.5,1.4438,1.2222,0.5501,0.4499,0.4923,3,6,2,3,0.0,4.0,2.0,1,0.0,0.1538,1,0
and_ladder_s2_l3,and_ladder,0.5,0.75,2.0204,3.6667,0.7858,0.2142,0.2748,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,0.5,0.9,2.0204,3.6667,0.7858,0.2142,0.2748,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,1.0,0.1,0.8049,2.7273,0.2683,0.7317,0.7524,3,6,2,3,0.0,4.0,2.0,1,0.1333,0.3333,1,1
and_ladder_s2_l3,and_ladder,1.0,0.25,0.8381,2.1818,0.3143,0.6857,0.7099,3,6,2,3,0.0,4.0,2.0,1,0.1,0.3077,1,1
and_ladder_s2_l3,and_ladder,1.0,0.5,0.7071,1.2222,0.55,0.45,0.5875,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,1.0,0.75,0.9124,2.4444,0.7097,0.2903,0.4677,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,1.0,0.9,0.7857,11.0,0.9167,0.0833,0.45,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,2.0,0.1,0.6972,5.4545,0.155,0.155,0.6154,3,6,2,3,0.0,4.0,2.0,1,0.1481,0.2069,1,1
and_ladder_s2_l3,and_ladder,2.0,0.25,0.5724,2.1818,0.3143,0.6857,0.7643,3,6,2,3,0.0,4.0,2.0,1,0.0833,0.0833,1,1
and_ladder_s2_l3,and_ladder,2.0,0.5,0.4286,1.0,0.5,0.5,0.7,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
