rule,f1,precision,recall,tp,fp,fn
supply_ccz_share <= 0.6471,0.525,0.383,0.835,101,163,20
imbalance <= 2.7273,0.504,0.358,0.851,103,185,18
uniform_waste >= 0.3545,0.497,0.407,0.636,77,112,44
stages >= 3,0.493,0.382,0.694,84,136,37
decision_sites >= 4,0.457,0.306,0.909,110,250,11
mean_variants_per_site >= 5.5,0.444,0.414,0.479,58,82,63
serial_fraction >= 0.25,0.443,0.333,0.661,80,160,41
supply_pressure <= 1.3437,0.438,0.315,0.719,87,189,34
families <= 2,0.43,0.28,0.926,112,288,9
capacity_target >= 0.5,0.424,0.283,0.843,102,258,19
uniform_mix_mismatch >= 0.219,0.405,0.328,0.529,64,131,57
imbalance >= 1.0,0.403,0.252,1.0,121,359,0
supply_ccz_share >= 0.155,0.403,0.252,1.0,121,359,0
uniform_mix_mismatch <= 0.7317,0.403,0.252,1.0,121,359,0
concurrency >= 1,0.403,0.252,1.0,121,359,0
stages <= 4,0.403,0.252,1.0,121,359,0
max_stage_width >= 1,0.403,0.252,1.0,121,359,0
serial_fraction <= 1.0,0.403,0.252,1.0,121,359,0
mean_variants_per_site <= 6.0,0.403,0.252,1.0,121,359,0
min_cross_resource_cost_ratio <= 2.0,0.403,0.252,1.0,121,359,0
families >= 1,0.403,0.252,1.0,121,359,0
capacity_target <= 2.0,0.403,0.252,1.0,121,359,0
uniform_waste <= 0.7643,0.401,0.252,0.992,120,357,1
decision_sites <= 10,0.396,0.25,0.95,115,345,6
supply_pressure >= 0.5388,0.394,0.248,0.95,115,348,6
min_cross_resource_cost_ratio >= 2.0,0.354,0.254,0.587,71,209,50
concurrency <= 3,0.317,0.215,0.603,73,267,48
max_stage_width <= 3,0.317,0.215,0.603,73,267,48
imbalance<= & stages>=,0.571,0.429,0.851,103,137,18
uniform_waste>= & stages>=,0.527,0.45,0.636,77,94,44
imbalance<= & max_stage_width>=,0.504,0.358,0.851,103,185,18
imbalance<= & min_cross_resource_cost_ratio>=,0.504,0.358,0.851,103,185,18
imbalance<= & min_cross_resource_cost_ratio<=,0.504,0.358,0.851,103,185,18
imbalance<= & families>=,0.504,0.358,0.851,103,185,18
supply_pressure>= & imbalance<=,0.503,0.361,0.826,100,177,21
uniform_waste>= & imbalance<=,0.503,0.424,0.62,75,102,46
uniform_waste>= & imbalance>=,0.497,0.407,0.636,77,112,44
uniform_waste>= & serial_fraction>=,0.497,0.407,0.636,77,112,44
uniform_waste>= & max_stage_width>=,0.497,0.407,0.636,77,112,44
uniform_waste>= & concurrency<=,0.497,0.407,0.636,77,112,44
uniform_waste>= & min_cross_resource_cost_ratio>=,0.497,0.407,0.636,77,112,44
uniform_waste>= & min_cross_resource_cost_ratio<=,0.497,0.407,0.636,77,112,44
uniform_waste>= & families>=,0.497,0.407,0.636,77,112,44
imbalance>= & stages>=,0.493,0.382,0.694,84,136,37
stages>= & max_stage_width>=,0.493,0.382,0.694,84,136,37
stages>= & concurrency<=,0.493,0.382,0.694,84,136,37
stages>= & min_cross_resource_cost_ratio<=,0.493,0.382,0.694,84,136,37
stages>= & families>=,0.493,0.382,0.694,84,136,37
supply_pressure>= & uniform_waste>=,0.485,0.413,0.587,71,101,50
supply_pressure>= & stages>=,0.48,0.377,0.661,80,132,41
stages>= & serial_fraction>=,0.467,0.375,0.62,75,125,46
imbalance<= & concurrency<=,0.462,0.337,0.736,89,175,32
imbalance>= & serial_fraction>=,0.443,0.333,0.661,80,160,41
serial_fraction>= & max_stage_width>=,0.443,0.333,0.661,80,160,41
serial_fraction>= & min_cross_resource_cost_ratio<=,0.443,0.333,0.661,80,160,41
serial_fraction>= & families>=,0.443,0.333,0.661,80,160,41
supply_pressure>= & serial_fraction>=,0.431,0.328,0.628,76,156,45
stages>= & min_cross_resource_cost_ratio>=,0.425,0.47,0.388,47,53,74
supply_pressure>= & min_cross_resource_cost_ratio>=,0.419,0.329,0.579,70,143,51
imbalance<= & serial_fraction>=,0.415,0.339,0.537,65,127,56
uniform_mix_mismatch>= & stages>=,0.414,0.365,0.479,58,101,63
serial_fraction>= & min_cross_resource_cost_ratio>=,0.413,0.362,0.479,58,102,63
serial_fraction>= & concurrency<=,0.411,0.318,0.579,70,150,51
uniform_mix_mismatch>= & uniform_waste>=,0.41,0.374,0.455,55,92,66
uniform_mix_mismatch>= & imbalance<=,0.41,0.339,0.521,63,123,58
uniform_mix_mismatch>= & imbalance>=,0.405,0.328,0.529,64,131,57
uniform_mix_mismatch>= & max_stage_width>=,0.405,0.328,0.529,64,131,57
uniform_mix_mismatch>= & min_cross_resource_cost_ratio<=,0.405,0.328,0.529,64,131,57
uniform_mix_mismatch>= & families>=,0.405,0.328,0.529,64,131,57
imbalance>= & max_stage_width>=,0.403,0.252,1.0,121,359,0
imbalance>= & min_cross_resource_cost_ratio<=,0.403,0.252,1.0,121,359,0
imbalance>= & families>=,0.403,0.252,1.0,121,359,0
max_stage_width>= & min_cross_resource_cost_ratio<=,0.403,0.252,1.0,121,359,0
max_stage_width>= & families>=,0.403,0.252,1.0,121,359,0
min_cross_resource_cost_ratio<= & families>=,0.403,0.252,1.0,121,359,0
supply_pressure>= & uniform_mix_mismatch>=,0.399,0.341,0.479,58,112,63
supply_pressure>= & imbalance>=,0.394,0.248,0.95,115,348,6
supply_pressure>= & max_stage_width>=,0.394,0.248,0.95,115,348,6
supply_pressure>= & min_cross_resource_cost_ratio<=,0.394,0.248,0.95,115,348,6
supply_pressure>= & families>=,0.394,0.248,0.95,115,348,6
uniform_mix_mismatch>= & min_cross_resource_cost_ratio>=,0.385,0.326,0.471,57,118,64
imbalance>= & min_cross_resource_cost_ratio>=,0.354,0.254,0.587,71,209,50
max_stage_width>= & min_cross_resource_cost_ratio>=,0.354,0.254,0.587,71,209,50
min_cross_resource_cost_ratio>= & families>=,0.354,0.254,0.587,71,209,50
uniform_mix_mismatch>= & concurrency<=,0.353,0.304,0.421,51,117,70
uniform_mix_mismatch>= & serial_fraction>=,0.338,0.294,0.397,48,115,73
imbalance>= & concurrency<=,0.317,0.215,0.603,73,267,48
max_stage_width>= & concurrency<=,0.317,0.215,0.603,73,267,48
concurrency<= & min_cross_resource_cost_ratio<=,0.317,0.215,0.603,73,267,48
concurrency<= & families>=,0.317,0.215,0.603,73,267,48
supply_pressure>= & concurrency<=,0.302,0.206,0.562,68,262,53
concurrency<= & min_cross_resource_cost_ratio>=,0.299,0.24,0.397,48,152,73
