kernel,family,capacity_target,ccz_share,oracle_exhaustive,makespan_global_oracle,makespan_uniform_oracle,makespan_best_simple,makespan_sim_descent,seconds_sim_descent,makespan_stage_dp_analytic,seconds_stage_dp_analytic,makespan_stage_dp_analytic_r5,seconds_stage_dp_analytic_r5,makespan_stage_dp_sim,seconds_stage_dp_sim,regret_stage_dp_analytic,regret_stage_dp_analytic_r5,regret_stage_dp_sim,regret_sim_descent,regret_best_simple
and_ladder_s2_l2,and_ladder,0.25,0.1,1,27,27,27,27,0.0335,27,0.0146,27,0.0163,27,0.038,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,0.25,0.25,1,27,27,27,27,0.0336,27,0.0144,27,0.0169,27,0.0439,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,0.25,0.5,1,27,27,27,27,0.0368,27,0.0144,27,0.0156,27,0.0467,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,0.25,0.75,1,27,27,27,27,0.0362,27,0.0141,27,0.0156,27,0.0461,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,0.25,0.9,1,27,27,27,27,0.0387,27,0.0137,27,0.0171,27,0.0449,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,0.5,0.1,1,24,27,27,24,0.0372,27,0.0138,24,0.0145,27,0.0354,1.125,1.0,1.125,1.0,1.125
and_ladder_s2_l2,and_ladder,0.5,0.25,1,24,27,27,24,0.0365,27,0.014,24,0.0151,29,0.035,1.125,1.0,1.2083,1.0,1.125
and_ladder_s2_l2,and_ladder,0.5,0.5,1,25,27,27,25,0.0365,27,0.0139,25,0.0154,27,0.0393,1.08,1.0,1.08,1.0,1.08
and_ladder_s2_l2,and_ladder,0.5,0.75,1,27,27,27,27,0.037,27,0.0136,27,0.0157,27,0.0466,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,0.5,0.9,1,27,27,27,27,0.0392,27,0.015,27,0.0155,27,0.048,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,1.0,0.1,1,22,27,24,22,0.0407,24,0.0082,24,0.011,24,0.0288,1.0909,1.0909,1.0909,1.0,1.0909
and_ladder_s2_l2,and_ladder,1.0,0.25,1,22,27,25,22,0.0378,25,0.0094,24,0.0119,24,0.0318,1.1364,1.0909,1.0909,1.0,1.1364
and_ladder_s2_l2,and_ladder,1.0,0.5,1,19,19,19,19,0.0325,19,0.0135,19,0.016,19,0.04,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,1.0,0.75,1,19,19,19,19,0.0321,19,0.0133,19,0.0155,19,0.0395,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,1.0,0.9,1,18,18,18,18,0.0416,18,0.006,18,0.0076,18,0.0222,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,2.0,0.1,1,22,26,24,22,0.0527,23,0.0116,23,0.0142,23,0.0352,1.0455,1.0455,1.0455,1.0,1.0909
and_ladder_s2_l2,and_ladder,2.0,0.25,1,19,19,19,19,0.0421,19,0.0121,19,0.0131,19,0.0387,1.0,1.0,1.0,1.0,1.0
and_ladder_s2_l2,and_ladder,2.0,0.5,1,18,18,18,18,0.0356,18,0.0142,18,0.0157,18,0.0459,1.0,1.0,1.0,1.0,1.0
