program,source,cliffords,gates,decision_sites,stages,max_stage_width,model,capacity_or_tiles,ccz_share,t_rate,ccz_rate,supply_pressure,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_uniform_oracle,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_stage_dp_r5,seconds_stage_dp_r5,makespan_stage_dp_sim,seconds_stage_dp_sim,seconds_sim_descent,makespan_reference,reference_exhaustive,reference_heterogeneity,reference_ccz_fraction,best_simple,makespan_best_simple,headroom_over_best_simple,headroom_over_uniform,regret_stage_dp_r5,regret_stage_dp_sim,regret_sim_descent,regret_best_simple
qmpa_add16,qmpa,kept,97,16,16,1,A,0.25,0.1,0.1818,0.1667,0.4255,148,148,148,148,148,148,148,148,148,0.115,169,0.265,0.085,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.1419,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,0.25,0.25,0.1818,0.1667,0.4255,148,148,148,148,148,148,148,148,148,0.114,169,0.27,0.086,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.1419,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,0.25,0.5,0.0909,0.1667,0.5166,148,148,148,148,148,148,148,148,148,0.113,186,0.265,0.089,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.2568,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,0.25,0.75,0.0909,0.1667,0.5166,148,148,148,148,148,148,148,148,148,0.113,186,0.267,0.089,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.2568,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,0.25,0.9,0.0909,0.1667,0.5166,148,148,148,148,148,148,148,148,148,0.112,186,0.264,0.088,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.2568,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,0.5,0.1,0.4545,0.1667,0.2782,148,148,148,148,148,148,201,148,148,0.097,159,0.293,0.276,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0743,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,0.5,0.25,0.3636,0.1667,0.3145,148,148,148,148,148,148,236,148,148,0.116,161,0.272,0.083,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0878,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,0.5,0.5,0.2727,0.1667,0.3616,148,148,148,148,148,148,148,148,148,0.116,164,0.263,0.086,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.1081,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,0.5,0.75,0.0909,0.1667,0.5166,148,148,148,148,148,148,148,148,148,0.112,186,0.264,0.089,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.2568,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,0.5,0.9,0.0909,0.1667,0.5166,148,148,148,148,148,148,148,148,148,0.112,186,0.261,0.088,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.2568,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,1.0,0.1,0.9091,0.1667,0.1764,148,186,148,148,148,148,186,148,148,0.096,156,0.36,0.087,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0541,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,1.0,0.25,0.7273,0.1667,0.2067,148,187,148,148,148,148,187,148,148,0.096,157,0.313,0.085,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0608,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,1.0,0.5,0.5455,0.3333,0.1808,148,148,148,148,148,148,148,148,148,0.113,148,0.35,0.084,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,1.0,0.75,0.2727,0.3333,0.2333,148,148,148,148,148,148,148,148,148,0.115,148,0.31,0.086,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,1.0,0.9,0.0909,0.5,0.2009,148,148,148,148,148,148,148,148,148,0.041,148,0.117,0.094,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,2.0,0.1,1.8182,0.1667,0.1019,148,185,148,148,148,148,185,148,148,0.098,155,0.451,0.091,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0473,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,2.0,0.25,1.4545,0.3333,0.1033,148,185,148,148,148,148,185,148,148,0.119,148,0.469,0.09,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,2.0,0.5,1.0,0.5,0.1096,148,148,148,148,148,148,186,148,148,0.12,148,0.427,0.09,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,2.0,0.75,0.5455,0.6667,0.1167,148,148,148,148,148,148,148,148,148,0.112,148,0.381,0.087,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,A,2.0,0.9,0.1818,0.8333,0.1186,148,148,148,148,148,148,148,148,148,0.052,148,0.129,0.091,148,0,0.0,1.0,uniform_min_teq,148,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,B,400,0.25,1.8182,0.1667,0.1019,151,188,151,151,151,151,188,151,164,0.159,172,4.271,0.25,151,0,0.0,1.0,uniform_min_teq,151,0.0,0.0,1.0861,1.1391,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,B,400,0.5,1.2727,0.3333,0.113,151,151,151,151,151,151,189,151,151,0.147,165,3.129,0.215,151,0,0.0,1.0,uniform_min_teq,151,0.0,0.0,1.0,1.0927,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,B,400,0.75,0.7273,0.6667,0.1064,151,151,151,151,151,151,151,151,151,0.106,160,2.076,0.185,151,0,0.0,1.0,uniform_min_teq,151,0.0,0.0,1.0,1.0596,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,C,200,0.5,0.6364,0.1667,0.226,150,150,150,150,150,150,188,150,172,0.141,176,0.905,0.156,150,0,0.0,1.0,uniform_min_teq,150,0.0,0.0,1.1467,1.1733,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,C,400,0.25,1.8182,0.1667,0.1019,151,186,151,151,151,151,186,151,170,0.144,166,2.641,0.235,151,0,0.0,1.0,uniform_min_teq,151,0.0,0.0,1.1258,1.0993,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,C,400,0.5,1.2727,0.3333,0.113,151,151,151,151,151,151,185,151,155,0.157,161,0.933,0.221,151,0,0.0,1.0,uniform_min_teq,151,0.0,0.0,1.0265,1.0662,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,C,400,0.75,0.7273,0.5,0.1269,152,152,152,152,152,152,152,152,156,0.145,156,1.151,0.182,152,0,0.0,1.0,uniform_min_teq,152,0.0,0.0,1.0263,1.0263,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,C,800,0.5,2.5455,0.6667,0.0565,150,150,150,150,150,150,185,150,155,0.121,161,3.97,0.329,150,0,0.0,1.0,uniform_min_teq,150,0.0,0.0,1.0333,1.0733,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.25,0.1,0.1818,0.1667,0.4284,292,292,292,292,292,292,292,292,292,0.286,313,0.694,0.533,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0719,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.25,0.25,0.1818,0.1667,0.4284,292,292,292,292,292,292,292,292,292,0.286,313,0.689,0.425,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0719,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.25,0.5,0.0909,0.1667,0.5202,292,292,292,292,292,292,292,292,292,0.285,330,0.704,0.343,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.1301,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.25,0.75,0.0909,0.1667,0.5202,292,292,292,292,292,292,292,292,292,0.298,330,0.71,0.364,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.1301,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.25,0.9,0.0909,0.1667,0.5202,292,292,292,292,292,292,292,292,292,0.278,330,0.701,0.343,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.1301,1.0,1.0
