program,source,cliffords,gates,decision_sites,stages,max_stage_width,model,capacity_or_tiles,ccz_share,t_rate,ccz_rate,supply_pressure,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_uniform_oracle,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_stage_dp_r5,seconds_stage_dp_r5,makespan_stage_dp_sim,seconds_stage_dp_sim,seconds_sim_descent,makespan_reference,reference_exhaustive,reference_heterogeneity,reference_ccz_fraction,best_simple,makespan_best_simple,headroom_over_best_simple,headroom_over_uniform,regret_stage_dp_r5,regret_stage_dp_sim,regret_sim_descent,regret_best_simple
qmpa_add32,qmpa,dropped,193,32,32,1,A,0.5,0.25,0.3636,0.1667,0.4978,227,227,227,227,227,227,395,215,226,0.282,221,0.704,0.307,215,0,0.0625,0.9375,uniform_min_teq,227,0.0529,0.0529,1.0512,1.0279,1.0,1.0558
qmpa_add32,qmpa,dropped,193,32,32,1,A,0.5,0.75,0.0909,0.1667,0.8178,227,227,227,227,227,227,227,224,222,0.266,234,0.715,0.327,221,0,0.0625,0.9375,uniform_min_teq,227,0.0264,0.0264,1.0045,1.0588,1.0136,1.0271
qmpa_add32,qmpa,dropped,193,32,32,1,A,2.0,0.25,1.4545,0.3333,0.1571,196,265,196,196,196,196,265,196,196,0.298,196,1.178,0.188,196,0,0.0,1.0,uniform_min_teq,196,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add32,qmpa,dropped,193,32,32,1,A,2.0,0.75,0.5455,0.6667,0.1774,196,196,196,196,196,196,196,196,196,0.298,196,0.961,0.207,196,0,0.0,1.0,uniform_min_teq,196,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add32,qmpa,dropped,193,32,32,1,C,400,0.25,1.8182,0.1667,0.1673,230,266,230,230,230,230,266,207,234,0.375,228,8.919,0.87,207,0,0.125,0.875,uniform_min_teq,230,0.1,0.1,1.1304,1.1014,1.0,1.1111
qmpa_add32,qmpa,dropped,193,32,32,1,C,400,0.5,1.2727,0.3333,0.1719,199,199,199,199,199,199,265,199,203,0.415,219,3.332,0.482,199,0,0.0,1.0,uniform_min_teq,199,0.0,0.0,1.0201,1.1005,1.0,1.0
qmpa_add32,qmpa,dropped,193,32,32,1,C,400,0.75,0.7273,0.5,0.193,200,200,200,200,200,200,200,200,204,0.265,206,3.928,0.376,200,0,0.0,1.0,uniform_min_teq,200,0.0,0.0,1.02,1.03,1.0,1.0
qmpa_div6,qmpa,dropped,95,18,13,2,A,0.5,0.25,0.3636,0.1667,0.7253,123,123,123,114,123,123,221,96,117,0.15,111,0.376,0.1,96,0,0.2778,0.7222,two_term_descent,114,0.1579,0.2195,1.2188,1.1562,1.0,1.1875
qmpa_div6,qmpa,dropped,95,18,13,2,A,0.5,0.75,0.0909,0.1667,1.0837,123,123,123,164,123,123,123,112,117,0.148,125,0.396,0.108,112,0,0.1111,0.8889,uniform_min_teq,123,0.0894,0.0894,1.0446,1.1161,1.0,1.0982
qmpa_div6,qmpa,dropped,95,18,13,2,A,2.0,0.25,1.4545,0.3333,0.2045,87,118,87,87,87,87,118,87,89,0.152,96,0.607,0.073,87,0,0.0,1.0,uniform_min_teq,87,0.0,0.0,1.023,1.1034,1.0,1.0
