workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown,Delta_max,L_backlog,feasible
constructed_high,high_compressibility,0,24,static,1,0,80,139,59,1.7375,59,68,True
constructed_high,high_compressibility,0,24,capacity_aware,1,0,140,140,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,1,0,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,1,4,80,135,55,1.6875,59,64,True
constructed_high,high_compressibility,0,24,capacity_aware,1,4,140,140,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,1,4,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,1,8,80,131,51,1.6375,59,59,True
constructed_high,high_compressibility,0,24,capacity_aware,1,8,140,140,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,1,8,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,1,12,80,127,47,1.5875,59,54,True
constructed_high,high_compressibility,0,24,capacity_aware,1,12,140,140,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,1,12,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,2,0,80,109,29,1.3625,57,31,True
constructed_high,high_compressibility,0,24,capacity_aware,2,0,110,110,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,2,0,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,2,4,80,107,27,1.3375,57,29,True
constructed_high,high_compressibility,0,24,capacity_aware,2,4,110,110,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,2,4,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,2,8,80,105,25,1.3125,57,26,True
constructed_high,high_compressibility,0,24,capacity_aware,2,8,110,110,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,2,8,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,2,12,80,103,23,1.2875,57,24,True
constructed_high,high_compressibility,0,24,capacity_aware,2,12,110,110,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,2,12,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,3,0,80,99,19,1.2375,55,19,True
constructed_high,high_compressibility,0,24,capacity_aware,3,0,100,100,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,3,0,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,3,4,80,97,17,1.2125,55,18,True
constructed_high,high_compressibility,0,24,capacity_aware,3,4,100,100,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,3,4,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,3,8,80,96,16,1.2,55,17,True
constructed_high,high_compressibility,0,24,capacity_aware,3,8,100,100,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,3,8,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,3,12,80,95,15,1.1875,55,15,True
constructed_high,high_compressibility,0,24,capacity_aware,3,12,100,100,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,3,12,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,4,0,80,94,14,1.175,53,14,True
constructed_high,high_compressibility,0,24,capacity_aware,4,0,95,95,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,4,0,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,4,4,80,93,13,1.1625,53,13,True
constructed_high,high_compressibility,0,24,capacity_aware,4,4,95,95,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,4,4,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,4,8,80,92,12,1.15,53,12,True
constructed_high,high_compressibility,0,24,capacity_aware,4,8,95,95,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,4,8,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,4,12,80,91,11,1.1375,53,11,True
constructed_high,high_compressibility,0,24,capacity_aware,4,12,95,95,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,4,12,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,5,0,80,91,11,1.1375,51,11,True
constructed_high,high_compressibility,0,24,capacity_aware,5,0,92,92,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,5,0,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,5,4,80,90,10,1.125,51,10,True
constructed_high,high_compressibility,0,24,capacity_aware,5,4,92,92,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,5,4,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,5,8,80,89,9,1.1125,51,9,True
constructed_high,high_compressibility,0,24,capacity_aware,5,8,92,92,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,5,8,80,80,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,static,5,12,80,88,8,1.1,51,8,True
constructed_high,high_compressibility,0,24,capacity_aware,5,12,92,92,0,1.0,0,0,True
constructed_high,high_compressibility,0,24,smooth,5,12,80,80,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,1,0,73,94,21,1.2876712328767124,21,44,True
constructed_medium,medium_compressibility,0,24,capacity_aware,1,0,99,99,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,1,0,73,87,14,1.1917808219178083,14,30,True
constructed_medium,medium_compressibility,0,24,static,1,4,73,90,17,1.2328767123287672,21,37,True
constructed_medium,medium_compressibility,0,24,capacity_aware,1,4,99,99,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,1,4,73,83,10,1.1369863013698631,14,20,True
constructed_medium,medium_compressibility,0,24,static,1,8,73,86,13,1.178082191780822,21,26,True
constructed_medium,medium_compressibility,0,24,capacity_aware,1,8,99,99,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,1,8,73,79,6,1.082191780821918,14,12,True
constructed_medium,medium_compressibility,0,24,static,1,12,73,82,9,1.1232876712328768,21,17,True
constructed_medium,medium_compressibility,0,24,capacity_aware,1,12,99,99,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,1,12,73,75,2,1.0273972602739727,14,2,True
constructed_medium,medium_compressibility,0,24,static,2,0,73,75,2,1.0273972602739727,4,4,True
constructed_medium,medium_compressibility,0,24,capacity_aware,2,0,81,81,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,2,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,2,4,73,73,0,1.0,4,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,2,4,81,81,0,1.0,0,0,True
