workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown,Delta_max,L_backlog,static_depth_penalty,Delta_reduction_vs_static,Texe_reduction_vs_static,Delta_reduction_vs_smooth,Texe_reduction_vs_smooth,Delta_reduction_vs_ca,Texe_reduction_vs_ca
constructed_high,high_compressibility,0,24,static,1,0,80,139,59,1.7375,59,68,1.0,0.0,0.0,0.0,-0.7375,0.0,0.007142857142857143
constructed_high,high_compressibility,0,24,capacity_aware,1,0,140,140,0,1.0,0,0,1.75,1.0,-0.007194244604316547,0.0,-0.75,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,1,0,80,80,0,1.0,0,0,1.0,1.0,0.4244604316546763,0.0,0.0,0.0,0.42857142857142855
constructed_high,high_compressibility,0,24,delivery_aware,1,0,80,80,0,1.0,0,0,1.0,1.0,0.4244604316546763,0.0,0.0,0.0,0.42857142857142855
constructed_high,high_compressibility,0,24,static,1,4,80,135,55,1.6875,59,64,1.0,0.0,0.0,0.0,-0.6875,0.0,0.03571428571428571
constructed_high,high_compressibility,0,24,capacity_aware,1,4,140,140,0,1.0,0,0,1.75,1.0,-0.037037037037037035,0.0,-0.75,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,1,4,80,80,0,1.0,0,0,1.0,1.0,0.4074074074074074,0.0,0.0,0.0,0.42857142857142855
constructed_high,high_compressibility,0,24,delivery_aware,1,4,80,81,1,1.0125,5,59,1.0,0.9152542372881356,0.4,0.0,-0.0125,0.0,0.42142857142857143
constructed_high,high_compressibility,0,24,static,1,8,80,131,51,1.6375,59,59,1.0,0.0,0.0,0.0,-0.6375,0.0,0.06428571428571428
constructed_high,high_compressibility,0,24,capacity_aware,1,8,140,140,0,1.0,0,0,1.75,1.0,-0.06870229007633588,0.0,-0.75,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,1,8,80,80,0,1.0,0,0,1.0,1.0,0.3893129770992366,0.0,0.0,0.0,0.42857142857142855
constructed_high,high_compressibility,0,24,delivery_aware,1,8,80,81,1,1.0125,9,55,1.0,0.847457627118644,0.3816793893129771,0.0,-0.0125,0.0,0.42142857142857143
constructed_high,high_compressibility,0,24,static,1,12,80,127,47,1.5875,59,54,1.0,0.0,0.0,0.0,-0.5875,0.0,0.09285714285714286
constructed_high,high_compressibility,0,24,capacity_aware,1,12,140,140,0,1.0,0,0,1.75,1.0,-0.10236220472440945,0.0,-0.75,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,1,12,80,80,0,1.0,0,0,1.0,1.0,0.3700787401574803,0.0,0.0,0.0,0.42857142857142855
constructed_high,high_compressibility,0,24,delivery_aware,1,12,80,81,1,1.0125,13,48,1.0,0.7796610169491526,0.36220472440944884,0.0,-0.0125,0.0,0.42142857142857143
constructed_high,high_compressibility,0,24,static,2,0,80,109,29,1.3625,57,31,1.0,0.0,0.0,0.0,-0.3625,0.0,0.00909090909090909
