workload,family,seed,n,schedule,B,epsilon,C_star,achieved_slowdown,T_static_at_C_star,T_exe_at_C_star
constructed_high,high_compressibility,0,24,static,0,0.05,,,,
constructed_high,high_compressibility,0,24,capacity_aware,0,0.05,1,1.0,140,140
constructed_high,high_compressibility,0,24,smooth,0,0.05,1,1.0,80,80
constructed_high,high_compressibility,0,24,delivery_aware,0,0.05,1,1.0,80,80
constructed_high,high_compressibility,0,24,static,0,0.1,7,1.0875,80,87
constructed_high,high_compressibility,0,24,capacity_aware,0,0.1,1,1.0,140,140
constructed_high,high_compressibility,0,24,smooth,0,0.1,1,1.0,80,80
constructed_high,high_compressibility,0,24,delivery_aware,0,0.1,1,1.0,80,80
constructed_high,high_compressibility,0,24,static,4,0.05,10,1.05,80,84
constructed_high,high_compressibility,0,24,capacity_aware,4,0.05,1,1.0,140,140
constructed_high,high_compressibility,0,24,smooth,4,0.05,1,1.0,80,80
constructed_high,high_compressibility,0,24,delivery_aware,4,0.05,1,1.0125,80,81
constructed_high,high_compressibility,0,24,static,4,0.1,6,1.1,80,88
constructed_high,high_compressibility,0,24,capacity_aware,4,0.1,1,1.0,140,140
constructed_high,high_compressibility,0,24,smooth,4,0.1,1,1.0,80,80
constructed_high,high_compressibility,0,24,delivery_aware,4,0.1,1,1.0125,80,81
constructed_high,high_compressibility,0,24,static,8,0.05,9,1.05,80,84
constructed_high,high_compressibility,0,24,capacity_aware,8,0.05,1,1.0,140,140
constructed_high,high_compressibility,0,24,smooth,8,0.05,1,1.0,80,80
constructed_high,high_compressibility,0,24,delivery_aware,8,0.05,1,1.0125,80,81
constructed_high,high_compressibility,0,24,static,8,0.1,6,1.0875,80,87
constructed_high,high_compressibility,0,24,capacity_aware,8,0.1,1,1.0,140,140
constructed_high,high_compressibility,0,24,smooth,8,0.1,1,1.0,80,80
constructed_high,high_compressibility,0,24,delivery_aware,8,0.1,1,1.0125,80,81
constructed_high,high_compressibility,0,24,static,12,0.05,9,1.05,80,84
constructed_high,high_compressibility,0,24,capacity_aware,12,0.05,1,1.0,140,140
constructed_high,high_compressibility,0,24,smooth,12,0.05,1,1.0,80,80
constructed_high,high_compressibility,0,24,delivery_aware,12,0.05,1,1.0125,80,81
constructed_high,high_compressibility,0,24,static,12,0.1,5,1.1,80,88
constructed_high,high_compressibility,0,24,capacity_aware,12,0.1,1,1.0,140,140
constructed_high,high_compressibility,0,24,smooth,12,0.1,1,1.0,80,80
constructed_high,high_compressibility,0,24,delivery_aware,12,0.1,1,1.0125,80,81
constructed_medium,medium_compressibility,0,24,static,0,0.05,2,1.0273972602739727,73,75
constructed_medium,medium_compressibility,0,24,capacity_aware,0,0.05,1,1.0,99,99
