workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown_vs_own_static,ratio_to_T_ref_asap,Delta_max,L_backlog,max_backlog,mean_backlog,static_depth_penalty_vs_static,Texe_reduction_vs_static,Texe_reduction_vs_smooth,Texe_reduction_vs_ca,Texe_reduction_vs_DA_v1,Delta_reduction_vs_static,Delta_reduction_vs_smooth,Delta_reduction_vs_ca,Delta_reduction_vs_DA_v1,stall_reduction_vs_static,stall_reduction_vs_smooth,stall_reduction_vs_ca,stall_reduction_vs_DA_v1,Lbacklog_reduction_vs_static,Lbacklog_reduction_vs_smooth,Lbacklog_reduction_vs_ca,Lbacklog_reduction_vs_DA_v1
constructed_high,high_compressibility,0,24,static,1,0,80,139,59,1.7375,1.7375,59,68,59,25.3875,1.0,0.0,-0.7375,0.007142857142857143,-0.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,capacity_aware,1,0,140,140,0,1.0,1.75,0,0,0,0.0,1.75,-0.007194244604316547,-0.75,0.0,-0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,1,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.4244604316546763,0.0,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,1,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.4244604316546763,0.0,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,1,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.4244604316546763,0.0,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,static,1,4,80,135,55,1.6875,1.6875,59,64,55,22.0625,1.0,0.0,-0.6875,0.03571428571428571,-0.6666666666666666,0.0,0.0,0.0,-10.8,0.0,0.0,0.0,-54.0,0.0,0.0,0.0,-0.0847457627118644
constructed_high,high_compressibility,0,24,capacity_aware,1,4,140,140,0,1.0,1.75,0,0,0,0.0,1.75,-0.037037037037037035,-0.75,0.0,-0.7283950617283951,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,1,4,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.4074074074074074,0.0,0.42857142857142855,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,1,4,80,81,1,1.0125,1.0125,5,59,1,0.7375,1.0,0.4,-0.0125,0.42142857142857143,0.0,0.9152542372881356,0.0,0.0,0.0,0.9818181818181818,0.0,0.0,0.0,0.078125,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,1,4,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.4074074074074074,0.0,0.42857142857142855,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
