workload,family,seed,n,schedule,B,epsilon,T_ref_type,T_ref,C_ref_star,achieved_T_exe,achieved_ratio_to_T_ref,T_static_at_C_ref_star,stall_cycles_at_C_ref_star,Delta_max_at_C_ref_star
constructed_high,high_compressibility,0,24,static,0,0.05,asap,80,,,,,,
constructed_high,high_compressibility,0,24,capacity_aware,0,0.05,asap,80,,,,,,
constructed_high,high_compressibility,0,24,smooth,0,0.05,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,0,0.05,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v2,0,0.05,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,0,0.05,best,80,,,,,,
constructed_high,high_compressibility,0,24,capacity_aware,0,0.05,best,80,,,,,,
constructed_high,high_compressibility,0,24,smooth,0,0.05,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,0,0.05,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v2,0,0.05,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,0,0.1,asap,80,7,87,1.0875,80,7,47
constructed_high,high_compressibility,0,24,capacity_aware,0,0.1,asap,80,7,88,1.1,88,0,0
constructed_high,high_compressibility,0,24,smooth,0,0.1,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,0,0.1,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v2,0,0.1,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,0,0.1,best,80,7,87,1.0875,80,7,47
constructed_high,high_compressibility,0,24,capacity_aware,0,0.1,best,80,7,88,1.1,88,0,0
constructed_high,high_compressibility,0,24,smooth,0,0.1,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,0,0.1,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v2,0,0.1,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,4,0.05,asap,80,10,84,1.05,80,4,41
constructed_high,high_compressibility,0,24,capacity_aware,4,0.05,asap,80,,,,,,
constructed_high,high_compressibility,0,24,smooth,4,0.05,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,4,0.05,asap,80,1,81,1.0125,80,1,5
constructed_high,high_compressibility,0,24,delivery_aware_v2,4,0.05,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,4,0.05,best,80,10,84,1.05,80,4,41
constructed_high,high_compressibility,0,24,capacity_aware,4,0.05,best,80,,,,,,
constructed_high,high_compressibility,0,24,smooth,4,0.05,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,4,0.05,best,80,1,81,1.0125,80,1,5
constructed_high,high_compressibility,0,24,delivery_aware_v2,4,0.05,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,4,0.1,asap,80,6,88,1.1,80,8,49
constructed_high,high_compressibility,0,24,capacity_aware,4,0.1,asap,80,7,88,1.1,88,0,0
constructed_high,high_compressibility,0,24,smooth,4,0.1,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,4,0.1,asap,80,1,81,1.0125,80,1,5
constructed_high,high_compressibility,0,24,delivery_aware_v2,4,0.1,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,4,0.1,best,80,6,88,1.1,80,8,49
constructed_high,high_compressibility,0,24,capacity_aware,4,0.1,best,80,7,88,1.1,88,0,0
constructed_high,high_compressibility,0,24,smooth,4,0.1,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,4,0.1,best,80,1,81,1.0125,80,1,5
constructed_high,high_compressibility,0,24,delivery_aware_v2,4,0.1,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,8,0.05,asap,80,9,84,1.05,80,4,43
constructed_high,high_compressibility,0,24,capacity_aware,8,0.05,asap,80,,,,,,
constructed_high,high_compressibility,0,24,smooth,8,0.05,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,8,0.05,asap,80,1,81,1.0125,80,1,9
constructed_high,high_compressibility,0,24,delivery_aware_v2,8,0.05,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,8,0.05,best,80,9,84,1.05,80,4,43
constructed_high,high_compressibility,0,24,capacity_aware,8,0.05,best,80,,,,,,
constructed_high,high_compressibility,0,24,smooth,8,0.05,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,8,0.05,best,80,1,81,1.0125,80,1,9
constructed_high,high_compressibility,0,24,delivery_aware_v2,8,0.05,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,8,0.1,asap,80,6,87,1.0875,80,7,49
constructed_high,high_compressibility,0,24,capacity_aware,8,0.1,asap,80,7,88,1.1,88,0,0
constructed_high,high_compressibility,0,24,smooth,8,0.1,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,8,0.1,asap,80,1,81,1.0125,80,1,9
constructed_high,high_compressibility,0,24,delivery_aware_v2,8,0.1,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,8,0.1,best,80,6,87,1.0875,80,7,49
constructed_high,high_compressibility,0,24,capacity_aware,8,0.1,best,80,7,88,1.1,88,0,0
constructed_high,high_compressibility,0,24,smooth,8,0.1,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,8,0.1,best,80,1,81,1.0125,80,1,9
constructed_high,high_compressibility,0,24,delivery_aware_v2,8,0.1,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,12,0.05,asap,80,9,84,1.05,80,4,43
constructed_high,high_compressibility,0,24,capacity_aware,12,0.05,asap,80,,,,,,
constructed_high,high_compressibility,0,24,smooth,12,0.05,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,12,0.05,asap,80,1,81,1.0125,80,1,13
constructed_high,high_compressibility,0,24,delivery_aware_v2,12,0.05,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,12,0.05,best,80,9,84,1.05,80,4,43
constructed_high,high_compressibility,0,24,capacity_aware,12,0.05,best,80,,,,,,
constructed_high,high_compressibility,0,24,smooth,12,0.05,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,12,0.05,best,80,1,81,1.0125,80,1,13
constructed_high,high_compressibility,0,24,delivery_aware_v2,12,0.05,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,12,0.1,asap,80,5,88,1.1,80,8,51
constructed_high,high_compressibility,0,24,capacity_aware,12,0.1,asap,80,7,88,1.1,88,0,0
constructed_high,high_compressibility,0,24,smooth,12,0.1,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,12,0.1,asap,80,1,81,1.0125,80,1,13
constructed_high,high_compressibility,0,24,delivery_aware_v2,12,0.1,asap,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,static,12,0.1,best,80,5,88,1.1,80,8,51
constructed_high,high_compressibility,0,24,capacity_aware,12,0.1,best,80,7,88,1.1,88,0,0
constructed_high,high_compressibility,0,24,smooth,12,0.1,best,80,1,80,1.0,80,0,0
constructed_high,high_compressibility,0,24,delivery_aware_v1,12,0.1,best,80,1,81,1.0125,80,1,13
constructed_high,high_compressibility,0,24,delivery_aware_v2,12,0.1,best,80,1,80,1.0,80,0,0
constructed_medium,medium_compressibility,0,24,static,0,0.05,asap,73,2,75,1.0273972602739727,73,2,4
constructed_medium,medium_compressibility,0,24,capacity_aware,0,0.05,asap,73,4,75,1.0273972602739727,75,0,0
constructed_medium,medium_compressibility,0,24,smooth,0,0.05,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,0,0.05,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,0,0.05,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,static,0,0.05,best,73,2,75,1.0273972602739727,73,2,4
constructed_medium,medium_compressibility,0,24,capacity_aware,0,0.05,best,73,4,75,1.0273972602739727,75,0,0
constructed_medium,medium_compressibility,0,24,smooth,0,0.05,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,0,0.05,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,0,0.05,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,static,0,0.1,asap,73,2,75,1.0273972602739727,73,2,4
constructed_medium,medium_compressibility,0,24,capacity_aware,0,0.1,asap,73,3,78,1.0684931506849316,78,0,0
constructed_medium,medium_compressibility,0,24,smooth,0,0.1,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,0,0.1,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,0,0.1,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,static,0,0.1,best,73,2,75,1.0273972602739727,73,2,4
constructed_medium,medium_compressibility,0,24,capacity_aware,0,0.1,best,73,3,78,1.0684931506849316,78,0,0
constructed_medium,medium_compressibility,0,24,smooth,0,0.1,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,0,0.1,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,0,0.1,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,static,4,0.05,asap,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,4,0.05,asap,73,4,75,1.0273972602739727,75,0,0
constructed_medium,medium_compressibility,0,24,smooth,4,0.05,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,4,0.05,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,4,0.05,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,static,4,0.05,best,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,4,0.05,best,73,4,75,1.0273972602739727,75,0,0
constructed_medium,medium_compressibility,0,24,smooth,4,0.05,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,4,0.05,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,4,0.05,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,static,4,0.1,asap,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,4,0.1,asap,73,3,78,1.0684931506849316,78,0,0
constructed_medium,medium_compressibility,0,24,smooth,4,0.1,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,4,0.1,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,4,0.1,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,static,4,0.1,best,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,4,0.1,best,73,3,78,1.0684931506849316,78,0,0
constructed_medium,medium_compressibility,0,24,smooth,4,0.1,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,4,0.1,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,4,0.1,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,static,8,0.05,asap,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,8,0.05,asap,73,4,75,1.0273972602739727,75,0,0
constructed_medium,medium_compressibility,0,24,smooth,8,0.05,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,8,0.05,asap,73,2,73,1.0,73,0,2
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,8,0.05,asap,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,static,8,0.05,best,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,8,0.05,best,73,4,75,1.0273972602739727,75,0,0
constructed_medium,medium_compressibility,0,24,smooth,8,0.05,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,8,0.05,best,73,2,73,1.0,73,0,2
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,8,0.05,best,73,2,73,1.0,73,0,0
constructed_medium,medium_compressibility,0,24,static,8,0.1,asap,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,8,0.1,asap,73,3,78,1.0684931506849316,78,0,0
constructed_medium,medium_compressibility,0,24,smooth,8,0.1,asap,73,1,79,1.082191780821918,73,6,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,8,0.1,asap,73,1,79,1.082191780821918,73,6,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,8,0.1,asap,73,1,79,1.082191780821918,73,6,14
constructed_medium,medium_compressibility,0,24,static,8,0.1,best,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,8,0.1,best,73,3,78,1.0684931506849316,78,0,0
constructed_medium,medium_compressibility,0,24,smooth,8,0.1,best,73,1,79,1.082191780821918,73,6,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,8,0.1,best,73,1,79,1.082191780821918,73,6,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,8,0.1,best,73,1,79,1.082191780821918,73,6,14
constructed_medium,medium_compressibility,0,24,static,12,0.05,asap,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,12,0.05,asap,73,4,75,1.0273972602739727,75,0,0
constructed_medium,medium_compressibility,0,24,smooth,12,0.05,asap,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,12,0.05,asap,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,12,0.05,asap,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,static,12,0.05,best,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,12,0.05,best,73,4,75,1.0273972602739727,75,0,0
constructed_medium,medium_compressibility,0,24,smooth,12,0.05,best,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,12,0.05,best,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,12,0.05,best,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,static,12,0.1,asap,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,12,0.1,asap,73,3,78,1.0684931506849316,78,0,0
constructed_medium,medium_compressibility,0,24,smooth,12,0.1,asap,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,12,0.1,asap,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,12,0.1,asap,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,static,12,0.1,best,73,2,73,1.0,73,0,4
constructed_medium,medium_compressibility,0,24,capacity_aware,12,0.1,best,73,3,78,1.0684931506849316,78,0,0
constructed_medium,medium_compressibility,0,24,smooth,12,0.1,best,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v1,12,0.1,best,73,1,75,1.0273972602739727,73,2,14
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,12,0.1,best,73,1,75,1.0273972602739727,73,2,14
constructed_low,low_compressibility,0,24,static,0,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,0,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,0,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,0,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,0,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,0,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,0,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,0,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,0,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,0,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,0,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,0,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,0,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,0,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,0,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,0,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,0,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,0,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,0,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,0,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,4,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,4,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,4,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,4,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,4,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,4,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,4,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,4,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,4,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,4,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,4,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,4,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,4,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,4,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,4,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,4,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,4,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,4,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,4,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,4,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,8,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,8,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,8,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,8,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,8,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,8,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,8,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,8,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,8,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,8,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,8,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,8,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,8,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,8,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,8,0.1,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,8,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,8,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,8,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,8,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,8,0.1,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,12,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,12,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,12,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,12,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,12,0.05,asap,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,12,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,capacity_aware,12,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,smooth,12,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v1,12,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,delivery_aware_v2,12,0.05,best,110,1,110,1.0,110,0,0
constructed_low,low_compressibility,0,24,static,12,0.1,asap,110,1,110,1.0,110,0,0
