workload,seed,C,B,schedule,T_static,T_exe,gap_to_optimal,gap_percent,Delta_max,stall_cycles
small_high,0,1,0,static,21,35,14,0.6666666666666666,14,14
small_high,0,1,0,capacity_aware,36,36,15,0.7142857142857143,0,0
small_high,0,1,0,smooth,21,21,0,0.0,0,0
small_high,0,1,0,delivery_aware_v1,21,21,0,0.0,0,0
small_high,0,1,0,delivery_aware_v2,21,21,0,0.0,0,0
small_high,0,1,0,optimal_or_near_optimal,21,21,0,0.0,0,0
small_high,0,1,2,static,21,33,12,0.5714285714285714,14,12
small_high,0,1,2,capacity_aware,36,36,15,0.7142857142857143,0,0
small_high,0,1,2,smooth,21,21,0,0.0,0,0
small_high,0,1,2,delivery_aware_v1,21,21,0,0.0,0,0
small_high,0,1,2,delivery_aware_v2,21,21,0,0.0,0,0
small_high,0,1,2,optimal_or_near_optimal,21,21,0,0.0,0,0
small_high,0,2,0,static,21,27,6,0.2857142857142857,12,6
small_high,0,2,0,capacity_aware,28,28,7,0.3333333333333333,0,0
small_high,0,2,0,smooth,21,21,0,0.0,0,0
small_high,0,2,0,delivery_aware_v1,21,21,0,0.0,0,0
small_high,0,2,0,delivery_aware_v2,21,21,0,0.0,0,0
small_high,0,2,0,optimal_or_near_optimal,21,21,0,0.0,0,0
small_high,0,2,2,static,21,26,5,0.23809523809523808,12,5
small_high,0,2,2,capacity_aware,28,28,7,0.3333333333333333,0,0
small_high,0,2,2,smooth,21,21,0,0.0,0,0
small_high,0,2,2,delivery_aware_v1,21,21,0,0.0,0,0
small_high,0,2,2,delivery_aware_v2,21,21,0,0.0,0,0
small_high,0,2,2,optimal_or_near_optimal,21,21,0,0.0,0,0
small_medium,0,1,0,static,19,31,5,0.19230769230769232,12,12
small_medium,0,1,0,capacity_aware,33,33,7,0.2692307692307692,0,0
small_medium,0,1,0,smooth,27,27,1,0.038461538461538464,0,0
small_medium,0,1,0,delivery_aware_v1,27,27,1,0.038461538461538464,0,0
small_medium,0,1,0,delivery_aware_v2,27,27,1,0.038461538461538464,0,0
small_medium,0,1,0,optimal_or_near_optimal,19,26,0,0.0,7,7
small_medium,0,1,2,static,19,29,5,0.20833333333333334,12,10
small_medium,0,1,2,capacity_aware,33,33,9,0.375,0,0
small_medium,0,1,2,smooth,27,27,3,0.125,0,0
small_medium,0,1,2,delivery_aware_v1,27,27,3,0.125,0,0
small_medium,0,1,2,delivery_aware_v2,25,26,2,0.08333333333333333,3,1
small_medium,0,1,2,optimal_or_near_optimal,19,24,0,0.0,7,5
small_medium,0,2,0,static,19,20,1,0.05263157894736842,1,1
small_medium,0,2,0,capacity_aware,23,23,4,0.21052631578947367,0,0
small_medium,0,2,0,smooth,19,19,0,0.0,0,0
small_medium,0,2,0,delivery_aware_v1,19,19,0,0.0,0,0
small_medium,0,2,0,delivery_aware_v2,19,19,0,0.0,0,0
small_medium,0,2,0,optimal_or_near_optimal,19,19,0,0.0,0,0
small_medium,0,2,2,static,19,19,0,0.0,1,0
small_medium,0,2,2,capacity_aware,23,23,4,0.21052631578947367,0,0
small_medium,0,2,2,smooth,19,19,0,0.0,0,0
small_medium,0,2,2,delivery_aware_v1,19,19,0,0.0,0,0
small_medium,0,2,2,delivery_aware_v2,19,19,0,0.0,0,0
small_medium,0,2,2,optimal_or_near_optimal,19,19,0,0.0,0,0
small_low,0,1,0,static,28,28,0,0.0,0,0
small_low,0,1,0,capacity_aware,28,28,0,0.0,0,0
small_low,0,1,0,smooth,28,28,0,0.0,0,0
small_low,0,1,0,delivery_aware_v1,28,28,0,0.0,0,0
small_low,0,1,0,delivery_aware_v2,28,28,0,0.0,0,0
small_low,0,1,0,optimal_or_near_optimal,28,28,0,0.0,0,0
small_low,0,1,2,static,28,28,0,0.0,0,0
small_low,0,1,2,capacity_aware,28,28,0,0.0,0,0
small_low,0,1,2,smooth,28,28,0,0.0,0,0
small_low,0,1,2,delivery_aware_v1,28,28,0,0.0,0,0
small_low,0,1,2,delivery_aware_v2,28,28,0,0.0,0,0
small_low,0,1,2,optimal_or_near_optimal,28,28,0,0.0,0,0
small_low,0,2,0,static,28,28,0,0.0,0,0
small_low,0,2,0,capacity_aware,28,28,0,0.0,0,0
small_low,0,2,0,smooth,28,28,0,0.0,0,0
small_low,0,2,0,delivery_aware_v1,28,28,0,0.0,0,0
small_low,0,2,0,delivery_aware_v2,28,28,0,0.0,0,0
small_low,0,2,0,optimal_or_near_optimal,28,28,0,0.0,0,0
small_low,0,2,2,static,28,28,0,0.0,0,0
small_low,0,2,2,capacity_aware,28,28,0,0.0,0,0
small_low,0,2,2,smooth,28,28,0,0.0,0,0
small_low,0,2,2,delivery_aware_v1,28,28,0,0.0,0,0
small_low,0,2,2,delivery_aware_v2,28,28,0,0.0,0,0
small_low,0,2,2,optimal_or_near_optimal,28,28,0,0.0,0,0
