workload,family,seed,n,C,B,regime_label,regime_reason,recommended_strategy,slack_ratio,supply_tightness,peak_demand_over_C,mean_demand_over_C,smooth_L_backlog,smooth_BacklogArea
constructed_high,high_compressibility,0,24,1,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,1,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,1,8,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,1,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,2,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,2,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,2,8,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,2,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,3,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,3,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,3,8,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,3,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,4,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,4,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,4,8,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,4,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,5,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,5,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,5,8,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,0,24,5,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,1,0,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.8367346938775511,0.6712328767123288,7.0,0.6712328767123288,30,212
constructed_medium,medium_compressibility,0,24,1,4,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.8367346938775511,0.6363636363636364,7.0,0.6712328767123288,20,105
constructed_medium,medium_compressibility,0,24,1,8,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.8367346938775511,0.6049382716049383,7.0,0.6712328767123288,12,34
constructed_medium,medium_compressibility,0,24,1,12,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.8367346938775511,0.5764705882352941,7.0,0.6712328767123288,2,3
constructed_medium,medium_compressibility,0,24,2,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,2,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,2,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,2,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,3,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,3,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,3,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,3,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,4,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,4,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,4,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,4,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,0,24,5,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
