workload,seed,C,B,schedule,T_static,T_exe,T_exe_opt,gap_Texe,gap_Texe_percent,Delta_max,Delta_max_opt,gap_Delta,stall_cycles,stall_cycles_opt,gap_stall,L_backlog,L_backlog_opt,gap_L_backlog,BacklogArea,BacklogArea_opt,gap_BacklogArea,is_near_optimal_0cycle,is_near_optimal_1cycle,is_near_optimal_5percent
small_high,0,1,0,static,21,35,21,14,0.6666666666666666,14,0,14,14,0,14,16,0,16,115,0,115,0,0,0
small_high,0,1,0,capacity_aware,36,36,21,15,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small_high,0,1,0,smooth,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,1,0,delivery_aware_v1,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,1,0,delivery_aware_v2,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,1,0,optimal_or_near_optimal,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,1,2,static,21,33,21,12,0.5714285714285714,14,0,14,12,0,12,13,0,13,84,0,84,0,0,0
small_high,0,1,2,capacity_aware,36,36,21,15,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small_high,0,1,2,smooth,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,1,2,delivery_aware_v1,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,1,2,delivery_aware_v2,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,1,2,optimal_or_near_optimal,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,2,0,static,21,27,21,6,0.2857142857142857,12,0,12,6,0,6,6,0,6,42,0,42,0,0,0
small_high,0,2,0,capacity_aware,28,28,21,7,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small_high,0,2,0,smooth,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,2,0,delivery_aware_v1,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,2,0,delivery_aware_v2,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,2,0,optimal_or_near_optimal,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,2,2,static,21,26,21,5,0.23809523809523808,12,0,12,5,0,5,5,0,5,30,0,30,0,0,0
small_high,0,2,2,capacity_aware,28,28,21,7,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small_high,0,2,2,smooth,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,2,2,delivery_aware_v1,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,2,2,delivery_aware_v2,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_high,0,2,2,optimal_or_near_optimal,21,21,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_medium,0,1,0,static,19,31,26,5,0.19230769230769232,12,7,5,12,7,5,18,17,1,123,69,54,0,0,0
small_medium,0,1,0,capacity_aware,33,33,26,7,0.2692307692307692,0,7,-7,0,7,-7,0,17,-17,0,69,-69,0,0,0
small_medium,0,1,0,smooth,27,27,26,1,0.038461538461538464,0,7,-7,0,7,-7,0,17,-17,0,69,-69,0,1,1
small_medium,0,1,0,delivery_aware_v1,27,27,26,1,0.038461538461538464,0,7,-7,0,7,-7,0,17,-17,0,69,-69,0,1,1
small_medium,0,1,0,delivery_aware_v2,27,27,26,1,0.038461538461538464,0,7,-7,0,7,-7,0,17,-17,0,69,-69,0,1,1
small_medium,0,1,0,optimal_or_near_optimal,19,26,26,0,0.0,7,7,0,7,7,0,17,17,0,69,69,0,1,1,1
small_medium,0,1,2,static,19,29,24,5,0.20833333333333334,12,7,5,10,5,5,16,13,3,88,37,51,0,0,0
small_medium,0,1,2,capacity_aware,33,33,24,9,0.375,0,7,-7,0,5,-5,0,13,-13,0,37,-37,0,0,0
small_medium,0,1,2,smooth,27,27,24,3,0.125,0,7,-7,0,5,-5,0,13,-13,0,37,-37,0,0,0
small_medium,0,1,2,delivery_aware_v1,27,27,24,3,0.125,0,7,-7,0,5,-5,0,13,-13,0,37,-37,0,0,0
small_medium,0,1,2,delivery_aware_v2,25,26,24,2,0.08333333333333333,3,7,-4,1,5,-4,2,13,-11,2,37,-35,0,0,0
small_medium,0,1,2,optimal_or_near_optimal,19,24,24,0,0.0,7,7,0,5,5,0,13,13,0,37,37,0,1,1,1
small_medium,0,2,0,static,19,20,19,1,0.05263157894736842,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0
small_medium,0,2,0,capacity_aware,23,23,19,4,0.21052631578947367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small_medium,0,2,0,smooth,19,19,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_medium,0,2,0,delivery_aware_v1,19,19,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_medium,0,2,0,delivery_aware_v2,19,19,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_medium,0,2,0,optimal_or_near_optimal,19,19,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_medium,0,2,2,static,19,19,19,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
small_medium,0,2,2,capacity_aware,23,23,19,4,0.21052631578947367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small_medium,0,2,2,smooth,19,19,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_medium,0,2,2,delivery_aware_v1,19,19,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_medium,0,2,2,delivery_aware_v2,19,19,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_medium,0,2,2,optimal_or_near_optimal,19,19,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,0,static,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,0,capacity_aware,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,0,smooth,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,0,delivery_aware_v1,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,0,delivery_aware_v2,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,0,optimal_or_near_optimal,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,2,static,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,2,capacity_aware,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,2,smooth,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,2,delivery_aware_v1,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
small_low,0,1,2,delivery_aware_v2,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
