workload,family,seed,n,C,B,T_ref_asap,smooth_T_static,smooth_T_exe,smooth_ratio_to_T_ref,smooth_stall_cycles,smooth_Delta_max,smooth_L_backlog,smooth_BacklogArea,smooth_max_backlog,smooth_num_backlog_intervals,smooth_longest_backlog_interval,failure_reason,failure_score,T_count,critical_path_length,slack_ratio,mean_slack,median_slack,p90_slack,fraction_zero_slack,fraction_slack_ge_2,fraction_slack_ge_5,ready_T_width_peak,ready_T_width_mean,D_peak,D_mean,D_std,D_cv,D_peak_to_mean,num_demand_peaks,demand_entropy,demand_gini,B_over_C,mean_demand_over_C,peak_demand_over_C,supply_tightness
constructed_medium,medium_compressibility,0,24,1,0,73.0,73,87,1.1917808219178083,14,14,30,212,14,2,27,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,24.341780821917812,49,73,0.8367346938775511,6.122448979591836,7,8.0,0.16326530612244897,0.8367346938775511,0.8367346938775511,8,0.6712328767123288,7,0.6712328767123288,1.7126027178117251,2.5514285387807334,10.428571428571429,4,3.693981011014395,0.8487559407324574,0.0,0.6712328767123288,7.0,0.6712328767123288
constructed_medium,medium_compressibility,0,24,1,4,73.0,73,83,1.1369863013698631,10,14,20,105,10,1,20,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,12.586986301369862,49,73,0.8367346938775511,6.122448979591836,7,8.0,0.16326530612244897,0.8367346938775511,0.8367346938775511,8,0.6712328767123288,7,0.6712328767123288,1.7126027178117251,2.5514285387807334,10.428571428571429,4,3.693981011014395,0.8487559407324574,4.0,0.6712328767123288,7.0,0.6363636363636364
constructed_medium,medium_compressibility,0,24,1,8,72.99999999999999,73,79,1.082191780821918,6,14,12,34,6,2,11,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,4.632191780821918,49,73,0.8367346938775511,6.122448979591836,7,8.0,0.16326530612244897,0.8367346938775511,0.8367346938775511,8,0.6712328767123288,7,0.6712328767123288,1.7126027178117251,2.5514285387807334,10.428571428571429,4,3.693981011014395,0.8487559407324574,8.0,0.6712328767123288,7.0,0.6049382716049383
constructed_medium,medium_compressibility,0,24,1,12,72.99999999999999,73,75,1.0273972602739727,2,14,2,3,2,1,2,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea,0.5,49,73,0.8367346938775511,6.122448979591836,7,8.0,0.16326530612244897,0.8367346938775511,0.8367346938775511,8,0.6712328767123288,7,0.6712328767123288,1.7126027178117251,2.5514285387807334,10.428571428571429,4,3.693981011014395,0.8487559407324574,12.0,0.6712328767123288,7.0,0.5764705882352941
constructed_medium,medium_compressibility,1,24,1,0,73.0,73,90,1.2328767123287672,17,17,35,263,17,1,35,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,29.982876712328768,50,73,0.84,5.62,6.0,8.0,0.16,0.84,0.84,9,0.684931506849315,7,0.684931506849315,1.7817700321207233,2.6013842468962562,10.22,5,3.5836099942911326,0.8641095890410959,0.0,0.684931506849315,7.0,0.684931506849315
constructed_medium,medium_compressibility,1,24,1,4,73.0,73,86,1.178082191780822,13,17,25,138,13,2,21,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,16.428082191780824,50,73,0.84,5.62,6.0,8.0,0.16,0.84,0.84,9,0.684931506849315,7,0.684931506849315,1.7817700321207233,2.6013842468962562,10.22,5,3.5836099942911326,0.8641095890410959,4.0,0.684931506849315,7.0,0.6493506493506493
constructed_medium,medium_compressibility,1,24,1,8,73.0,73,82,1.1232876712328768,9,17,14,56,9,2,12,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,7.073287671232878,50,73,0.84,5.62,6.0,8.0,0.16,0.84,0.84,9,0.684931506849315,7,0.684931506849315,1.7817700321207233,2.6013842468962562,10.22,5,3.5836099942911326,0.8641095890410959,8.0,0.684931506849315,7.0,0.6172839506172839
constructed_medium,medium_compressibility,1,24,1,12,73.0,73,78,1.0684931506849316,5,17,5,15,5,1,5,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,2.0184931506849315,50,73,0.84,5.62,6.0,8.0,0.16,0.84,0.84,9,0.684931506849315,7,0.684931506849315,1.7817700321207233,2.6013842468962562,10.22,5,3.5836099942911326,0.8641095890410959,12.0,0.684931506849315,7.0,0.5882352941176471
constructed_medium,medium_compressibility,2,24,1,0,73.0,73,92,1.2602739726027397,19,19,35,288,19,2,33,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,32.51027397260274,52,73,0.8461538461538461,5.615384615384615,6.0,8.0,0.15384615384615385,0.8461538461538461,0.8461538461538461,9,0.7123287671232876,9,0.7123287671232876,1.9265943552601825,2.7046420756537177,12.634615384615385,1,3.552543862915881,0.8651211801896732,0.0,0.7123287671232876,9.0,0.7123287671232876
constructed_medium,medium_compressibility,2,24,1,4,73.0,73,88,1.2054794520547945,15,19,24,163,15,2,22,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,18.855479452054794,52,73,0.8461538461538461,5.615384615384615,6.0,8.0,0.15384615384615385,0.8461538461538461,0.8461538461538461,9,0.7123287671232876,9,0.7123287671232876,1.9265943552601825,2.7046420756537177,12.634615384615385,1,3.552543862915881,0.8651211801896732,4.0,0.7123287671232876,9.0,0.6753246753246753
constructed_medium,medium_compressibility,2,24,1,8,73.0,73,84,1.1506849315068493,11,19,15,81,11,1,15,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,9.70068493150685,52,73,0.8461538461538461,5.615384615384615,6.0,8.0,0.15384615384615385,0.8461538461538461,0.8461538461538461,9,0.7123287671232876,9,0.7123287671232876,1.9265943552601825,2.7046420756537177,12.634615384615385,1,3.552543862915881,0.8651211801896732,8.0,0.7123287671232876,9.0,0.6419753086419753
constructed_medium,medium_compressibility,2,24,1,12,73.0,73,80,1.095890410958904,7,19,8,29,7,2,7,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,3.7458904109589044,52,73,0.8461538461538461,5.615384615384615,6.0,8.0,0.15384615384615385,0.8461538461538461,0.8461538461538461,9,0.7123287671232876,9,0.7123287671232876,1.9265943552601825,2.7046420756537177,12.634615384615385,1,3.552543862915881,0.8651211801896732,12.0,0.7123287671232876,9.0,0.611764705882353
constructed_medium,medium_compressibility,3,24,1,0,73.0,73,88,1.2054794520547945,15,15,31,240,15,2,30,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,27.255479452054793,50,73,0.84,6.24,7.0,8.0,0.16,0.84,0.84,9,0.684931506849315,8,0.684931506849315,1.7507470994599967,2.556090765211595,11.680000000000001,2,3.658171939471839,0.8586301369863014,0.0,0.684931506849315,8.0,0.684931506849315
