workload,family,seed,n,schedule,C,B,p_acc,num_trials,T_ref_asap,mean_T_exe,median_T_exe,p90_T_exe,p95_T_exe,p99_T_exe,std_T_exe,mean_ratio_to_T_ref,p95_ratio_to_T_ref,p99_ratio_to_T_ref,mean_stall_cycles,p95_stall_cycles,stall_probability,target_violation_prob_5pct,target_violation_prob_10pct,mean_BacklogArea,p95_BacklogArea,mean_L_backlog,p95_L_backlog
constructed_high,high_compressibility,0,24,capacity_aware,2,4,1.0,200,80,110.0,110.0,110.0,110.0,110.0,0.0,1.375,1.375,1.375,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,2,4,1.0,200,80,80.0,80.0,80.0,80.0,80.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,4,1.0,200,80,80.0,80.0,80.0,80.0,80.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,robust_smooth,2,4,1.0,200,80,80.0,80.0,80.0,80.0,80.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,capacity_aware,2,4,0.995,200,80,110.0,110.0,110.0,110.0,110.0,0.0,1.375,1.375,1.375,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,2,4,0.995,200,80,80.0,80.0,80.0,80.0,80.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,4,0.995,200,80,80.0,80.0,80.0,80.0,80.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,robust_smooth,2,4,0.995,200,80,80.0,80.0,80.0,80.0,80.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,capacity_aware,2,4,0.99,200,80,110.0,110.0,110.0,110.0,110.0,0.0,1.375,1.375,1.375,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,2,4,0.99,200,80,80.0,80.0,80.0,80.0,80.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,4,0.99,200,80,80.0,80.0,80.0,80.0,80.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,robust_smooth,2,4,0.99,200,80,80.0,80.0,80.0,80.0,80.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,capacity_aware,2,4,0.95,200,80,110.04,110.0,110.0,110.0,111.0,0.19595917942265423,1.3755000000000002,1.375,1.3875,0.04,0.0,0.04,1.0,1.0,0.04,0.0,0.04,0.0
