workload,family,seed,n,schedule,C_nominal,eta,C_eff,B,T_ref_asap,T_static,T_exe,ratio_to_T_ref,stall_cycles,Delta_max,BacklogArea,L_backlog,max_backlog,target_violation_5pct,degradation_vs_eta_1
constructed_high,high_compressibility,0,24,capacity_aware,2,1.0,2,4,80,110,110,1.375,0,0,0,0,0,1,0.0
constructed_high,high_compressibility,0,24,capacity_aware,2,0.9,1,4,80,110,135,1.6875,25,29,690,54,25,1,0.22727272727272727
constructed_high,high_compressibility,0,24,capacity_aware,2,0.75,1,4,80,110,135,1.6875,25,29,690,54,25,1,0.22727272727272727
constructed_high,high_compressibility,0,24,capacity_aware,2,0.5,1,4,80,110,135,1.6875,25,29,690,54,25,1,0.22727272727272727
constructed_high,high_compressibility,0,24,smooth,2,1.0,2,4,80,80,80,1.0,0,0,0,0,0,0,0.0
constructed_high,high_compressibility,0,24,smooth,2,0.9,1,4,80,80,80,1.0,0,0,0,0,0,0,0.0
constructed_high,high_compressibility,0,24,smooth,2,0.75,1,4,80,80,80,1.0,0,0,0,0,0,0,0.0
constructed_high,high_compressibility,0,24,smooth,2,0.5,1,4,80,80,80,1.0,0,0,0,0,0,0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,1.0,2,4,80,80,80,1.0,0,0,0,0,0,0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,0.9,1,4,80,80,108,1.35,28,32,781,57,28,1,0.35
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,0.75,1,4,80,80,108,1.35,28,32,781,57,28,1,0.35
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,0.5,1,4,80,80,108,1.35,28,32,781,57,28,1,0.35
constructed_high,high_compressibility,0,24,robust_smooth,2,1.0,2,4,80,80,80,1.0,0,0,0,0,0,0,0.0
constructed_high,high_compressibility,0,24,robust_smooth,2,0.9,1,4,80,80,80,1.0,0,0,0,0,0,0,0.0
constructed_high,high_compressibility,0,24,robust_smooth,2,0.75,1,4,80,80,80,1.0,0,0,0,0,0,0,0.0
constructed_high,high_compressibility,0,24,robust_smooth,2,0.5,1,4,80,80,80,1.0,0,0,0,0,0,0,0.0
constructed_medium,medium_compressibility,0,24,capacity_aware,2,1.0,2,4,73,81,81,1.1095890410958904,0,0,0,0,0,1,0.0
constructed_medium,medium_compressibility,0,24,capacity_aware,2,0.9,1,4,73,81,88,1.2054794520547945,7,11,79,22,7,1,0.08641975308641975
constructed_medium,medium_compressibility,0,24,capacity_aware,2,0.75,1,4,73,81,88,1.2054794520547945,7,11,79,22,7,1,0.08641975308641975
constructed_medium,medium_compressibility,0,24,capacity_aware,2,0.5,1,4,73,81,88,1.2054794520547945,7,11,79,22,7,1,0.08641975308641975
constructed_medium,medium_compressibility,0,24,smooth,2,1.0,2,4,73,73,73,1.0,0,0,0,0,0,0,0.0
constructed_medium,medium_compressibility,0,24,smooth,2,0.9,1,4,73,73,83,1.1369863013698631,10,14,105,20,10,1,0.136986301369863
constructed_medium,medium_compressibility,0,24,smooth,2,0.75,1,4,73,73,83,1.1369863013698631,10,14,105,20,10,1,0.136986301369863
