group,regime_label,count,fraction
adder_n16,no_delivery_bottleneck,56,1.0
adder_n8,no_delivery_bottleneck,56,1.0
approx_qft_n12,no_delivery_bottleneck,39,0.6964285714285714
approx_qft_n12,peak_dominated_buffer_limited,7,0.125
approx_qft_n12,peak_dominated_smooth_solvable,7,0.125
approx_qft_n12,persistent_underprovisioning,3,0.05357142857142857
constructed_high,peak_dominated_smooth_solvable,280,1.0
constructed_low,no_delivery_bottleneck,280,1.0
constructed_medium,no_delivery_bottleneck,229,0.8178571428571428
constructed_medium,peak_dominated_buffer_limited,27,0.09642857142857143
constructed_medium,peak_dominated_smooth_solvable,24,0.08571428571428572
exact_qft_n8,no_delivery_bottleneck,49,0.875
exact_qft_n8,peak_dominated_smooth_solvable,4,0.07142857142857142
exact_qft_n8,persistent_underprovisioning,3,0.05357142857142857
larger_exact_qft_n12,no_delivery_bottleneck,38,0.6785714285714286
larger_exact_qft_n12,peak_dominated_buffer_limited,6,0.10714285714285714
larger_exact_qft_n12,peak_dominated_smooth_solvable,9,0.16071428571428573
larger_exact_qft_n12,persistent_underprovisioning,3,0.05357142857142857
larger_multiplier_n16,no_delivery_bottleneck,16,0.2857142857142857
larger_multiplier_n16,peak_dominated_buffer_limited,7,0.125
larger_multiplier_n16,peak_dominated_smooth_solvable,13,0.23214285714285715
larger_multiplier_n16,persistent_underprovisioning,20,0.35714285714285715
multiplier_n12,no_delivery_bottleneck,29,0.5178571428571429
multiplier_n12,peak_dominated_buffer_limited,6,0.10714285714285714
multiplier_n12,peak_dominated_smooth_solvable,9,0.16071428571428573
multiplier_n12,persistent_underprovisioning,12,0.21428571428571427
multiplier_n4,no_delivery_bottleneck,52,0.9285714285714286
multiplier_n4,peak_dominated_buffer_limited,1,0.017857142857142856
multiplier_n4,peak_dominated_smooth_solvable,3,0.05357142857142857
multiplier_n6,no_delivery_bottleneck,47,0.8392857142857143
multiplier_n6,peak_dominated_smooth_solvable,6,0.10714285714285714
multiplier_n6,persistent_underprovisioning,3,0.05357142857142857
multiplier_n8,no_delivery_bottleneck,40,0.7142857142857143
multiplier_n8,peak_dominated_buffer_limited,3,0.05357142857142857
multiplier_n8,peak_dominated_smooth_solvable,9,0.16071428571428573
multiplier_n8,persistent_underprovisioning,4,0.07142857142857142
phase_estimation_like_n10,no_delivery_bottleneck,39,0.6964285714285714
phase_estimation_like_n10,peak_dominated_smooth_solvable,13,0.23214285714285715
phase_estimation_like_n10,persistent_underprovisioning,4,0.07142857142857142
OVERALL,no_delivery_bottleneck,970,0.6662087912087912
OVERALL,peak_dominated_buffer_limited,57,0.03914835164835165
OVERALL,peak_dominated_smooth_solvable,377,0.25892857142857145
OVERALL,persistent_underprovisioning,52,0.03571428571428571
