circuit,transpiler,optimization_level,basis,proxy_type,gate_count,depth,T_count,T_depth,nonclifford_count,D_peak,D_mean,D_cv,D_peak_to_mean,Delta_max_static,BacklogArea_static,L_backlog_static,smooth_T_exe,smooth_BacklogArea,smooth_regime_label,regime_label
QFT,qiskit,0,qiskit_default,proxy_non_clifford_demand,21,11,0,7,10,2,0.9090909090909091,0.8717797887081347,2.2,0,0,0,11,0,no_delivery_bottleneck,no_delivery_bottleneck
QFT,qiskit,1,qiskit_default,proxy_non_clifford_demand,21,11,0,7,10,2,0.9090909090909091,0.8717797887081347,2.2,0,0,0,11,0,no_delivery_bottleneck,no_delivery_bottleneck
QFT,qiskit,2,qiskit_default,proxy_non_clifford_demand,21,11,0,7,10,2,0.9090909090909091,0.8717797887081347,2.2,0,0,0,11,0,no_delivery_bottleneck,no_delivery_bottleneck
QFT,qiskit,3,qiskit_default,proxy_non_clifford_demand,21,11,0,7,10,2,0.9090909090909091,0.8717797887081347,2.2,0,0,0,11,0,no_delivery_bottleneck,no_delivery_bottleneck
multiplier,qiskit,0,qiskit_default,proxy_non_clifford_demand,75,75,0,50,50,1,0.6666666666666666,0.7071067811865476,1.5,0,0,0,75,0,no_delivery_bottleneck,no_delivery_bottleneck
multiplier,qiskit,1,qiskit_default,proxy_non_clifford_demand,75,75,0,50,50,1,0.6666666666666666,0.7071067811865476,1.5,0,0,0,75,0,no_delivery_bottleneck,no_delivery_bottleneck
multiplier,qiskit,2,qiskit_default,proxy_non_clifford_demand,75,75,0,50,50,1,0.6666666666666666,0.7071067811865476,1.5,0,0,0,75,0,no_delivery_bottleneck,no_delivery_bottleneck
multiplier,qiskit,3,qiskit_default,proxy_non_clifford_demand,75,75,0,50,50,1,0.6666666666666666,0.7071067811865476,1.5,0,0,0,75,0,no_delivery_bottleneck,no_delivery_bottleneck
phase_estimation_like,qiskit,0,qiskit_default,proxy_non_clifford_demand,48,33,0,28,31,2,0.9393939393939394,0.5201456611805516,2.129032258064516,0,0,0,33,0,no_delivery_bottleneck,no_delivery_bottleneck
phase_estimation_like,qiskit,1,qiskit_default,proxy_non_clifford_demand,48,33,0,28,31,2,0.9393939393939394,0.5201456611805516,2.129032258064516,0,0,0,33,0,no_delivery_bottleneck,no_delivery_bottleneck
phase_estimation_like,qiskit,2,qiskit_default,proxy_non_clifford_demand,48,33,0,28,31,2,0.9393939393939394,0.5201456611805516,2.129032258064516,0,0,0,33,0,no_delivery_bottleneck,no_delivery_bottleneck
phase_estimation_like,qiskit,3,qiskit_default,proxy_non_clifford_demand,48,33,0,28,31,2,0.9393939393939394,0.5201456611805516,2.129032258064516,0,0,0,33,0,no_delivery_bottleneck,no_delivery_bottleneck
Hamiltonian_simulation_like,qiskit,0,qiskit_default,proxy_non_clifford_demand,45,27,0,9,15,3,0.5555555555555556,1.574801574802362,5.3999999999999995,0,0,0,27,0,no_delivery_bottleneck,no_delivery_bottleneck
Hamiltonian_simulation_like,qiskit,1,qiskit_default,proxy_non_clifford_demand,45,27,0,9,15,3,0.5555555555555556,1.574801574802362,5.3999999999999995,0,0,0,27,0,no_delivery_bottleneck,no_delivery_bottleneck
Hamiltonian_simulation_like,qiskit,2,qiskit_default,proxy_non_clifford_demand,45,27,0,9,15,3,0.5555555555555556,1.574801574802362,5.3999999999999995,0,0,0,27,0,no_delivery_bottleneck,no_delivery_bottleneck
Hamiltonian_simulation_like,qiskit,3,qiskit_default,proxy_non_clifford_demand,45,27,0,9,15,3,0.5555555555555556,1.574801574802362,5.3999999999999995,0,0,0,27,0,no_delivery_bottleneck,no_delivery_bottleneck
