feature,role,allowed
C,used_outcome_blind,1
B,used_outcome_blind,1
B_over_C,used_outcome_blind,1
T_count,used_outcome_blind,1
critical_path_length,used_outcome_blind,1
slack_ratio,used_outcome_blind,1
mean_slack,used_outcome_blind,1
median_slack,used_outcome_blind,1
p90_slack,used_outcome_blind,1
fraction_zero_slack,used_outcome_blind,1
fraction_slack_ge_2,used_outcome_blind,1
fraction_slack_ge_5,used_outcome_blind,1
ready_T_width_peak,used_outcome_blind,1
D_peak,used_outcome_blind,1
D_mean,used_outcome_blind,1
D_cv,used_outcome_blind,1
D_peak_to_mean,used_outcome_blind,1
num_demand_peaks,used_outcome_blind,1
mean_demand_over_C,used_outcome_blind,1
peak_demand_over_C,used_outcome_blind,1
supply_tightness,used_outcome_blind,1
T_exe,forbidden_outcome,1
ratio_to_T_ref,forbidden_outcome,1
stall_cycles,forbidden_outcome,1
Delta_max,forbidden_outcome,1
BacklogArea,forbidden_outcome,1
L_backlog,forbidden_outcome,1
candidate_T_exe,forbidden_outcome,1
candidate_BacklogArea,forbidden_outcome,1
strategy_gain_Texe,forbidden_outcome,1
strategy_success,forbidden_outcome,1
empirical_best_strategy,forbidden_outcome,1
