lambda_A,lambda_C,lambda_B,policy,match_rate,match_rate_nontrivial,mean_regret,median_regret,p95_regret,mean_regret_nontrivial,median_regret_nontrivial,p95_regret_nontrivial
0.0,0.0,0.0,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12235848954956093,0.0,0.6621621621621621,0.33613329148484905,0.183568677792041,0.9390243902439024
0.0,0.0,0.0,always_increase_B,0.9471153846153846,0.8477366255144033,0.03617491084491579,0.0,0.1578947368421053,0.1066249149212672,0.0,0.7073170731707317
0.0,0.0,0.0,always_increase_C,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,always_smooth,0.9100274725274725,0.7366255144032922,0.046801288558602556,0.0,0.26315789473684204,0.13846031811288845,0.0,0.8571428571428572
0.0,0.0,0.0,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,random,0.8385989010989011,0.5925925925925926,0.05443801569668896,0.0,0.273972602739726,0.15680592753213432,0.0,0.75
0.0,0.0,0.0,regime_aware,0.989010989010989,0.9670781893004116,0.0007572277486563906,0.0,0.0,0.0022685670823944545,0.0,0.0
0.0,0.0,0.002,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12235848954956093,0.0,0.6621621621621621,0.33613329148484905,0.183568677792041,0.9390243902439024
0.0,0.0,0.002,always_increase_B,0.9100274725274725,0.7366255144032922,0.038883702053707,0.0,0.20589473684210535,0.11474014125871576,0.0,0.7473170731707317
0.0,0.0,0.002,always_increase_C,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.002,always_smooth,0.9100274725274725,0.7366255144032922,0.046801288558602556,0.0,0.26315789473684204,0.13846031811288845,0.0,0.8571428571428572
0.0,0.0,0.002,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.002,random,0.8331043956043956,0.565843621399177,0.059001988478552425,0.0,0.3285,0.17104582831622797,0.0,0.8292682926829269
0.0,0.0,0.002,regime_aware,0.9629120879120879,0.8888888888888888,0.0018204145618432048,0.0,0.0,0.0054537522675796426,0.0,0.04800000000000004
