case_id,workload,family,seed,n,policy,chosen_strategy,T_exe_over_T_ref,BacklogArea,DeltaC,DeltaB,pareto_optimal,near_pareto,nontrivial_case
constructed_high|high_compressibility|0|24|1|0,constructed_high,high_compressibility,0,24,regime_aware,increase_B,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|0,constructed_high,high_compressibility,0,24,always_smooth,smooth,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|0,constructed_high,high_compressibility,0,24,always_increase_B,increase_B,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|0,constructed_high,high_compressibility,0,24,always_increase_C,increase_C,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|0,constructed_high,high_compressibility,0,24,always_capacity_aware,capacity_aware,1.75,0.0,0.0,0.0,0,0,1
constructed_high|high_compressibility|0|24|1|0,constructed_high,high_compressibility,0,24,random,capacity_aware,1.75,0.0,0.0,0.0,0,0,1
constructed_high|high_compressibility|0|24|1|0,constructed_high,high_compressibility,0,24,oracle_resource_aware,DA_v2,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|2,constructed_high,high_compressibility,0,24,regime_aware,increase_B,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|2,constructed_high,high_compressibility,0,24,always_smooth,smooth,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|2,constructed_high,high_compressibility,0,24,always_increase_B,increase_B,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|2,constructed_high,high_compressibility,0,24,always_increase_C,increase_C,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|2,constructed_high,high_compressibility,0,24,always_capacity_aware,capacity_aware,1.75,0.0,0.0,0.0,0,0,1
constructed_high|high_compressibility|0|24|1|2,constructed_high,high_compressibility,0,24,random,robust_smooth,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|2,constructed_high,high_compressibility,0,24,oracle_resource_aware,DA_v2,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|4,constructed_high,high_compressibility,0,24,regime_aware,increase_B,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|4,constructed_high,high_compressibility,0,24,always_smooth,smooth,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|4,constructed_high,high_compressibility,0,24,always_increase_B,increase_B,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|4,constructed_high,high_compressibility,0,24,always_increase_C,increase_C,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|4,constructed_high,high_compressibility,0,24,always_capacity_aware,capacity_aware,1.75,0.0,0.0,0.0,0,0,1
constructed_high|high_compressibility|0|24|1|4,constructed_high,high_compressibility,0,24,random,capacity_aware,1.75,0.0,0.0,0.0,0,0,1
constructed_high|high_compressibility|0|24|1|4,constructed_high,high_compressibility,0,24,oracle_resource_aware,DA_v2,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|8,constructed_high,high_compressibility,0,24,regime_aware,smooth,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|8,constructed_high,high_compressibility,0,24,always_smooth,smooth,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|8,constructed_high,high_compressibility,0,24,always_increase_B,increase_B,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|8,constructed_high,high_compressibility,0,24,always_increase_C,increase_C,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|8,constructed_high,high_compressibility,0,24,always_capacity_aware,capacity_aware,1.75,0.0,0.0,0.0,0,0,1
constructed_high|high_compressibility|0|24|1|8,constructed_high,high_compressibility,0,24,random,robust_smooth,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|8,constructed_high,high_compressibility,0,24,oracle_resource_aware,DA_v2,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|12,constructed_high,high_compressibility,0,24,regime_aware,smooth,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|12,constructed_high,high_compressibility,0,24,always_smooth,smooth,1.0,0.0,0.0,0.0,1,1,1
constructed_high|high_compressibility|0|24|1|12,constructed_high,high_compressibility,0,24,always_increase_B,increase_B,1.0,0.0,0.0,0.0,1,1,1
