program,kernel,concurrency,regime,rate,clifford_weight,num_candidates,t_depth_choice,best_choice,t_depth_makespan,t_count_makespan,best_makespan,regret_t_depth,regret_t_count,selection_reversal,pairs_compared,pairs_reversed,pair_reversal_rate,min_t_depth,best_candidate_t_depth,t_depth_ratio_of_best
schoolbook_mult_w16_r3,multiplier,1,rate0.1,0.1,1,5,blocked4x3,ripplex3,3483,1803,1803,1.9318,1.0,1,9,4,0.4444,36,90,2.5
schoolbook_mult_w16_r3,multiplier,1,rate0.2,0.2,1,5,blocked4x3,ripplex3,1748,908,908,1.9251,1.0,1,9,4,0.4444,36,90,2.5
schoolbook_mult_w16_r3,multiplier,1,rate0.5,0.5,1,5,blocked4x3,ripplex3,707,371,371,1.9057,1.0,1,9,4,0.4444,36,90,2.5
schoolbook_mult_w16_r3,multiplier,1,rate1,1.0,1,5,blocked4x3,ripplex3,360,244,244,1.4754,1.0,1,9,4,0.4444,36,90,2.5
schoolbook_mult_w16_r3,multiplier,1,rate2,2.0,1,5,blocked4x3,blocked8x3,186,243,186,1.0,1.3065,0,9,0,0.0,36,48,1.3333
schoolbook_mult_w16_r3,multiplier,1,rate4,4.0,1,5,blocked4x3,blocked4x3,120,243,120,1.0,2.025,0,9,1,0.1111,36,36,1.0
schoolbook_mult_w16_r3,multiplier,1,rate8,8.0,1,5,blocked4x3,blocked4x3,117,243,117,1.0,2.0769,0,9,1,0.1111,36,36,1.0
schoolbook_mult_w16_r3,multiplier,1,unconstrained,180.0,1,5,blocked4x3,blocked4x3,111,237,111,1.0,2.1351,0,9,1,0.1111,36,36,1.0
schoolbook_mult_w16_r3,multiplier,1,rate0.1,0.1,0,5,blocked4x3,ripplex3,3480,1800,1800,1.9333,1.0,1,9,4,0.4444,36,90,2.5
schoolbook_mult_w16_r3,multiplier,1,rate0.2,0.2,0,5,blocked4x3,ripplex3,1745,905,905,1.9282,1.0,1,9,4,0.4444,36,90,2.5
schoolbook_mult_w16_r3,multiplier,1,rate0.5,0.5,0,5,blocked4x3,ripplex3,704,368,368,1.913,1.0,1,9,4,0.4444,36,90,2.5
schoolbook_mult_w16_r3,multiplier,1,rate1,1.0,0,5,blocked4x3,ripplex3,357,189,189,1.8889,1.0,1,9,4,0.4444,36,90,2.5
schoolbook_mult_w16_r3,multiplier,1,rate2,2.0,0,5,blocked4x3,ripplex3,183,99,99,1.8485,1.0,1,9,4,0.4444,36,90,2.5
schoolbook_mult_w16_r3,multiplier,1,rate4,4.0,0,5,blocked4x3,blocked8x3,96,99,96,1.0,1.0312,0,9,0,0.0,36,48,1.3333
schoolbook_mult_w16_r3,multiplier,1,rate8,8.0,0,5,blocked4x3,blocked4x3,53,99,53,1.0,1.8679,0,9,0,0.0,36,36,1.0
schoolbook_mult_w16_r3,multiplier,1,unconstrained,180.0,0,5,blocked4x3,blocked4x3,36,90,36,1.0,2.5,0,9,0,0.0,36,36,1.0
