regime,rate,clifford_weight,cases,selection_reversal_rate,pair_reversal_rate,regret_t_depth_mean,regret_t_depth_median,regret_t_depth_p90,regret_t_depth_p95,regret_t_depth_max,regret_t_count_median,regret_t_count_max
rate0.1,0.1,0,28,0.8929,0.7187,1.7585,1.9333,2.0,2.0,2.0,1.0,1.0
rate0.1,0.1,1,28,0.8929,0.7187,1.7575,1.9325,1.9992,1.9996,1.9996,1.0,1.0
rate0.2,0.2,0,28,0.8929,0.7187,1.7547,1.9303,1.9961,1.9979,1.9981,1.0,1.0
rate0.2,0.2,1,28,0.8929,0.7187,1.7528,1.9285,1.9946,1.9971,1.9973,1.0,1.0
rate0.5,0.5,0,28,0.8929,0.7187,1.7441,1.9213,1.9846,1.9917,1.9922,1.0,1.0
rate0.5,0.5,1,28,0.8929,0.7187,1.7363,1.9169,1.9808,1.9815,1.9903,1.0,1.0
rate1,1.0,0,28,0.8929,0.7187,1.7283,1.9067,1.9754,1.9816,1.9827,1.0,1.0
rate1,1.0,1,28,0.8929,0.6304,1.5692,1.5842,1.8798,1.9588,1.979,1.0,1.2987
rate2,2.0,0,28,0.8929,0.6589,1.6806,1.8485,1.9612,1.9669,1.9742,1.0,1.2078
rate2,2.0,1,28,0.6429,0.4315,1.2427,1.1058,1.5269,1.8671,1.9588,1.0505,2.0
rate4,4.0,0,28,0.6786,0.4882,1.3222,1.3623,1.6965,1.8767,1.9343,1.0039,1.8125
rate4,4.0,1,28,0.25,0.2324,1.0807,1.0,1.1905,1.4632,1.8671,1.653,2.5078
rate8,8.0,0,28,0.3929,0.269,1.1223,1.0,1.3333,1.595,1.8767,1.4074,2.6562
rate8,8.0,1,28,0.3571,0.0885,1.0311,1.0,1.0444,1.2222,1.4842,2.1336,4.4514
unconstrained,inf,0,28,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.7214,8.0
unconstrained,inf,1,28,0.0,0.0232,1.0,1.0,1.0,1.0,1.0,2.8652,5.6667
