program,kernel,concurrency,decision_sites,assignment_space,regime,rate,buffer,reference,reference_exhaustive,reference_heterogeneous,makespan_min_t_count,makespan_min_t_depth,makespan_best_static,makespan_legacy_smooth,makespan_local_resource_greedy,makespan_share_aware_greedy,makespan_best_uniform,makespan_resource_aware,regret_min_t_count,regret_min_t_depth,regret_best_static,regret_legacy_smooth,regret_local_resource_greedy,regret_share_aware_greedy,regret_best_uniform,regret_resource_aware,strongest_baseline,strongest_baseline_makespan,headroom_available,headroom_captured,ours_heterogeneous,ours_profile,ours_cost_evaluations,ours_ancillas,best_static_ancillas,ours_overflow,ours_stalls
grover_c16_i2,grover,1,4,100,rate0.1,0.1,32,1842,1,1,1842,2482,1842,2482,1842,1842,1842,1842,1.0,1.3474,1.0,1.3474,1.0,1.0,1.0,1.0,min_t_count,1842,0,,1,"treex2,width1x2",43,48,48,0,1662
grover_c16_i2,grover,1,4,100,rate0.2,0.2,32,927,1,1,927,1247,927,1247,927,927,927,927,1.0,1.3452,1.0,1.3452,1.0,1.0,1.0,1.0,min_t_count,927,0,,1,"treex2,width1x2",43,48,48,0,747
grover_c16_i2,grover,1,4,100,rate0.5,0.5,32,383,1,1,383,506,383,506,383,383,383,383,1.0,1.3211,1.0,1.3211,1.0,1.0,1.0,1.0,min_t_count,383,0,,1,"linearx1,treex1,width1x2",73,40,48,0,146
grover_c16_i2,grover,1,4,100,rate1,1.0,32,218,1,1,248,259,248,269,218,218,218,225,1.1376,1.1881,1.1376,1.2339,1.0,1.0,1.0,1.0321,local_resource_greedy,218,0,,1,"treex2,width1x1,width4x1",63,52,48,14,79
grover_c16_i2,grover,1,4,100,rate2,2.0,32,125,1,1,212,135,135,144,132,132,127,125,1.696,1.08,1.08,1.152,1.056,1.056,1.016,1.0,best_uniform,127,2,1.0,1,"treex2,width4x1,width8x1",63,60,80,4,25
grover_c16_i2,grover,1,4,100,rate4,4.0,32,94,1,1,202,94,94,94,102,102,94,94,2.1489,1.0,1.0,1.0,1.0851,1.0851,1.0,1.0,min_t_depth,94,0,,1,"treex2,width16x2",53,80,80,84,16
grover_c16_i2,grover,1,4,100,rate8,8.0,32,86,1,1,198,86,86,86,86,86,86,86,2.3023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,86,0,,1,"treex2,width16x2",43,80,80,344,6
grover_c32_i2,grover,1,4,100,rate0.1,0.1,32,3122,1,1,3122,3762,3122,3762,3122,3122,3122,3122,1.0,1.205,1.0,1.205,1.0,1.0,1.0,1.0,min_t_count,3122,0,,1,"treex2,width1x2",43,96,96,0,2934
grover_c32_i2,grover,1,4,100,rate0.2,0.2,32,1567,1,1,1567,1887,1567,1887,1567,1567,1567,1567,1.0,1.2042,1.0,1.2042,1.0,1.0,1.0,1.0,min_t_count,1567,0,,1,"treex2,width1x2",43,96,96,0,1379
grover_c32_i2,grover,1,4,100,rate0.5,0.5,32,639,1,1,639,762,639,762,639,639,639,639,1.0,1.1925,1.0,1.1925,1.0,1.0,1.0,1.0,min_t_count,639,0,,1,"linearx2,width1x2",83,64,96,0,185
grover_c32_i2,grover,1,4,100,rate1,1.0,32,346,1,1,376,387,376,403,346,346,346,352,1.0867,1.1185,1.0867,1.1647,1.0,1.0,1.0,1.0173,local_resource_greedy,346,0,,1,"treex2,width1x1,width2x1",63,98,96,14,182
grover_c32_i2,grover,1,4,100,rate2,2.0,32,189,1,1,276,199,199,212,196,196,191,205,1.4603,1.0529,1.0529,1.1217,1.037,1.037,1.0106,1.0847,best_uniform,191,2,-7.0,1,"treex2,width2x1,width8x1",63,106,128,44,81
grover_c32_i2,grover,1,4,100,rate4,4.0,32,125,1,1,232,125,125,125,132,132,125,125,1.856,1.0,1.0,1.0,1.056,1.056,1.0,1.0,min_t_depth,125,0,,1,"treex2,width16x2",53,128,128,80,36
grover_c32_i2,grover,1,4,100,rate8,8.0,32,104,1,1,216,104,104,104,104,104,104,104,2.0769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,104,0,,1,"treex2,width16x2",43,128,128,360,14
grover_c8_i2,grover,1,4,100,rate0.1,0.1,32,1202,1,1,1202,1842,1202,1842,1202,1202,1202,1202,1.0,1.5324,1.0,1.5324,1.0,1.0,1.0,1.0,min_t_count,1202,0,,1,"treex2,width1x2",43,24,24,0,1030
grover_c8_i2,grover,1,4,100,rate0.2,0.2,32,607,1,1,607,927,607,927,607,607,607,607,1.0,1.5272,1.0,1.5272,1.0,1.0,1.0,1.0,min_t_count,607,0,,1,"treex2,width1x2",43,24,24,0,435
grover_c8_i2,grover,1,4,100,rate0.5,0.5,32,255,1,1,255,378,255,378,255,255,255,255,1.0,1.4824,1.0,1.4824,1.0,1.0,1.0,1.0,min_t_count,255,0,,1,"treex2,width1x2",53,24,24,0,83
grover_c8_i2,grover,1,4,100,rate1,1.0,32,154,1,1,200,195,195,200,154,154,154,154,1.2987,1.2662,1.2662,1.2987,1.0,1.0,1.0,1.0,local_resource_greedy,154,0,,1,"treex2,width2x2",53,28,56,0,24
grover_c8_i2,grover,1,4,100,rate2,2.0,32,95,1,1,190,103,103,109,110,110,95,104,2.0,1.0842,1.0842,1.1474,1.1579,1.1579,1.0,1.0947,best_uniform,95,0,,1,"treex2,width16x1,width4x1",63,44,56,18,22
grover_c8_i2,grover,1,4,100,rate4,4.0,32,78,1,1,186,78,78,78,86,86,78,78,2.3846,1.0,1.0,1.0,1.1026,1.1026,1.0,1.0,min_t_depth,78,0,,1,"treex2,width16x2",53,56,56,84,10
grover_c8_i2,grover,1,4,100,rate8,8.0,32,73,1,1,185,73,73,73,73,73,73,73,2.5342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,73,0,,1,"treex2,width16x2",43,56,56,304,5
mixed_w32_c16_l1,mixed,1,3,60,rate0.1,0.1,32,2162,1,1,2162,3682,2162,3682,2162,2162,2162,2162,1.0,1.7031,1.0,1.7031,1.0,1.0,1.0,1.0,min_t_count,2162,0,,1,"ripplex1,treex1,width1x1",43,25,25,0,1913
mixed_w32_c16_l1,mixed,1,3,60,rate0.2,0.2,32,1087,1,1,1087,1847,1087,1847,1087,1087,1087,1087,1.0,1.6992,1.0,1.6992,1.0,1.0,1.0,1.0,min_t_count,1087,0,,1,"ripplex1,treex1,width1x1",43,25,25,0,838
mixed_w32_c16_l1,mixed,1,3,60,rate0.5,0.5,32,447,1,1,447,746,447,746,447,447,447,447,1.0,1.6689,1.0,1.6689,1.0,1.0,1.0,1.0,min_t_count,447,0,,1,"ripplex1,treex1,width1x1",43,25,25,0,198
mixed_w32_c16_l1,mixed,1,3,60,rate1,1.0,32,248,1,1,272,379,272,379,248,248,248,248,1.0968,1.5282,1.0968,1.5282,1.0,1.0,1.0,1.0,local_resource_greedy,248,0,,1,"ripplex1,treex1,width2x1",53,27,25,6,19
