program,kernel,regime,rate,model,description,makespan,reference,regret,reference_exhaustive,prediction_error_mean,prediction_error_max,selected_best_candidate
grover_c16_i2,grover,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),2482,1842,1.3474,1,0.9162,0.9678,0
grover_c16_i2,grover,rate0.1,0.1,deps_plus_count,dependencies + T-count,1842,1842,1.0,1,0.0037,0.0043,1
grover_c16_i2,grover,rate0.1,0.1,deps_plus_throughput,dependencies + arrival timing,1842,1842,1.0,1,0.0,0.0,1
grover_c16_i2,grover,rate0.1,0.1,sccp,dependencies + arrival timing + buffer,1842,1842,1.0,1,0.0,0.0,1
grover_c16_i2,grover,rate0.1,0.1,sccp_plus,full model with the fluid buffer-loss term,1842,1842,1.0,1,0.0,0.0,1
grover_c16_i2,grover,rate0.1,0.1,t_count_only,T-count and average supply rate,1842,1842,1.0,1,0.0037,0.0043,1
grover_c16_i2,grover,rate0.2,0.2,deps_only,dependencies only (what T-depth sees),1247,927,1.3452,1,0.8333,0.9358,0
grover_c16_i2,grover,rate0.2,0.2,deps_plus_count,dependencies + T-count,927,927,1.0,1,0.0028,0.0032,1
grover_c16_i2,grover,rate0.2,0.2,deps_plus_throughput,dependencies + arrival timing,927,927,1.0,1,0.0,0.0,1
grover_c16_i2,grover,rate0.2,0.2,sccp,dependencies + arrival timing + buffer,927,927,1.0,1,0.0,0.0,1
grover_c16_i2,grover,rate0.2,0.2,sccp_plus,full model with the fluid buffer-loss term,927,927,1.0,1,0.0,0.0,1
grover_c16_i2,grover,rate0.2,0.2,t_count_only,T-count and average supply rate,927,927,1.0,1,0.0028,0.0032,1
grover_c16_i2,grover,rate0.5,0.5,deps_only,dependencies only (what T-depth sees),506,383,1.3211,1,0.5921,0.8419,0
grover_c16_i2,grover,rate0.5,0.5,deps_plus_count,dependencies + T-count,383,383,1.0,1,0.0026,0.0131,1
grover_c16_i2,grover,rate0.5,0.5,deps_plus_throughput,dependencies + arrival timing,383,383,1.0,1,0.001,0.0052,1
grover_c16_i2,grover,rate0.5,0.5,sccp,dependencies + arrival timing + buffer,383,383,1.0,1,0.001,0.0052,1
grover_c16_i2,grover,rate0.5,0.5,sccp_plus,full model with the fluid buffer-loss term,383,383,1.0,1,0.001,0.0052,1
grover_c16_i2,grover,rate0.5,0.5,t_count_only,T-count and average supply rate,383,383,1.0,1,0.0026,0.0131,1
grover_c16_i2,grover,rate1,1.0,deps_only,dependencies only (what T-depth sees),259,218,1.1881,1,0.2992,0.6911,0
grover_c16_i2,grover,rate1,1.0,deps_plus_count,dependencies + T-count,248,218,1.1376,1,0.033,0.2177,0
grover_c16_i2,grover,rate1,1.0,deps_plus_throughput,dependencies + arrival timing,225,218,1.0321,1,0.0048,0.0484,1
grover_c16_i2,grover,rate1,1.0,sccp,dependencies + arrival timing + buffer,225,218,1.0321,1,0.0048,0.0484,1
grover_c16_i2,grover,rate1,1.0,sccp_plus,full model with the fluid buffer-loss term,225,218,1.0321,1,0.0048,0.0484,1
grover_c16_i2,grover,rate1,1.0,t_count_only,T-count and average supply rate,248,218,1.1376,1,0.0805,0.3555,0
grover_c16_i2,grover,rate2,2.0,deps_only,dependencies only (what T-depth sees),135,125,1.08,1,0.1277,0.4074,0
grover_c16_i2,grover,rate2,2.0,deps_plus_count,dependencies + T-count,141,125,1.128,1,0.0564,0.125,0
grover_c16_i2,grover,rate2,2.0,deps_plus_throughput,dependencies + arrival timing,125,125,1.0,1,0.0096,0.0962,1
grover_c16_i2,grover,rate2,2.0,sccp,dependencies + arrival timing + buffer,125,125,1.0,1,0.0096,0.0962,1
grover_c16_i2,grover,rate2,2.0,sccp_plus,full model with the fluid buffer-loss term,125,125,1.0,1,0.0087,0.0865,1
grover_c16_i2,grover,rate2,2.0,t_count_only,T-count and average supply rate,212,125,1.696,1,0.3382,0.66,0
grover_c16_i2,grover,rate4,4.0,deps_only,dependencies only (what T-depth sees),94,94,1.0,1,0.0597,0.1489,1
grover_c16_i2,grover,rate4,4.0,deps_plus_count,dependencies + T-count,94,94,1.0,1,0.0597,0.1489,1
grover_c16_i2,grover,rate4,4.0,deps_plus_throughput,dependencies + arrival timing,94,94,1.0,1,0.0063,0.0426,1
grover_c16_i2,grover,rate4,4.0,sccp,dependencies + arrival timing + buffer,94,94,1.0,1,0.0063,0.0426,1
grover_c16_i2,grover,rate4,4.0,sccp_plus,full model with the fluid buffer-loss term,94,94,1.0,1,0.0063,0.0426,1
grover_c16_i2,grover,rate4,4.0,t_count_only,T-count and average supply rate,202,94,2.1489,1,0.5945,0.8133,0
grover_c16_i2,grover,rate8,8.0,deps_only,dependencies only (what T-depth sees),86,86,1.0,1,0.0385,0.0698,1
grover_c16_i2,grover,rate8,8.0,deps_plus_count,dependencies + T-count,86,86,1.0,1,0.0385,0.0698,1
grover_c16_i2,grover,rate8,8.0,deps_plus_throughput,dependencies + arrival timing,86,86,1.0,1,0.0,0.0,1
grover_c16_i2,grover,rate8,8.0,sccp,dependencies + arrival timing + buffer,86,86,1.0,1,0.0,0.0,1
grover_c16_i2,grover,rate8,8.0,sccp_plus,full model with the fluid buffer-loss term,86,86,1.0,1,0.0,0.0,1
grover_c16_i2,grover,rate8,8.0,t_count_only,T-count and average supply rate,198,86,2.3023,1,0.7582,0.89,0
grover_c32_i2,grover,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),3762,3122,1.205,1,0.9231,0.9755,0
grover_c32_i2,grover,rate0.1,0.1,deps_plus_count,dependencies + T-count,3122,3122,1.0,1,0.0023,0.0026,1
grover_c32_i2,grover,rate0.1,0.1,deps_plus_throughput,dependencies + arrival timing,3122,3122,1.0,1,0.0,0.0,1
grover_c32_i2,grover,rate0.1,0.1,sccp,dependencies + arrival timing + buffer,3122,3122,1.0,1,0.0,0.0,1
grover_c32_i2,grover,rate0.1,0.1,sccp_plus,full model with the fluid buffer-loss term,3122,3122,1.0,1,0.0,0.0,1
