program,sweep,regime,rate,buffer,production_latency,makespan_min_t_depth,makespan_min_t_count,makespan_share_aware,makespan_resource_aware,reference,regret_min_t_depth,regret_resource_aware
grover_c16_i2,factory_granularity,F10_L10_stag,1.0,32,10,259,248,218,225,218,1.1881,1.0321
grover_c16_i2,factory_granularity,F10_L10_sync,1.0,32,10,252,247,215,224,214,1.1776,1.0467
grover_c16_i2,factory_granularity,F20_L20_stag,1.0,32,20,269,258,228,235,228,1.1798,1.0307
grover_c16_i2,factory_granularity,F20_L20_sync,1.0,32,20,262,259,220,230,220,1.1909,1.0455
grover_c16_i2,factory_granularity,F2_L2_stag,1.0,32,2,251,240,210,217,210,1.1952,1.0333
grover_c16_i2,factory_granularity,F2_L2_sync,1.0,32,2,250,239,209,216,209,1.1962,1.0335
grover_c16_i2,factory_granularity,F40_L40_stag,1.0,32,40,289,278,248,255,248,1.1653,1.0282
grover_c16_i2,factory_granularity,F40_L40_sync,1.0,32,40,324,313,324,290,284,1.1408,1.0211
grover_c16_i2,factory_granularity,F5_L5_stag,1.0,32,5,254,243,213,220,213,1.1925,1.0329
grover_c16_i2,factory_granularity,F5_L5_sync,1.0,32,5,252,243,213,222,212,1.1887,1.0472
grover_c16_i2,buffer,buffer1,1.0,1,10,303,295,287,291,287,1.0557,1.0139
grover_c16_i2,buffer,buffer128,1.0,128,10,259,238,218,211,211,1.2275,1.0
grover_c16_i2,buffer,buffer16,1.0,16,10,259,264,218,241,218,1.1881,1.1055
grover_c16_i2,buffer,buffer2,1.0,2,10,286,286,238,270,238,1.2017,1.1345
grover_c16_i2,buffer,buffer32,1.0,32,10,259,248,218,225,218,1.1881,1.0321
grover_c16_i2,buffer,buffer4,1.0,4,10,272,276,228,258,228,1.193,1.1316
grover_c16_i2,buffer,buffer8,1.0,8,10,261,272,224,250,224,1.1652,1.1161
grover_c16_i2,buffer,bufferinf,1.0,-1,10,259,238,218,211,211,1.2275,1.0
grover_c16_i2,production_latency,latency1,1.0,32,1,250,239,209,216,209,1.1962,1.0335
grover_c16_i2,production_latency,latency10,1.0,32,10,259,248,218,225,218,1.1881,1.0321
grover_c16_i2,production_latency,latency100,1.0,32,100,349,338,308,315,308,1.1331,1.0227
grover_c16_i2,production_latency,latency40,1.0,32,40,289,278,248,255,248,1.1653,1.0282
mixed_w32_c16_l2,factory_granularity,F10_L10_stag,1.0,32,10,747,448,448,448,448,1.6674,1.0
mixed_w32_c16_l2,factory_granularity,F10_L10_sync,1.0,32,10,742,443,443,443,443,1.6749,1.0
mixed_w32_c16_l2,factory_granularity,F20_L20_stag,1.0,32,20,757,458,458,458,458,1.6528,1.0
mixed_w32_c16_l2,factory_granularity,F20_L20_sync,1.0,32,20,742,453,453,453,453,1.638,1.0
mixed_w32_c16_l2,factory_granularity,F2_L2_stag,1.0,32,2,739,440,440,440,440,1.6795,1.0
mixed_w32_c16_l2,factory_granularity,F2_L2_sync,1.0,32,2,738,439,439,439,439,1.6811,1.0
mixed_w32_c16_l2,factory_granularity,F40_L40_stag,1.0,32,40,777,478,478,478,478,1.6255,1.0
mixed_w32_c16_l2,factory_granularity,F40_L40_sync,1.0,32,40,922,576,576,590,576,1.6007,1.0243
mixed_w32_c16_l2,factory_granularity,F5_L5_stag,1.0,32,5,742,443,443,443,443,1.6749,1.0
mixed_w32_c16_l2,factory_granularity,F5_L5_sync,1.0,32,5,742,441,441,441,441,1.6825,1.0
mixed_w32_c16_l2,buffer,buffer1,1.0,1,10,761,457,455,457,455,1.6725,1.0044
mixed_w32_c16_l2,buffer,buffer128,1.0,128,10,747,448,448,448,448,1.6674,1.0
mixed_w32_c16_l2,buffer,buffer16,1.0,16,10,747,448,448,448,448,1.6674,1.0
mixed_w32_c16_l2,buffer,buffer2,1.0,2,10,758,454,453,454,453,1.6733,1.0022
