program,kernel,regime,rate,policy,makespan,ancillas,data_qubits,space_time_volume,volume_ratio_vs_t_depth,time_ratio_vs_t_depth
grover_c16_i2,grover,rate0.1,0.1,min_t_depth,2482,80,32,277984,1.0,1.0
grover_c16_i2,grover,rate0.1,0.1,min_t_count,1842,48,32,147360,0.5301,0.7421
grover_c16_i2,grover,rate0.1,0.1,share_aware_greedy,1842,32,32,117888,0.4241,0.7421
grover_c16_i2,grover,rate0.1,0.1,resource_aware,1842,48,32,147360,0.5301,0.7421
grover_c16_i2,grover,rate0.2,0.2,min_t_depth,1247,80,32,139664,1.0,1.0
grover_c16_i2,grover,rate0.2,0.2,min_t_count,927,48,32,74160,0.531,0.7434
grover_c16_i2,grover,rate0.2,0.2,share_aware_greedy,927,32,32,59328,0.4248,0.7434
grover_c16_i2,grover,rate0.2,0.2,resource_aware,927,48,32,74160,0.531,0.7434
grover_c16_i2,grover,rate0.5,0.5,min_t_depth,506,80,32,56672,1.0,1.0
grover_c16_i2,grover,rate0.5,0.5,min_t_count,383,48,32,30640,0.5407,0.7569
grover_c16_i2,grover,rate0.5,0.5,share_aware_greedy,383,32,32,24512,0.4325,0.7569
grover_c16_i2,grover,rate0.5,0.5,resource_aware,383,40,32,27576,0.4866,0.7569
grover_c16_i2,grover,rate1,1.0,min_t_depth,259,80,32,29008,1.0,1.0
grover_c16_i2,grover,rate1,1.0,min_t_count,248,48,32,19840,0.6839,0.9575
grover_c16_i2,grover,rate1,1.0,share_aware_greedy,218,52,32,18312,0.6313,0.8417
grover_c16_i2,grover,rate1,1.0,resource_aware,225,52,32,18900,0.6515,0.8687
grover_c16_i2,grover,rate2,2.0,min_t_depth,135,80,32,15120,1.0,1.0
grover_c16_i2,grover,rate2,2.0,min_t_count,212,48,32,16960,1.1217,1.5704
grover_c16_i2,grover,rate2,2.0,share_aware_greedy,132,56,32,11616,0.7683,0.9778
grover_c16_i2,grover,rate2,2.0,resource_aware,125,60,32,11500,0.7606,0.9259
