program,regime,nominal_rate,p_accept,seed,makespan_min_t_depth,makespan_min_t_count,makespan_share_aware,makespan_resource_aware,regret_min_t_depth,regret_resource_aware,reference
grover_c16_i2,rate0.5,0.5,1.0,0,506,383,383,383,1.3211,1.0,383
grover_c16_i2,rate0.5,0.5,0.8,0,610,454,454,454,1.3436,1.0,454
grover_c16_i2,rate0.5,0.5,0.8,1,594,448,448,448,1.3259,1.0,448
grover_c16_i2,rate0.5,0.5,0.8,2,612,462,462,462,1.3247,1.0,462
grover_c16_i2,rate0.5,0.5,0.6,0,856,646,646,646,1.3251,1.0,646
grover_c16_i2,rate0.5,0.5,0.6,1,870,658,658,658,1.3222,1.0,658
grover_c16_i2,rate0.5,0.5,0.6,2,838,624,624,624,1.3429,1.0,624
grover_c16_i2,rate1,1.0,1.0,0,259,248,218,225,1.1881,1.0321,218
grover_c16_i2,rate1,1.0,0.8,0,313,268,252,244,1.2828,1.0,244
grover_c16_i2,rate1,1.0,0.8,1,314,272,259,248,1.2661,1.0,248
grover_c16_i2,rate1,1.0,0.8,2,320,279,265,255,1.2549,1.0,255
grover_c16_i2,rate1,1.0,0.6,0,421,345,352,333,1.2643,1.0,333
grover_c16_i2,rate1,1.0,0.6,1,422,325,339,322,1.3106,1.0,322
grover_c16_i2,rate1,1.0,0.6,2,412,321,337,321,1.2835,1.0,321
grover_c16_i2,rate2,2.0,1.0,0,135,212,132,125,1.08,1.0,125
grover_c16_i2,rate2,2.0,0.8,0,169,224,156,162,1.0833,1.0385,156
grover_c16_i2,rate2,2.0,0.8,1,167,223,153,160,1.0915,1.0458,153
grover_c16_i2,rate2,2.0,0.8,2,164,218,146,157,1.1233,1.0753,146
grover_c16_i2,rate2,2.0,0.6,0,215,235,190,207,1.1316,1.0895,190
grover_c16_i2,rate2,2.0,0.6,1,219,231,193,199,1.1347,1.0311,193
grover_c16_i2,rate2,2.0,0.6,2,218,235,196,209,1.1122,1.0663,196
grover_c16_i2,rate4,4.0,1.0,0,94,202,102,94,1.0,1.0,94
grover_c16_i2,rate4,4.0,0.8,0,103,205,105,103,1.0,1.0,103
grover_c16_i2,rate4,4.0,0.8,1,101,204,104,101,1.0,1.0,101
grover_c16_i2,rate4,4.0,0.8,2,104,206,106,104,1.0,1.0,104
grover_c16_i2,rate4,4.0,0.6,0,112,208,109,109,1.0275,1.0,109
