program,regime,rate,max_parallel_ops,makespan_min_t_depth,makespan_share_aware,makespan_resource_aware,regret_min_t_depth,regret_resource_aware,reference
grover_c16_i2,rate0.5,0.5,4,506,383,383,1.3211,1.0,383
grover_c16_i2,rate0.5,0.5,8,506,383,383,1.3211,1.0,383
grover_c16_i2,rate0.5,0.5,16,506,383,383,1.3211,1.0,383
grover_c16_i2,rate0.5,0.5,32,506,383,383,1.3211,1.0,383
grover_c16_i2,rate0.5,0.5,none,506,383,383,1.3211,1.0,383
grover_c16_i2,rate1,1.0,4,259,218,226,1.1881,1.0367,218
grover_c16_i2,rate1,1.0,8,259,218,225,1.1881,1.0321,218
grover_c16_i2,rate1,1.0,16,259,218,225,1.1881,1.0321,218
grover_c16_i2,rate1,1.0,32,259,218,225,1.1881,1.0321,218
grover_c16_i2,rate1,1.0,none,259,218,225,1.1881,1.0321,218
grover_c16_i2,rate2,2.0,4,138,146,143,1.0,1.0362,138
grover_c16_i2,rate2,2.0,8,135,135,125,1.08,1.0,125
grover_c16_i2,rate2,2.0,16,135,132,125,1.08,1.0,125
grover_c16_i2,rate2,2.0,32,135,132,125,1.08,1.0,125
grover_c16_i2,rate2,2.0,none,135,132,125,1.08,1.0,125
grover_c16_i2,rate4,4.0,4,134,136,134,1.0,1.0,134
grover_c16_i2,rate4,4.0,8,101,105,101,1.0,1.0,101
grover_c16_i2,rate4,4.0,16,94,102,94,1.0,1.0,94
grover_c16_i2,rate4,4.0,32,94,102,94,1.0,1.0,94
grover_c16_i2,rate4,4.0,none,94,102,94,1.0,1.0,94
mixed_w32_c16_l2,rate0.5,0.5,4,1482,874,874,1.6957,1.0,874
mixed_w32_c16_l2,rate0.5,0.5,8,1482,874,874,1.6957,1.0,874
mixed_w32_c16_l2,rate0.5,0.5,16,1482,874,874,1.6957,1.0,874
mixed_w32_c16_l2,rate0.5,0.5,32,1482,874,874,1.6957,1.0,874
mixed_w32_c16_l2,rate0.5,0.5,none,1482,874,874,1.6957,1.0,874
mixed_w32_c16_l2,rate1,1.0,4,747,448,448,1.6674,1.0,448
mixed_w32_c16_l2,rate1,1.0,8,747,448,448,1.6674,1.0,448
mixed_w32_c16_l2,rate1,1.0,16,747,448,448,1.6674,1.0,448
mixed_w32_c16_l2,rate1,1.0,32,747,448,448,1.6674,1.0,448
mixed_w32_c16_l2,rate1,1.0,none,747,448,448,1.6674,1.0,448
mixed_w32_c16_l2,rate2,2.0,4,379,272,272,1.3934,1.0,272
mixed_w32_c16_l2,rate2,2.0,8,379,265,265,1.4302,1.0,265
mixed_w32_c16_l2,rate2,2.0,16,379,264,264,1.4356,1.0,264
mixed_w32_c16_l2,rate2,2.0,32,379,264,264,1.4356,1.0,264
mixed_w32_c16_l2,rate2,2.0,none,379,264,264,1.4356,1.0,264
mixed_w32_c16_l2,rate4,4.0,4,322,327,320,1.0915,1.0847,295
mixed_w32_c16_l2,rate4,4.0,8,204,202,200,1.02,1.0,200
mixed_w32_c16_l2,rate4,4.0,16,200,198,196,1.0204,1.0,196
mixed_w32_c16_l2,rate4,4.0,32,200,198,196,1.0204,1.0,196
mixed_w32_c16_l2,rate4,4.0,none,200,198,196,1.0204,1.0,196
qft_q5_t32,rate0.5,0.5,4,1290,654,654,1.9725,1.0,654
qft_q5_t32,rate0.5,0.5,8,1290,654,654,1.9725,1.0,654
qft_q5_t32,rate0.5,0.5,16,1290,654,654,1.9725,1.0,654
qft_q5_t32,rate0.5,0.5,32,1290,654,654,1.9725,1.0,654
qft_q5_t32,rate0.5,0.5,none,1290,654,654,1.9725,1.0,654
qft_q5_t32,rate1,1.0,4,651,347,347,1.8761,1.0,347
qft_q5_t32,rate1,1.0,8,651,347,347,1.8761,1.0,347
qft_q5_t32,rate1,1.0,16,651,347,347,1.8761,1.0,347
qft_q5_t32,rate1,1.0,32,651,347,347,1.8761,1.0,347
qft_q5_t32,rate1,1.0,none,651,347,347,1.8761,1.0,347
qft_q5_t32,rate2,2.0,4,331,207,209,1.599,1.0097,207
qft_q5_t32,rate2,2.0,8,331,207,209,1.599,1.0097,207
qft_q5_t32,rate2,2.0,16,331,207,209,1.599,1.0097,207
qft_q5_t32,rate2,2.0,32,331,207,209,1.599,1.0097,207
qft_q5_t32,rate2,2.0,none,331,207,209,1.599,1.0097,207
qft_q5_t32,rate4,4.0,4,198,187,183,1.082,1.0,183
qft_q5_t32,rate4,4.0,8,171,133,137,1.2857,1.0301,133
qft_q5_t32,rate4,4.0,16,171,133,137,1.2857,1.0301,133
qft_q5_t32,rate4,4.0,32,171,133,137,1.2857,1.0301,133
qft_q5_t32,rate4,4.0,none,171,133,137,1.2857,1.0301,133
reduction_tree_mult_w32_r8,rate0.5,0.5,4,3427,1747,1747,1.9616,1.0,1747
reduction_tree_mult_w32_r8,rate0.5,0.5,8,3427,1747,1747,1.9616,1.0,1747
reduction_tree_mult_w32_r8,rate0.5,0.5,16,3427,1747,1747,1.9616,1.0,1747
reduction_tree_mult_w32_r8,rate0.5,0.5,32,3427,1747,1747,1.9616,1.0,1747
reduction_tree_mult_w32_r8,rate0.5,0.5,none,3427,1747,1747,1.9616,1.0,1747
reduction_tree_mult_w32_r8,rate1,1.0,4,1720,915,915,1.8798,1.0,915
reduction_tree_mult_w32_r8,rate1,1.0,8,1720,915,915,1.8798,1.0,915
reduction_tree_mult_w32_r8,rate1,1.0,16,1720,915,915,1.8798,1.0,915
reduction_tree_mult_w32_r8,rate1,1.0,32,1720,915,915,1.8798,1.0,915
reduction_tree_mult_w32_r8,rate1,1.0,none,1720,915,915,1.8798,1.0,915
reduction_tree_mult_w32_r8,rate2,2.0,4,866,532,535,1.6278,1.0056,532
reduction_tree_mult_w32_r8,rate2,2.0,8,866,532,533,1.6278,1.0019,532
reduction_tree_mult_w32_r8,rate2,2.0,16,866,532,532,1.6278,1.0,532
reduction_tree_mult_w32_r8,rate2,2.0,32,866,532,532,1.6278,1.0,532
reduction_tree_mult_w32_r8,rate2,2.0,none,866,532,532,1.6278,1.0,532
reduction_tree_mult_w32_r8,rate4,4.0,4,772,561,564,1.4113,1.0311,547
reduction_tree_mult_w32_r8,rate4,4.0,8,441,348,353,1.2672,1.0144,348
reduction_tree_mult_w32_r8,rate4,4.0,16,439,348,350,1.2615,1.0057,348
reduction_tree_mult_w32_r8,rate4,4.0,32,439,348,348,1.2615,1.0,348
reduction_tree_mult_w32_r8,rate4,4.0,none,439,348,348,1.2615,1.0,348
toffoli_ladder_n3_l2,rate0.5,0.5,4,95,59,59,1.6102,1.0,59
toffoli_ladder_n3_l2,rate0.5,0.5,8,95,59,59,1.6102,1.0,59
toffoli_ladder_n3_l2,rate0.5,0.5,16,95,59,59,1.6102,1.0,59
toffoli_ladder_n3_l2,rate0.5,0.5,32,95,59,59,1.6102,1.0,59
toffoli_ladder_n3_l2,rate0.5,0.5,none,95,59,59,1.6102,1.0,59
toffoli_ladder_n3_l2,rate1,1.0,4,54,38,38,1.4211,1.0,38
toffoli_ladder_n3_l2,rate1,1.0,8,54,38,38,1.4211,1.0,38
toffoli_ladder_n3_l2,rate1,1.0,16,54,38,38,1.4211,1.0,38
toffoli_ladder_n3_l2,rate1,1.0,32,54,38,38,1.4211,1.0,38
