program,lanes,stages,t_rate,ccz_rate,makespan_all_t4,makespan_all_ccz1,makespan_min_states,makespan_best_uniform,makespan_balanced_two_term,optimum,exhaustive,regret_best_uniform,regret_balanced_two_term,headroom_beyond_uniform_pct,optimum_heterogeneous
and_bank_l2_s2,2,2,0.5,0.5,43,22,22,22,22,22,1,1.0,1.0,0.0,0
and_bank_l2_s2,2,2,0.5,2.0,43,20,20,20,20,20,1,1.0,1.0,0.0,0
and_bank_l2_s2,2,2,1.0,0.25,29,23,23,23,27,23,1,1.0,1.1739,0.0,1
and_bank_l2_s2,2,2,1.0,0.5,29,22,22,22,23,22,1,1.0,1.0455,0.0,0
and_bank_l2_s2,2,2,1.0,1.0,29,21,21,21,21,21,1,1.0,1.0,0.0,0
and_bank_l2_s2,2,2,2.0,0.5,25,22,22,22,22,22,1,1.0,1.0,0.0,1
and_bank_l2_s2,2,2,3.0,0.75,25,21,21,21,22,21,1,1.0,1.0476,0.0,0
and_bank_l2_s2,2,2,4.0,1.0,24,21,21,21,21,21,1,1.0,1.0,0.0,0
and_bank_l3_s2,3,2,0.5,0.5,59,24,24,24,26,24,1,1.0,1.0833,0.0,0
and_bank_l3_s2,3,2,0.5,2.0,59,21,21,21,21,21,1,1.0,1.0,0.0,0
and_bank_l3_s2,3,2,1.0,0.25,36,29,29,29,31,23,1,1.2609,1.3478,20.69,1
and_bank_l3_s2,3,2,1.0,0.5,36,24,24,24,27,23,1,1.0435,1.1739,4.17,1
and_bank_l3_s2,3,2,1.0,1.0,36,22,22,22,22,22,1,1.0,1.0,0.0,0
and_bank_l3_s2,3,2,2.0,0.5,28,24,24,24,26,22,1,1.0909,1.1818,8.33,1
and_bank_l3_s2,3,2,3.0,0.75,25,22,22,22,22,22,1,1.0,1.0,0.0,1
and_bank_l3_s2,3,2,4.0,1.0,25,22,22,22,23,21,1,1.0476,1.0952,4.55,1
and_bank_l3_s3,3,3,0.5,0.5,83,31,31,31,33,31,0,1.0,1.0645,0.0,0
and_bank_l3_s3,3,3,0.5,2.0,83,28,28,28,28,28,0,1.0,1.0,0.0,0
and_bank_l3_s3,3,3,1.0,0.25,48,39,39,39,40,30,0,1.3,1.3333,23.08,1
and_bank_l3_s3,3,3,1.0,0.5,48,31,31,31,38,30,0,1.0333,1.2667,3.23,1
and_bank_l3_s3,3,3,1.0,1.0,48,29,29,29,29,29,0,1.0,1.0,0.0,0
and_bank_l3_s3,3,3,2.0,0.5,37,31,31,31,31,29,0,1.069,1.069,6.45,1
and_bank_l3_s3,3,3,3.0,0.75,34,29,29,29,29,29,0,1.0,1.0,0.0,1
and_bank_l3_s3,3,3,4.0,1.0,34,29,29,29,29,28,0,1.0357,1.0357,3.45,1
and_bank_l4_s1,4,1,0.5,0.5,43,19,19,19,19,19,1,1.0,1.0,0.0,1
and_bank_l4_s1,4,1,0.5,2.0,43,14,14,14,14,14,1,1.0,1.0,0.0,0
and_bank_l4_s1,4,1,1.0,0.25,28,23,23,23,20,19,1,1.2105,1.0526,17.39,1
and_bank_l4_s1,4,1,1.0,0.5,28,19,19,19,17,17,1,1.1176,1.0,10.53,1
and_bank_l4_s1,4,1,1.0,1.0,28,16,16,16,16,16,1,1.0,1.0,0.0,1
and_bank_l4_s1,4,1,2.0,0.5,20,19,19,19,16,16,1,1.1875,1.0,15.79,1
and_bank_l4_s1,4,1,3.0,0.75,19,16,16,16,16,15,1,1.0667,1.0667,6.25,1
and_bank_l4_s1,4,1,4.0,1.0,16,16,16,16,15,15,1,1.0667,1.0,6.25,1
