program,nodes,t_count,regime,rate,makespan,cost_model_ms,simulation_ms,simulation_over_cost_model
schoolbook_mult_w16_r3,327,180,rate0.1,0.1,1803,3.661,1.602,0.438
schoolbook_mult_w16_r3,327,180,rate0.2,0.2,908,3.486,1.394,0.4
schoolbook_mult_w16_r3,327,180,rate0.5,0.5,371,3.397,1.251,0.368
schoolbook_mult_w16_r3,327,180,rate1,1.0,244,3.366,1.134,0.337
schoolbook_mult_w16_r3,327,180,rate2,2.0,243,3.424,1.141,0.333
schoolbook_mult_w16_r3,327,180,rate4,4.0,243,3.477,1.306,0.376
schoolbook_mult_w16_r3,327,180,rate8,8.0,243,3.41,1.212,0.356
modexp_w16_s2,436,240,rate0.1,0.1,2403,4.168,2.174,0.522
modexp_w16_s2,436,240,rate0.2,0.2,1208,4.257,2.292,0.538
modexp_w16_s2,436,240,rate0.5,0.5,491,4.234,1.62,0.383
modexp_w16_s2,436,240,rate1,1.0,323,4.202,1.542,0.367
modexp_w16_s2,436,240,rate2,2.0,322,4.127,1.624,0.394
modexp_w16_s2,436,240,rate4,4.0,322,4.159,1.55,0.373
modexp_w16_s2,436,240,rate8,8.0,322,4.295,1.532,0.357
reduction_tree_mult_w16_r4,325,180,rate0.1,0.1,1803,3.516,1.619,0.46
reduction_tree_mult_w16_r4,325,180,rate0.2,0.2,908,3.419,1.411,0.413
reduction_tree_mult_w16_r4,325,180,rate0.5,0.5,371,3.348,1.232,0.368
reduction_tree_mult_w16_r4,325,180,rate1,1.0,211,3.309,1.17,0.354
reduction_tree_mult_w16_r4,325,180,rate2,2.0,165,3.346,1.134,0.339
reduction_tree_mult_w16_r4,325,180,rate4,4.0,164,3.62,1.143,0.316
reduction_tree_mult_w16_r4,325,180,rate8,8.0,164,3.301,1.153,0.349
reduction_tree_mult_w16_r8,755,420,rate0.1,0.1,4203,6.11,3.902,0.639
reduction_tree_mult_w16_r8,755,420,rate0.2,0.2,2108,5.976,3.27,0.547
reduction_tree_mult_w16_r8,755,420,rate0.5,0.5,851,5.945,2.87,0.483
reduction_tree_mult_w16_r8,755,420,rate1,1.0,451,5.92,2.712,0.458
reduction_tree_mult_w16_r8,755,420,rate2,2.0,290,5.889,2.639,0.448
reduction_tree_mult_w16_r8,755,420,rate4,4.0,244,5.903,2.611,0.442
reduction_tree_mult_w16_r8,755,420,rate8,8.0,243,6.104,2.643,0.433
schoolbook_mult_w32_r3,663,372,rate0.1,0.1,3723,5.762,3.272,0.568
schoolbook_mult_w32_r3,663,372,rate0.2,0.2,1868,5.696,2.741,0.481
schoolbook_mult_w32_r3,663,372,rate0.5,0.5,755,5.598,2.432,0.434
schoolbook_mult_w32_r3,663,372,rate1,1.0,484,5.601,2.316,0.414
schoolbook_mult_w32_r3,663,372,rate2,2.0,483,5.672,2.332,0.411
schoolbook_mult_w32_r3,663,372,rate4,4.0,483,5.589,2.322,0.415
schoolbook_mult_w32_r3,663,372,rate8,8.0,483,5.61,2.337,0.417
modexp_w32_s2,884,496,rate0.1,0.1,4963,7.161,4.536,0.633
modexp_w32_s2,884,496,rate0.2,0.2,2488,7.105,3.69,0.519
modexp_w32_s2,884,496,rate0.5,0.5,1003,6.969,3.283,0.471
modexp_w32_s2,884,496,rate1,1.0,643,7.033,3.109,0.442
modexp_w32_s2,884,496,rate2,2.0,642,7.143,3.194,0.447
modexp_w32_s2,884,496,rate4,4.0,642,6.981,3.131,0.449
modexp_w32_s2,884,496,rate8,8.0,642,7.02,3.17,0.452
reduction_tree_mult_w32_r4,661,372,rate0.1,0.1,3723,5.563,3.359,0.604
reduction_tree_mult_w32_r4,661,372,rate0.2,0.2,1868,5.555,2.844,0.512
reduction_tree_mult_w32_r4,661,372,rate0.5,0.5,755,5.565,2.524,0.454
reduction_tree_mult_w32_r4,661,372,rate1,1.0,419,5.677,2.388,0.421
reduction_tree_mult_w32_r4,661,372,rate2,2.0,325,5.622,2.273,0.404
reduction_tree_mult_w32_r4,661,372,rate4,4.0,324,5.483,2.31,0.421
reduction_tree_mult_w32_r4,661,372,rate8,8.0,324,5.458,2.314,0.424
reduction_tree_mult_w32_r8,1539,868,rate0.1,0.1,8683,10.844,8.184,0.755
reduction_tree_mult_w32_r8,1539,868,rate0.2,0.2,4348,11.4,6.892,0.605
reduction_tree_mult_w32_r8,1539,868,rate0.5,0.5,1747,11.057,7.007,0.634
reduction_tree_mult_w32_r8,1539,868,rate1,1.0,915,10.817,6.044,0.559
reduction_tree_mult_w32_r8,1539,868,rate2,2.0,578,10.921,5.545,0.508
reduction_tree_mult_w32_r8,1539,868,rate4,4.0,484,10.799,5.577,0.516
reduction_tree_mult_w32_r8,1539,868,rate8,8.0,483,10.788,5.449,0.505
schoolbook_mult_w64_r3,1335,756,rate0.1,0.1,7563,9.915,6.845,0.69
schoolbook_mult_w64_r3,1335,756,rate0.2,0.2,3788,10.356,6.657,0.643
schoolbook_mult_w64_r3,1335,756,rate0.5,0.5,1523,10.395,5.023,0.483
schoolbook_mult_w64_r3,1335,756,rate1,1.0,964,9.845,4.858,0.493
schoolbook_mult_w64_r3,1335,756,rate2,2.0,963,10.062,4.859,0.483
schoolbook_mult_w64_r3,1335,756,rate4,4.0,963,10.199,4.856,0.476
schoolbook_mult_w64_r3,1335,756,rate8,8.0,963,9.872,5.264,0.533
modexp_w64_s2,1780,1008,rate0.1,0.1,10083,12.777,9.169,0.718
modexp_w64_s2,1780,1008,rate0.2,0.2,5048,12.456,8.571,0.688
modexp_w64_s2,1780,1008,rate0.5,0.5,2027,12.642,6.653,0.526
modexp_w64_s2,1780,1008,rate1,1.0,1283,12.706,6.552,0.516
modexp_w64_s2,1780,1008,rate2,2.0,1282,12.679,6.444,0.508
modexp_w64_s2,1780,1008,rate4,4.0,1282,12.46,6.429,0.516
modexp_w64_s2,1780,1008,rate8,8.0,1282,13.036,6.577,0.505
reduction_tree_mult_w64_r4,1333,756,rate0.1,0.1,7563,10.115,7.316,0.723
reduction_tree_mult_w64_r4,1333,756,rate0.2,0.2,3788,9.838,6.24,0.634
reduction_tree_mult_w64_r4,1333,756,rate0.5,0.5,1523,10.439,5.243,0.502
reduction_tree_mult_w64_r4,1333,756,rate1,1.0,835,10.127,5.104,0.504
reduction_tree_mult_w64_r4,1333,756,rate2,2.0,645,9.83,4.728,0.481
reduction_tree_mult_w64_r4,1333,756,rate4,4.0,644,9.848,5.034,0.511
reduction_tree_mult_w64_r4,1333,756,rate8,8.0,644,10.157,4.728,0.466
reduction_tree_mult_w64_r8,3107,1764,rate0.1,0.1,17643,21.571,21.226,0.984
reduction_tree_mult_w64_r8,3107,1764,rate0.2,0.2,8828,21.277,15.088,0.709
reduction_tree_mult_w64_r8,3107,1764,rate0.5,0.5,3539,21.227,12.475,0.588
reduction_tree_mult_w64_r8,3107,1764,rate1,1.0,1843,20.719,12.288,0.593
reduction_tree_mult_w64_r8,3107,1764,rate2,2.0,1154,20.496,11.412,0.557
reduction_tree_mult_w64_r8,3107,1764,rate4,4.0,964,20.552,12.719,0.619
reduction_tree_mult_w64_r8,3107,1764,rate8,8.0,963,20.963,11.435,0.545
grover_c8_i2,242,120,rate0.1,0.1,1202,2.835,1.139,0.402
grover_c8_i2,242,120,rate0.2,0.2,607,2.762,1.006,0.364
grover_c8_i2,242,120,rate0.5,0.5,255,2.883,0.85,0.295
grover_c8_i2,242,120,rate1,1.0,221,2.642,0.799,0.302
grover_c8_i2,242,120,rate2,2.0,220,2.6,0.83,0.319
grover_c8_i2,242,120,rate4,4.0,220,2.574,0.806,0.313
grover_c8_i2,242,120,rate8,8.0,220,2.578,0.813,0.316
oracle_bank_c8_l4,206,112,rate0.1,0.1,1123,1.199,1.062,0.886
oracle_bank_c8_l4,206,112,rate0.2,0.2,568,1.144,0.887,0.776
oracle_bank_c8_l4,206,112,rate0.5,0.5,235,1.152,0.755,0.656
oracle_bank_c8_l4,206,112,rate1,1.0,124,1.169,0.747,0.639
oracle_bank_c8_l4,206,112,rate2,2.0,68,1.157,0.7,0.605
oracle_bank_c8_l4,206,112,rate4,4.0,46,1.144,0.772,0.675
oracle_bank_c8_l4,206,112,rate8,8.0,45,1.153,0.933,0.81
grover_c16_i2,354,184,rate0.1,0.1,1842,3.487,1.646,0.472
grover_c16_i2,354,184,rate0.2,0.2,927,3.504,1.493,0.426
grover_c16_i2,354,184,rate0.5,0.5,383,3.441,1.243,0.361
grover_c16_i2,354,184,rate1,1.0,301,3.403,1.34,0.394
grover_c16_i2,354,184,rate2,2.0,300,3.435,1.178,0.343
grover_c16_i2,354,184,rate4,4.0,300,3.419,1.263,0.369
grover_c16_i2,354,184,rate8,8.0,300,3.372,1.184,0.351
oracle_bank_c16_l4,430,240,rate0.1,0.1,2403,2.968,2.27,0.765
oracle_bank_c16_l4,430,240,rate0.2,0.2,1208,3.256,1.948,0.598
oracle_bank_c16_l4,430,240,rate0.5,0.5,491,3.007,1.778,0.591
oracle_bank_c16_l4,430,240,rate1,1.0,252,3.068,1.565,0.51
oracle_bank_c16_l4,430,240,rate2,2.0,132,3.035,1.499,0.494
oracle_bank_c16_l4,430,240,rate4,4.0,86,2.965,1.441,0.486
oracle_bank_c16_l4,430,240,rate8,8.0,85,2.931,1.487,0.507
grover_c32_i2,578,312,rate0.1,0.1,3122,5.17,2.827,0.547
grover_c32_i2,578,312,rate0.2,0.2,1567,5.357,2.653,0.495
grover_c32_i2,578,312,rate0.5,0.5,639,5.036,2.169,0.431
grover_c32_i2,578,312,rate1,1.0,461,4.951,2.06,0.416
grover_c32_i2,578,312,rate2,2.0,460,5.045,2.054,0.407
grover_c32_i2,578,312,rate4,4.0,460,5.043,2.038,0.404
grover_c32_i2,578,312,rate8,8.0,460,4.863,2.106,0.433
oracle_bank_c32_l4,878,496,rate0.1,0.1,4963,8.053,4.759,0.591
oracle_bank_c32_l4,878,496,rate0.2,0.2,2488,7.226,3.938,0.545
oracle_bank_c32_l4,878,496,rate0.5,0.5,1003,7.134,3.417,0.479
oracle_bank_c32_l4,878,496,rate1,1.0,508,7.185,3.502,0.487
oracle_bank_c32_l4,878,496,rate2,2.0,260,7.17,3.24,0.452
oracle_bank_c32_l4,878,496,rate4,4.0,166,7.12,3.166,0.445
oracle_bank_c32_l4,878,496,rate8,8.0,165,7.135,3.122,0.438
qft_q5_t32,668,320,rate0.1,0.1,3202,5.217,3.198,0.613
qft_q5_t32,668,320,rate0.2,0.2,1607,5.439,2.637,0.485
qft_q5_t32,668,320,rate0.5,0.5,654,5.209,2.324,0.446
qft_q5_t32,668,320,rate1,1.0,371,5.869,2.281,0.389
qft_q5_t32,668,320,rate2,2.0,279,5.154,2.209,0.429
qft_q5_t32,668,320,rate4,4.0,278,5.064,2.279,0.45
qft_q5_t32,668,320,rate8,8.0,278,5.522,2.207,0.4
qft_q6_t32,1000,480,rate0.1,0.1,4802,7.302,4.857,0.665
qft_q6_t32,1000,480,rate0.2,0.2,2407,7.314,4.209,0.575
qft_q6_t32,1000,480,rate0.5,0.5,974,7.664,3.569,0.466
qft_q6_t32,1000,480,rate1,1.0,531,7.125,3.608,0.506
qft_q6_t32,1000,480,rate2,2.0,363,7.112,3.361,0.473
qft_q6_t32,1000,480,rate4,4.0,347,7.216,3.435,0.476
qft_q6_t32,1000,480,rate8,8.0,346,7.165,3.374,0.471
trotter_t2_l2_b32,268,128,rate0.1,0.1,1282,3.282,1.306,0.398
trotter_t2_l2_b32,268,128,rate0.2,0.2,647,2.933,1.046,0.357
trotter_t2_l2_b32,268,128,rate0.5,0.5,266,2.94,0.954,0.325
trotter_t2_l2_b32,268,128,rate1,1.0,143,2.848,0.939,0.33
trotter_t2_l2_b32,268,128,rate2,2.0,142,2.835,0.898,0.317
trotter_t2_l2_b32,268,128,rate4,4.0,142,2.945,0.893,0.303
trotter_t2_l2_b32,268,128,rate8,8.0,142,2.86,0.891,0.312
trotter_t4_l2_b32,532,256,rate0.1,0.1,2562,4.635,2.542,0.548
trotter_t4_l2_b32,532,256,rate0.2,0.2,1287,4.877,2.084,0.427
trotter_t4_l2_b32,532,256,rate0.5,0.5,522,4.479,1.888,0.422
trotter_t4_l2_b32,532,256,rate1,1.0,267,4.417,1.808,0.409
trotter_t4_l2_b32,532,256,rate2,2.0,143,4.363,1.706,0.391
trotter_t4_l2_b32,532,256,rate4,4.0,142,4.455,1.688,0.379
trotter_t4_l2_b32,532,256,rate8,8.0,142,4.359,1.699,0.39
trotter_t8_l2_b32,1060,512,rate0.1,0.1,5122,8.634,5.251,0.608
trotter_t8_l2_b32,1060,512,rate0.2,0.2,2567,7.849,4.491,0.572
trotter_t8_l2_b32,1060,512,rate0.5,0.5,1034,7.901,3.895,0.493
trotter_t8_l2_b32,1060,512,rate1,1.0,523,8.343,3.731,0.447
trotter_t8_l2_b32,1060,512,rate2,2.0,267,7.819,3.704,0.474
trotter_t8_l2_b32,1060,512,rate4,4.0,143,7.869,3.765,0.479
trotter_t8_l2_b32,1060,512,rate8,8.0,142,8.009,3.742,0.467
mixed_w32_c16_l1,398,216,rate0.1,0.1,2162,4.477,1.908,0.426
mixed_w32_c16_l1,398,216,rate0.2,0.2,1087,3.847,1.688,0.439
mixed_w32_c16_l1,398,216,rate0.5,0.5,447,4.209,1.401,0.333
mixed_w32_c16_l1,398,216,rate1,1.0,313,3.797,1.547,0.407
mixed_w32_c16_l1,398,216,rate2,2.0,312,3.727,1.356,0.364
mixed_w32_c16_l1,398,216,rate4,4.0,312,3.725,1.378,0.37
mixed_w32_c16_l1,398,216,rate8,8.0,312,3.745,1.376,0.367
mixed_w32_c16_l2,790,432,rate0.1,0.1,4322,6.351,3.953,0.622
mixed_w32_c16_l2,790,432,rate0.2,0.2,2167,6.26,3.345,0.534
mixed_w32_c16_l2,790,432,rate0.5,0.5,874,6.5,3.012,0.463
mixed_w32_c16_l2,790,432,rate1,1.0,448,6.374,2.853,0.448
mixed_w32_c16_l2,790,432,rate2,2.0,313,6.6,2.792,0.423
