probe,workload,setting,conventional,commuting,commuting_pace4,improvement
buffer,qt_qft6,16,643,200,385,0.689
buffer,qt_qft6,32,643,200,385,0.689
buffer,qt_qft6,64,643,200,385,0.689
buffer,qt_aliassamp16,16,347,234,241,0.3256
buffer,qt_aliassamp16,32,347,225,241,0.3516
buffer,qt_aliassamp16,64,347,224,241,0.3545
buffer,qb_multiplier_n15,16,115,115,115,0.0
buffer,qb_multiplier_n15,32,115,115,115,0.0
buffer,qb_multiplier_n15,64,115,115,115,0.0
buffer,qmpa_div6,16,155,147,147,0.0516
buffer,qmpa_div6,32,155,147,147,0.0516
buffer,qmpa_div6,64,155,147,147,0.0516
buffer,qt_multiand10,16,71,71,71,0.0
buffer,qt_multiand10,32,71,71,71,0.0
buffer,qt_multiand10,64,71,71,71,0.0
clifford_weight,qt_qft6,1,643,200,385,0.689
clifford_weight,qt_qft6,0,286,196,196,0.3147
clifford_weight,qt_aliassamp16,1,347,225,241,0.3516
clifford_weight,qt_aliassamp16,0,105,105,105,0.0
clifford_weight,qb_multiplier_n15,1,115,115,115,0.0
clifford_weight,qb_multiplier_n15,0,54,54,54,0.0
clifford_weight,qmpa_div6,1,155,147,147,0.0516
clifford_weight,qmpa_div6,0,54,54,54,0.0
clifford_weight,qt_multiand10,1,71,71,71,0.0
clifford_weight,qt_multiand10,0,32,32,32,0.0
