workload,source,family,role,assignment,transformation,machine,model,tiles,ccz_share,regime,makespan,depth,t_count,ccz_count,teq_demand,t_stalls,ccz_stalls,total_stalls,t_waste,ccz_waste,peak_stage_demand,mean_stage_demand,burstiness,stages,parallelism,space_time,factory_tiles,utilisation,baseline_makespan,improvement,baseline_depth,depth_reduction,supply_bound
qb_sat_n11,qasmbench,oracle,control,ccz,commuting,A_200_0.5,A,200,0.5,constrained,144,133,0,22,44.0,0,15,15,79,0,4.0,2.1,0.2033,21,0.684,24624,171,0.2654,144,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace1,A_200_0.5,A,200,0.5,constrained,144,139,0,22,44.0,0,5,5,79,0,2.0,2.0,0.0,22,0.655,24624,171,0.2654,144,0.0,133,-0.0451,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace2,A_200_0.5,A,200,0.5,constrained,144,134,0,22,44.0,0,10,10,79,0,4.0,2.1,0.2033,21,0.679,24624,171,0.2654,144,0.0,133,-0.0075,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace4,A_200_0.5,A,200,0.5,constrained,144,133,0,22,44.0,0,15,15,79,0,4.0,2.1,0.2033,21,0.684,24624,171,0.2654,144,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace8,A_200_0.5,A,200,0.5,constrained,144,133,0,22,44.0,0,15,15,79,0,4.0,2.1,0.2033,21,0.684,24624,171,0.2654,144,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional,A_200_0.5,A,200,0.5,constrained,144,133,0,22,44.0,0,15,15,79,0,4.0,2.1,0.2033,21,0.684,24624,171,0.2654,144,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional_pace4,A_200_0.5,A,200,0.5,constrained,144,133,0,22,44.0,0,15,15,79,0,4.0,2.1,0.2033,21,0.684,24624,171,0.2654,144,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting,A_3200_0.5,A,3200,0.5,abundant,135,133,0,22,44.0,0,2,2,1629,427,4.0,2.1,0.2033,21,0.684,429165,3179,0.0159,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace1,A_3200_0.5,A,3200,0.5,abundant,141,139,0,22,44.0,0,2,2,1708,449,2.0,2.0,0.0,22,0.655,448239,3179,0.0152,135,-0.0444,133,-0.0451,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace2,A_3200_0.5,A,3200,0.5,abundant,136,134,0,22,44.0,0,2,2,1643,430,4.0,2.1,0.2033,21,0.679,432344,3179,0.0158,135,-0.0074,133,-0.0075,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace4,A_3200_0.5,A,3200,0.5,abundant,135,133,0,22,44.0,0,2,2,1629,427,4.0,2.1,0.2033,21,0.684,429165,3179,0.0159,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace8,A_3200_0.5,A,3200,0.5,abundant,135,133,0,22,44.0,0,2,2,1629,427,4.0,2.1,0.2033,21,0.684,429165,3179,0.0159,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional,A_3200_0.5,A,3200,0.5,abundant,135,133,0,22,44.0,0,2,2,1629,427,4.0,2.1,0.2033,21,0.684,429165,3179,0.0159,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional_pace4,A_3200_0.5,A,3200,0.5,abundant,135,133,0,22,44.0,0,2,2,1629,427,4.0,2.1,0.2033,21,0.684,429165,3179,0.0159,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting,A_400_0.25,A,400,0.25,constrained,144,133,0,22,44.0,0,15,15,300,0,4.0,2.1,0.2033,21,0.684,53136,369,0.1096,144,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace1,A_400_0.25,A,400,0.25,constrained,144,139,0,22,44.0,0,5,5,300,0,2.0,2.0,0.0,22,0.655,53136,369,0.1096,144,0.0,133,-0.0451,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace2,A_400_0.25,A,400,0.25,constrained,144,134,0,22,44.0,0,10,10,300,0,4.0,2.1,0.2033,21,0.679,53136,369,0.1096,144,0.0,133,-0.0075,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace4,A_400_0.25,A,400,0.25,constrained,144,133,0,22,44.0,0,15,15,300,0,4.0,2.1,0.2033,21,0.684,53136,369,0.1096,144,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace8,A_400_0.25,A,400,0.25,constrained,144,133,0,22,44.0,0,15,15,300,0,4.0,2.1,0.2033,21,0.684,53136,369,0.1096,144,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional,A_400_0.25,A,400,0.25,constrained,144,133,0,22,44.0,0,15,15,300,0,4.0,2.1,0.2033,21,0.684,53136,369,0.1096,144,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional_pace4,A_400_0.25,A,400,0.25,constrained,144,133,0,22,44.0,0,15,15,300,0,4.0,2.1,0.2033,21,0.684,53136,369,0.1096,144,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting,A_400_0.5,A,400,0.5,constrained,135,133,0,22,44.0,0,2,2,175,12,4.0,2.1,0.2033,21,0.684,55890,414,0.1236,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace1,A_400_0.5,A,400,0.5,constrained,141,139,0,22,44.0,0,2,2,184,15,2.0,2.0,0.0,22,0.655,58374,414,0.1184,135,-0.0444,133,-0.0451,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace2,A_400_0.5,A,400,0.5,constrained,136,134,0,22,44.0,0,2,2,176,12,4.0,2.1,0.2033,21,0.679,56304,414,0.1227,135,-0.0074,133,-0.0075,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace4,A_400_0.5,A,400,0.5,constrained,135,133,0,22,44.0,0,2,2,175,12,4.0,2.1,0.2033,21,0.684,55890,414,0.1236,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace8,A_400_0.5,A,400,0.5,constrained,135,133,0,22,44.0,0,2,2,175,12,4.0,2.1,0.2033,21,0.684,55890,414,0.1236,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional,A_400_0.5,A,400,0.5,constrained,135,133,0,22,44.0,0,2,2,175,12,4.0,2.1,0.2033,21,0.684,55890,414,0.1236,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional_pace4,A_400_0.5,A,400,0.5,constrained,135,133,0,22,44.0,0,2,2,175,12,4.0,2.1,0.2033,21,0.684,55890,414,0.1236,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting,A_400_0.75,A,400,0.75,constrained,135,133,0,22,44.0,0,2,2,72,34,4.0,2.1,0.2033,21,0.684,52245,387,0.1515,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace1,A_400_0.75,A,400,0.75,constrained,141,139,0,22,44.0,0,2,2,76,38,2.0,2.0,0.0,22,0.655,54567,387,0.145,135,-0.0444,133,-0.0451,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace2,A_400_0.75,A,400,0.75,constrained,136,134,0,22,44.0,0,2,2,72,34,4.0,2.1,0.2033,21,0.679,52632,387,0.1504,135,-0.0074,133,-0.0075,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace4,A_400_0.75,A,400,0.75,constrained,135,133,0,22,44.0,0,2,2,72,34,4.0,2.1,0.2033,21,0.684,52245,387,0.1515,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace8,A_400_0.75,A,400,0.75,constrained,135,133,0,22,44.0,0,2,2,72,34,4.0,2.1,0.2033,21,0.684,52245,387,0.1515,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional,A_400_0.75,A,400,0.75,constrained,135,133,0,22,44.0,0,2,2,72,34,4.0,2.1,0.2033,21,0.684,52245,387,0.1515,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional_pace4,A_400_0.75,A,400,0.75,constrained,135,133,0,22,44.0,0,2,2,72,34,4.0,2.1,0.2033,21,0.684,52245,387,0.1515,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting,A_800_0.5,A,800,0.5,moderate,135,133,0,22,44.0,0,2,2,381,77,4.0,2.1,0.2033,21,0.684,111780,828,0.0618,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace1,A_800_0.5,A,800,0.5,moderate,141,139,0,22,44.0,0,2,2,400,83,2.0,2.0,0.0,22,0.655,116748,828,0.0592,135,-0.0444,133,-0.0451,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace2,A_800_0.5,A,800,0.5,moderate,136,134,0,22,44.0,0,2,2,384,78,4.0,2.1,0.2033,21,0.679,112608,828,0.0614,135,-0.0074,133,-0.0075,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace4,A_800_0.5,A,800,0.5,moderate,135,133,0,22,44.0,0,2,2,381,77,4.0,2.1,0.2033,21,0.684,111780,828,0.0618,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,commuting_pace8,A_800_0.5,A,800,0.5,moderate,135,133,0,22,44.0,0,2,2,381,77,4.0,2.1,0.2033,21,0.684,111780,828,0.0618,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional,A_800_0.5,A,800,0.5,moderate,135,133,0,22,44.0,0,2,2,381,77,4.0,2.1,0.2033,21,0.684,111780,828,0.0618,135,0.0,133,0.0,0
qb_sat_n11,qasmbench,oracle,control,ccz,conventional_pace4,A_800_0.5,A,800,0.5,moderate,135,133,0,22,44.0,0,2,2,381,77,4.0,2.1,0.2033,21,0.684,111780,828,0.0618,135,0.0,133,0.0,0
