workload,source,family,role,assignment,transformation,machine,model,tiles,ccz_share,regime,makespan,depth,t_count,ccz_count,teq_demand,t_stalls,ccz_stalls,total_stalls,t_waste,ccz_waste,peak_stage_demand,mean_stage_demand,burstiness,stages,parallelism,space_time,factory_tiles,utilisation,baseline_makespan,improvement
qt_qft6,qualtran,qft,target,ccz,conventional,A_400_0.5,A,400,0.5,constrained,488,486,4,135,274.0,0,2,2,748,75,40.0,12.86,1.3352,21,0.111,202032,414,0.213,488,0.0
qt_qft6,qualtran,qft,target,ccz,commuting,A_400_0.5,A,400,0.5,constrained,279,87,4,135,274.0,0,270,270,406,0,128.0,54.0,0.878,5,0.621,115506,414,0.3725,488,0.4283
qt_qft6,qualtran,qft,target,ccz,conventional_pace4,A_400_0.5,A,400,0.5,constrained,488,486,4,135,274.0,0,2,2,748,75,40.0,12.86,1.3352,21,0.111,202032,414,0.213,488,0.0
qt_qft6,qualtran,qft,target,ccz,commuting_pace1,A_400_0.5,A,400,0.5,constrained,474,472,4,135,274.0,0,2,2,725,68,40.0,12.86,1.3352,21,0.114,196236,414,0.2193,488,0.0287
qt_qft6,qualtran,qft,target,ccz,commuting_pace2,A_400_0.5,A,400,0.5,constrained,424,422,4,135,274.0,0,2,2,644,43,42.0,19.29,0.9765,14,0.128,175536,414,0.2451,488,0.1311
qt_qft6,qualtran,qft,target,ccz,commuting_pace4,A_400_0.5,A,400,0.5,constrained,298,287,4,135,274.0,0,28,28,437,0,80.0,30.0,1.0256,9,0.188,123372,414,0.3488,488,0.3893
qt_qft6,qualtran,qft,target,ccz,commuting_pace8,A_400_0.5,A,400,0.5,constrained,279,161,4,135,274.0,0,257,257,406,0,84.0,38.57,0.8304,7,0.335,115506,414,0.3725,488,0.4283
qt_qft6,qualtran,qft,target,ccz,conventional,A_3200_0.5,A,3200,0.5,abundant,488,486,4,135,274.0,0,2,2,6279,1608,40.0,12.86,1.3352,21,0.111,1551352,3179,0.0274,488,0.0
qt_qft6,qualtran,qft,target,ccz,commuting,A_3200_0.5,A,3200,0.5,abundant,89,87,4,135,274.0,1,3,4,1019,145,128.0,54.0,0.878,5,0.621,282931,3179,0.1501,488,0.8176
qt_qft6,qualtran,qft,target,ccz,conventional_pace4,A_3200_0.5,A,3200,0.5,abundant,488,486,4,135,274.0,0,2,2,6279,1608,40.0,12.86,1.3352,21,0.111,1551352,3179,0.0274,488,0.0
qt_qft6,qualtran,qft,target,ccz,commuting_pace1,A_3200_0.5,A,3200,0.5,abundant,474,472,4,135,274.0,0,2,2,6094,1557,40.0,12.86,1.3352,21,0.114,1506846,3179,0.0282,488,0.0287
qt_qft6,qualtran,qft,target,ccz,commuting_pace2,A_3200_0.5,A,3200,0.5,abundant,424,422,4,135,274.0,0,2,2,5435,1373,42.0,19.29,0.9765,14,0.128,1347896,3179,0.0315,488,0.1311
